rdqxihiiqh,nypfxqabnd,zpsizefixk,ctbyqajfrb
-293,-0.275,-433,CAt
aksdxgfvvm,vsvcsmnkie,0.2145,kinfhwktgs
390,971,-600,blwzcpnukl
mkaxisxzyy,eiifkbxvbd,-0.138,lszpciqrwd
-0.194,wdlvsueegh,CAT,493
829,-157,tzylnyuknu,CAt
0.1045,Cat,-84,hgzpcrmjjq
0.1805,tygfgcpbkc,0.074,CAt
dOg,lwtouhqctn,crfftgawaa,737
mbrylhevbl,dog,caT,gtroyfpsfa
796,vukfktyxzk,555,-0.2655
satcflgilr,CAT,-0.249,bobtkacpdn
vcsasbeeuc,-0.352,-85,-901
ultjamlrna,xwmqjoshuu,-235,zbmkzxflxi
gftyebhshp,441,rspoxyaaok,kgaqufmfer
dog,hewznyytpw,tazjalrffx,-0.475
623,-464,0.015,cwsabnakcu
-0.113,dog,afkneskgxy,coymcbyjuc
921,-320,352,-0.0325
dOg,0.2215,0.3305,450
