cgbeidwtxd,elukgqwwex,dhgdfeddrb,sldhyfozzj,Pet,gdpfkkhwhl,qwukxlirbn
skrktodvkp,dOg,xakdekxysb,-0.3055,cylppeyzws,uiexnjmelw,-155
-772,qlinpjxdey,-976,jkgvtauyjt,caT,-0.224,mfkzblkhsg
790,cwcckzavdr,-934,-0.0755,-468,-0.1845,afmyvwzrkq
-0.012,0.4905,-80,bqmlfadwya,cAt,-709,-0.342
bkfiutsycl,cAt,guspzsytqu,0.2875,Cat,0.061,418
880,-0.0585,pibfuidktg,-901,DOG,-0.053,nzhetziqvq
-0.021,dtkevsjrsp,iivjqacaae,jmghwzpdlx,Dog,qllzrtnneq,dog
-819,xmbzvcjeym,557,-0.262,DOg,0.125,-391
0.234,364,haiodbwxzb,0.499,dOG,-0.1145,CAT
0.136,xayidvfokq,0.326,-6,gzucacpkxq,0.3075,nnjdapbwec
eidbatatcg,0.13,-904,-733,DOg,654,-17
-90,xwgbyscgdn,0.182,DOg,CaT,lfornlvpxe,-0.3425
822,-0.225,DoG,490,-877,0.065,-694
-437,dog,nidatgwplf,-0.3535,CaT,cat,701
rrhernrxzz,-0.432,pauughnwqc,-491,cAT,362,cAT
-0.247,Dog,cAT,Dog,doG,0.3705,Dog
-321,481,Cat,rixymuycnv,tsbmoaobvw,inkrkxjyaq,-0.1765
doG,DOG,cat,467,756,-744,ddkpitsjul
hasqsgbtyw,cAt,-651,afloiwxbtp,CaT,-826,732
dOG,cat,0.146,-0.3215,Dog,0.055,Dog
0.3035,854,143,940,DOG,-0.109,908
cAT,639,nlbtzjjejj,Dog,CAT,Cat,usbtvtjvvm
fbhrjqaphk,bmtwbncjwv,0.3715,465,caT,CaT,0.238
fkrjztdntr,zyfencjdac,ucovzkafjx,865,CAT,-753,dOg
-445,cngrhzmnte,cat,dOG,CAT,eqltbdivhg,cAT
haitqnuzwf,-359,klfqszygay,-0.4165,CaT,860,-480
cat,-769,560,-609,CAT,-0.144,667
0.0505,-789,lfxatkxbex,-160,-0.3555,-0.215,0.124
elgfzuuyoa,219,lgriymcdfw,-320,DOg,0.0225,281
-0.4635,CaT,wzizrbehzg,76,doG,904,prwvikapsx
0.4605,ivnjveazhn,yicgaagqvh,-528,DOg,-47,-508
-0.447,dhusjavlws,-0.205,0.418,cAt,-768,DoG
wirucdhpyo,-368,655,-989,cAt,138,-665
0.0645,lfkmljhjtv,283,0.2335,cAt,623,hsehacsugr
effztqxdne,zpuqgtkriq,-226,mchitjdlhf,255,0.1155,-350
0.265,-853,-41,nuxdlhkvxu,dog,qptcmfivwo,yrgvbipwkq
197,vnfrodtwqt,0.115,wztdblmcwd,-0.1135,szxrcksbzf,-735
xfmgbatazl,539,-0.234,pfoxjcojmg,DOg,CAt,0.409
883,12,dOG,Dog,dOg,yranrmllfd,bofymjhyrw
0.017,0.145,doG,928,628,635,0.227
0.1065,-0.438,kvptxexqpy,-403,fgxcrribjs,-358,127
ccihwdjfjg,DoG,261,cAT,cAT,glleqttgba,dOg
