zhmaxiivxn,ogzhcelcri,Pet
-156,Cat,agrtbjknnc
CAt,nihnxzzbwn,CaT
0.0735,665,zgcgndhblu
jyymwteaat,kisprqehil,dOg
doG,-207,cat
0.359,0.122,dog
0.231,-0.482,doG
-0.099,yqevosfqkz,cAT
-0.1895,-0.4875,0.217
-679,0.2895,dog
-498,0.0535,cAT
aeqzdrcnjl,-0.1755,cAT
0.0605,974,CAt
0.304,cjidciqaoi,dOG
-0.457,514,DOG
cAT,581,DOg
919,rtursfrntz,dOG
-0.392,cAT,-713
uzxxbfszlf,eykzpbqxgo,dOG
cAt,DOG,DOG
awvlbxtdvo,0.1405,-917
neemqasqnb,fewtxrpbfb,CAt
0.3445,-0.053,dOg
dog,0.135,dog
pmoligjenz,cmdrprupnr,dog
opcuppvqck,axqprmooik,-546
-79,0.0775,DOg
556,-0.385,DOG
hvqdregvqi,77,DoG
0.1665,0.1995,qayspodxda
ombbpnqfqy,dog,-0.464
-928,978,DOG
127,-0.2135,cubmjsxwce
680,dOg,DoG
-0.264,DoG,DoG
-178,-0.212,Cat
204,48,doG
-0.03,-412,Cat
wjcdfxncay,0.0785,cat
DOG,DoG,caT
sseesjuiem,vycwafoekl,cat
binjlephfz,-0.003,CAt
-540,0.0895,yamrvvuyxz
-0.0145,cAT,DOg
0.0085,cAt,DOG
dwtfsdobye,-529,dOG
Cat,-842,doG
ybladfrhrp,-0.017,-0.3405
zpqdvdvspr,771,dOg
tgiionoitl,CAt,nefgntxuvb
prsbsxxibx,zyolbtocqp,dOg
doG,zlmnvbvswy,DOG
-415,-244,vjlooxdtlk
CAT,-530,caT
-235,cAt,lrbbfjglhn
-0.278,CaT,vlfrejxgjj
DOG,-71,cAt
vgzkhxhoqk,cat,cat
723,-171,dOG
nzmotdwvwk,dOG,-664
-0.2755,0.4395,cAT
dOG,0.416,dOG
-0.3645,-209,DoG
0.293,0.0275,khjfvtlfuz
wxshkxhiok,146,CAT
timkbqhxgy,81,Dog
jtipitcgur,-791,dOg
844,989,DOG
0.4995,0.286,DoG
vkawqegvfe,0.446,DoG
852,ipjdiaosyf,CaT
wxhqavpqpi,0.45,DOg
0.0365,-0.2215,DOG
-0.4665,0.384,DOg
iovijevrkd,kavngecryt,0.349
bbbjdkapbp,Cat,dOG
-151,oyithqsmsa,0.056
cat,875,cAt
0.217,zaladsaqku,doG
-887,midwcnujyp,dOg
-0.077,tygebhlwzl,dog
