wsnlelnupw,vtczfqjksx,efqzonqjvp,pET,gdvfuwcxho,jxpxyhctdy,ookueomsmi
jrwdrgugxe,0.37,ttxmhpcvwu,cat,dOg,-70,721
-483,exttuzplyo,dOG,dOG,0.084,kikfnknnvy,0.4555
42,DOG,uuhituubbl,DOG,fvyapmxltl,rsxmgashxi,0.389
-413,-0.4095,483,Cat,0.2675,-0.2015,eafctrzmne
-0.2005,vgaibaqsec,0.141,Dog,cAT,-46,dog
-492,0.39,986,DOG,kdxwrrhgrd,hfkwqszvhh,-0.3225
0.1285,-0.0715,zrafzjaxos,cAt,0.1435,DOG,bxymwxmldc
850,-0.2065,0.436,DoG,zntfqiypoc,rxjwbvwnss,-142
-177,133,cat,0.3945,0.0995,47,CAt
cat,-0.448,irbppnaraa,caT,-0.2395,-0.457,imufzihivn
DOG,tamtmyksgx,-241,DoG,0.469,wqoihaxtqh,0.149
-0.302,0.042,766,0.023,405,248,rztuxcrgsg
wxmhtqnoos,fdmnnqfife,-711,DOG,zlyiqlrkzx,2,0.252
-310,233,lixccczunx,-456,770,zzulqgkuqt,-481
-186,-599,mmuohaaptk,-740,0.3595,-0.414,-516
284,slarxldkbb,0.386,177,nuwkrbqdyi,CaT,-114
pfylsqvrsr,-461,-0.3635,CAt,-0.253,431,doG
0.491,ubwdmkzqvy,dOG,-206,caT,dOG,449
-0.178,vipobrcmqv,marchtvzop,doG,481,784,-551
-634,DOG,-0.0475,cAT,vollnldqui,-0.474,-0.238
-521,qhuuwdivqw,rivubhrxuy,308,CAT,-425,gfazkytfgu
-198,0.4645,623,CAt,DoG,-493,0.123
cAT,0.4215,egmtcdhuax,CAt,klqhsveniv,evihdahsii,-920
-774,392,CAT,Dog,0.1555,dsizmdyewu,163
cAT,caT,-0.4245,Cat,0.262,0.0225,-713
Dog,dOg,dog,DOg,-317,vzsvcmlydd,0.2025
caT,-0.309,doG,888,-85,cat,CAT
CAT,0.2115,-0.01,cat,dOg,-10,ynjitlqjzs
-0.027,-105,cAt,cAt,avjbgnmflq,slrklaafqr,ubscdzrqhm
-14,caT,0.5,CaT,dOG,vlmzzteuvr,301
-0.166,-0.476,0.136,CAT,qlnmeogzsk,944,ibjgtjwljx
-885,ejacaqdhxb,509,cAt,-0.4635,Dog,rpzlgkpqjn
zkynmgqsrm,997,tunajxeqyb,dOG,ffdlfievls,0.449,-0.377
0.2645,vqnqpabilg,amcuctkefh,0.1045,CaT,vpemvjskbl,doG
Dog,0.075,hnmhdhelme,cAt,-163,cAT,0.5
-326,styiewdvnb,qfsvlksjwb,cat,kmiugrhlyj,31,xowncfedvr
mnqgpckcuv,dOG,0.061,DOg,0.3855,-0.118,rwqyqwliqn
-957,btdancxvpd,pfgsjwdnmv,CAt,408,-0.3825,CaT
CAT,dxyexbowue,miotozcqar,0.322,Dog,-665,cuyandeivd
-196,0.085,cat,CAt,Dog,vdralhxfbb,-430
108,pajkxiwqgt,-0.256,hyazocbzus,doG,-95,piantzdsge
682,0.177,-369,CaT,0.4685,98,221
nhuuvbevwm,-0.4435,0.334,cAT,0.2825,brtpmymxsu,jwdtubetpg
222,-0.3505,tjpavumaov,doG,-700,gdpgxgoxbu,pjcyfotwab
124,cat,0.4655,cAT,xjfphnuuej,-0.4085,-101
-542,fdluudrssh,-0.319,DOG,-0.4335,0.4635,-0.175
adrgxyqbhc,msfeiwvtan,0.0565,DoG,mltbgydfdf,0.2155,cat
bqcpextxjo,ubhgmojste,cikhcnhqiz,CAt,jthsfnxkst,100,0.469
-0.4635,993,cAT,Dog,kqpquzpwvi,mjacormyek,bphoxzyhno
