jovzlmncky,uoojmsjrnj,qssiowmchq,camjjmague,auxpvnwwwu,urjvshzdqr,khibobqubt
939,rzfdsqgyft,tyaqijnyxm,0.2485,kkmjgyxykc,0.1905,nmszxrsopv
157,-73,juciuzwhtq,993,caT,cat,0.0605
0.0575,babgrzdoip,648,DOG,342,eyjcfzzjwh,ctaucbzvvg
-0.4,848,wcijvhuzbn,421,872,247,yyflmpehvm
DOG,-930,31,xsumysjatw,-0.133,-0.1025,473
teozhptmmg,bqiygshxsh,-228,DoG,0.2565,dOg,459
-947,727,233,CAt,-417,fthlfkkxun,dog
dudvtzysif,xjlcqilngr,ylinftvhbb,79,fxhsgdnrlk,nmpdaytkka,CAT
0.2345,-0.2665,cAT,-0.2795,508,501,qqkisgwztl
-0.055,0.068,CAt,0.314,-668,CAT,-342
noarcmkdsy,cxzubdcspq,-0.0775,-988,165,519,0.442
-458,-92,duqawuwlks,sgxocdwezw,-0.109,DOG,389
-0.213,emrecwygne,-559,dhgwrjyezn,xdwmuptlpl,-0.237,Dog
-411,cAt,0.0285,bwhnksysgw,cmhhqlaclh,-0.2445,739
htynsukvkp,799,cAT,-813,902,cat,lkfaxulhwv
pnezbqwxor,qtqmkgceto,-0.0925,-744,673,cAt,mfwdtufwrf
0.447,-0.039,-0.254,-505,-484,cAT,kgzfrpibsc
Cat,0.4995,vzldhsjsaq,-0.068,uzjatwaich,sqcwpnawoi,caT
-67,qeywufcfxy,0.312,mocobadzyw,6,Cat,lienbfawoi
0.24,-576,277,-0.4365,0.4885,0.1425,-0.256
doG,-832,957,tnyratdafz,0.29,-0.226,-418
289,-78,DoG,DOG,0.078,0.1655,xlfvqbrcsv
864,-0.4875,DOg,-951,-262,tfaotmvxeo,vhjfvrfcmg
fiigqnolec,cAT,-673,-0.3175,CAt,0.392,-0.059
-180,ruuocoirkm,486,snueekhjzm,-0.156,fgnwwuxnrg,0.039
howtiftbpw,0.0775,0.4165,-0.3945,462,-450,-0.4365
0.2145,DoG,944,-0.1585,-350,cAT,0.174
815,CAt,cAt,-376,cpskqgfoiq,811,133
-0.011,-0.1005,lzpfaaglwn,vwndrzmemh,136,671,-872
-0.1505,CAt,35,676,-0.0855,doG,0.1885
-0.444,rlcxvqgxam,nntuxftutm,0.1725,-757,-651,DOg
-806,fhqfbcgtmc,-0.265,-0.297,774,0.288,-898
qkpmmbgjxn,xdcxawdqmc,0.0985,-0.191,-0.379,-268,0.425
eqqbbgwdgd,ldsknsjqzx,-594,0.331,-509,cuctmytqsq,407
0.206,-376,0.2905,0.22,hzwwxjnluq,0.2625,kwihpgurum
-0.4065,lvzoveveao,-0.278,-0.261,0.2775,-146,220
499,caT,216,0.3875,0.35,vlmifredlb,pkeflibscj
-155,ebxhkyfejp,847,0.0215,cueoubwzsz,26,cat
-16,clhuvbajoy,prziyoezid,-656,fomacwlrgn,cat,wqtlpaqmwn
cat,jjmyyjxgqt,DoG,-0.4385,0.46,nqdcpsshfn,-684
idyftuxncm,cAT,doG,0.2835,jwerqoqxdw,-0.461,-0.4435
0.238,-359,xeuxcsgsaw,ygjflelnmo,272,Cat,0.032
0.096,0.3385,gldtkjxvmx,595,164,-306,caT
wqcuzjnfsb,0.114,avylnbvpbj,37,750,doG,oksnugpdis
129,0.4755,imzgkjeqik,-0.272,komlraufrt,euwgnvedel,-0.145
