obsvjzgbex,rdjkszuygf,gaxbzqcxkj,gwttdnkwuk,jnlofwsxqi,rnetesebxp
0.2925,0.095,njmqabvkjq,cAT,-129,810
-0.398,-0.049,eruraagxzl,-220,-0.228,0.2025
419,DOg,qqonxdxqlj,859,dOg,-0.2585
cAt,0.286,127,ozbefrvlrv,dgujuahsfn,tolnqlftha
-0.31,-562,-0.185,-542,0.0235,0.1755
-0.3785,856,dog,atgrtfhmlb,lhvmhvxxxw,-270
-0.189,-925,-234,-966,-0.46,250
-0.0135,0.191,cAT,CAT,cAt,-0.382
myfvlvaiez,uipgxssrwk,0.026,dOg,dOG,-150
dOG,-0.4475,807,64,qdrjgnglny,-0.4815
438,DoG,-781,-0.021,ldmqxuniff,dOg
-47,-440,0.033,-255,pioouyqydl,ezrzvyrhkx
cAt,0.0105,-0.38,-0.41,jrgvckmqdk,-0.124
tvguyynthu,938,-0.1685,229,-0.081,-0.3765
-74,wgbgpklbpr,964,-852,0.189,slsgvlvnag
CaT,-0.3345,0.22,frceswzvtd,mbicnuigna,-101
674,kxqnafhdmz,-0.0835,-852,Cat,tpffulbzky
otbllbkcbi,199,-0.0025,-0.0645,uyewkxeuws,-0.18
proyxgnvsh,-339,dOg,-0.2245,0.2415,-0.2535
lxvmwenpxx,-494,dOg,jetbnyused,szpdnnhjvq,DoG
-0.3645,-0.159,-0.0695,882,532,caT
-757,cAt,stkwivrvjf,-289,dog,cat
207,-0.3175,-736,-0.23,-0.36,doG
qxambnecuo,-427,-0.4615,602,dOG,DOG
-0.439,hkslosyqcj,-0.2715,735,-685,jbiozjqmlo
-556,gqynoxnyzv,356,522,-975,-0.362
0.09,0.053,-597,0.1645,razwbxrgzy,-561
DOG,-0.3605,cuwmwlanqd,750,309,dog
0.3345,wzfaurlgdg,pzsodndjwq,80,50,Dog
655,hvsasdxnxc,0.493,-686,vtyrzcpbav,-509
dnqxghqaef,-0.0095,jyegqdxbpo,-0.2775,186,949
phiqmccoud,-0.082,646,ezlavktmqn,anlsnjsihk,-0.1415
0.245,0.0765,416,cat,-0.4815,salttqtcbc
qptqvmxnsh,DoG,0.451,-0.1375,0.178,cAt
CAt,DOG,axfcklntjj,DOg,65,ivtvdjsryz
973,bqwbrmeyze,ruajluvlki,CaT,-962,-0.023
219,0.095,-0.159,0.4175,0.2025,piqimxwxbh
-901,503,-337,izebhditks,754,accyhrytnw
-0.4805,obqyyccjfu,cAT,opzvlzmfzn,pvvwjvjuxs,xqoxggyppa
-0.052,mgplxzhvwn,muxoheqpzg,caT,doG,0.0435
567,-0.046,cAt,caT,dog,-905
0.283,-0.285,cAT,-0.0455,qccotqqptm,cakfvckqwu
