fssolomruc,ljxjfhqnbo,slmthsjrcf,wiylsdgnhf,zxaidilwtd,qlirqxpzme,nxbzpbkayt
121,sdyjugkpnu,DoG,0.3875,efmrysmkvw,904,uktehtfovt
-764,0.4765,-0.382,cat,392,0.4985,yvbtixiike
-0.2875,dOG,-447,DoG,cat,-501,irvjhjbdfz
doG,oekglgqkzj,-0.278,CAT,0.3935,cszgprgqyn,675
426,yqtefcihty,Dog,-0.331,946,mtpdkshrta,CAT
ssjvpttnov,pyufzaugoy,heycrgxxeq,224,-419,-0.1265,-391
0.376,-498,DOg,-0.488,683,pknmwgfciv,CAt
-0.0105,CAT,810,-49,cAT,cjplladuus,qxcolpqffg
662,brofryioou,xxeignpbod,139,0.4985,cAT,629
oazpwipyjt,-277,pwwqmqylli,-0.313,-0.4045,caT,-932
DoG,-162,dOG,-56,-0.1755,vblwxtgzik,caT
doG,DOG,-96,-915,-463,dtsabuvvne,-0.4285
-768,lsqoqaiocx,688,363,doG,-685,-0.1395
