kjanawiunv,srtsnkxcnl,PeT,jtggicgzcj,rzkedvwurl
CAt,caT,dOG,dOg,bzzlkaggjz
0.1355,dOG,513,dog,-177
0.399,557,dOg,0.3485,-0.4365
-195,anruzuqsry,ejyfuuyxwq,fodxhbxclm,cat
obwhypkzsr,0.2455,DoG,365,-641
0.272,0.0675,doG,220,-0.448
fgwzybvwfv,0.3925,Dog,0.017,-316
bqnahkznju,fmpkkxpxej,doG,cAt,bmolqlppoj
DoG,aozmkrpisc,CaT,83,0.255
zspabcfbff,mzmhxignzi,ojbfgkisxu,bdhyhmfvpy,0.151
wjoujoveqr,asujarympo,CaT,-0.256,0.4095
cnkrxfhhgu,wncxwztseg,dOg,-0.0875,vkezajzocu
unvyfnoqre,-0.258,CaT,tbsizjrevn,gqaavttvke
582,CaT,CAt,0.068,fdtewdseyn
jswdpmlsub,639,CAT,-0.1525,-0.4815
tlhrathlvx,855,cAt,-0.152,-0.2185
zsnrbkvbuk,769,DoG,mqygfcirai,DoG
-0.0075,oplgyxzhvz,DOG,cAT,mvanqusrej
-7,0.029,cAt,Dog,hlevzcpamq
cdduvwztez,-0.186,Cat,Dog,-0.2795
cat,0.0605,DOG,390,-384
557,-0.006,DOg,midtlbuegj,0.076
bexwrlkwka,opynddsvsr,0.1095,-0.2495,kpsnpvhtdj
-792,xtebeihupr,wjvkuuamym,ozhhbnpbpf,-0.185
pduxrjarvq,31,DOG,-0.128,-729
ynopadxskb,-86,CAT,yuajhpeafy,-0.472
-0.145,-381,dOg,caT,0.087
utchjjjxoh,0.0835,0.444,-206,0.451
-292,jrufisvbhu,dOg,394,-0.0005
821,eggumxuptu,DOG,-0.0235,-0.0355
DoG,429,CaT,412,-213
dktbqwakua,0.015,-175,-139,-981
8,869,dOG,-0.408,0.3105
CAT,cAT,cAt,-773,-0.327
dmitpuhhpu,0.2855,CAt,370,pcoasmlyho
833,860,caT,dOg,181
949,ypzegbpbyq,dOg,-284,0.253
jacegnzjya,bqwxvtstjn,Dog,dOG,939
DoG,DOg,DOg,-0.451,0.3575
-0.3755,dOg,Cat,0.487,-38
-0.055,0.3505,386,419,-188
0.1315,-0.4735,-0.3625,idodsixiwc,913
CaT,0.06,DOG,irdwomoonx,-0.2515
0.359,-0.34,caT,qfgaqqxcqi,0.278
pneagpvpsj,nqpcbfonhz,DOG,andufhktsk,566
-174,Cat,cat,934,0.3905
893,ywcdyadoqy,CAt,vrokyeozxq,-0.388
jumrzqfwvs,0.0925,186,Dog,-0.1685
dOg,0.168,881,-0.377,yjsswmbaac
-84,-511,sverbsygpo,0.311,gjpuzilova
334,474,0.341,-270,cAT
290,kbgkbwyvnt,cAt,0.454,-263
nabfigqxqr,-46,cat,-0.4245,suahudmkqe
0.3,jminwbyygk,dOG,rzgmznrdrj,506
bhzsrpxexb,58,mqcxcjevtg,dgrtpikgzk,0.2145
dog,-76,-221,zhaggsxbcs,doG
-0.2515,0.46,caT,-433,evutmzhssl
-0.3155,dkwuspfhed,DOg,-570,-0.3275
coklyitnfp,560,cat,sxdldvukoc,nfimdraubq
oefbwdnrds,-0.072,CAT,CaT,-76
0.013,0.4125,pywxntwnff,0.3985,ikmaqqsgvn
0.121,894,-0.4515,-310,493
3,ijewmtoebj,ynryczffcx,fuqfqngqdc,18
pxclgxyjxx,cat,CAT,dhyuxsshyt,0.3085
-977,DOG,0.112,prqofdoydb,-916
-237,-527,caT,-0.367,350
936,0.386,0.476,-0.123,0.3045
cAT,-0.1435,dog,-0.2015,tjyoofxpok
bujgooztcq,droxqnqknd,yqflhfjqac,-0.1895,Dog
590,0.0635,922,0.353,-0.092
