gpcmkftomm,lbukltcgpr,cjhvvfrtbf
lxmfavlykn,-0.1155,-0.2585
-40,-463,miyqmsdcmr
wvdryzqtji,689,0.327
-0.224,812,DOG
-0.393,CAt,-0.0315
-168,fxlnviztly,-0.497
dOg,doG,yasxyvqsdz
723,0.153,-0.4905
DOG,0.461,vjciqfmgwh
-0.3205,0.1215,zmjjuvymia
93,-327,nzxehidqjp
-540,350,-0.124
0.109,phacypfvgw,0.0005
0.4955,acgzhfzhcx,797
CaT,577,340
-268,caT,Cat
524,871,0.1745
mjkhuhyneg,utcefawphw,-0.4665
-0.073,cat,bpcvwuwche
0.3055,yoxmtmhzrg,-673
bshsrweacq,657,0.349
DoG,-0.3535,287
420,-0.376,tcbdhxkdhc
-767,-126,0.413
DoG,pywbachstp,0.447
0.1595,dOG,0.013
CAT,DOg,890
CAT,-0.3775,-682
hfpdcgdono,jcmyphqoeu,kyeefqiujp
gecrarskaf,-413,mhamadelrq
-0.256,967,296
-980,0.3625,sfqyezumrw
caT,-0.2605,qynebxmhti
-0.312,sspcjijdof,cat
Dog,ookjytdjua,0.0005
CAT,sjjtjhrmjq,cscugaxwgo
vnqmekiyqt,DOG,285
DoG,dOg,-0.11
-958,kljlskfpco,0.403
ctrvutjezf,174,ndmtdqxdwi
opdyucwfsf,-0.254,603
pnknbbboxv,-662,-441
-0.165,churtfmonu,xuscowjcpi
-0.194,pcskrwgtem,qsrmfshqzr
0.3535,-0.4315,CaT
xpykrbvcap,-0.3565,-0.169
-0.069,768,243
-77,0.3565,owokfdeozr
0.404,-69,-15
ygfquzrwqk,DOg,382
-341,rltoxcilof,-743
0.117,-493,CaT
-283,0.275,830
0.366,-0.4175,-509
697,dog,riimuhcwvi
CAt,0.161,-633
cat,942,0.208
nnyigytjmx,-0.128,fauysdwgql
-0.363,dOG,-941
uuggmmtxwh,0.39,doG
DoG,esnjszvqbg,-489
cydhrrwnhp,529,pzjikyhosc
-676,-469,gxjzdjvacx
innlsdnemi,886,oxwkmswmez
-827,hqdstburzd,uheswqnzvu
mikigmwrwz,-278,sgtsbihwnb
vhwhgdqene,cAt,awduxhyead
CAT,-0.018,brnonpzdgz
gqziumhmnl,-45,0.1785
