iynqzyahrr,PeT,zqgrfpabbe,tliqyocubd,yemqlbtbxy,xfubnvtrlr,bxwynpnyoe
464,Dog,-139,Cat,-551,-172,-0.2205
-0.2075,CAT,pdfbhqjgfk,366,397,cbsyrethbo,pbuhikxbjo
259,dOG,113,fdpaxflvth,caT,-679,709
0.1455,dOg,0.295,cAT,-0.4825,-0.4175,lxtvbjrxzp
zhlqbjyqyt,DOg,CAT,0.4705,jaxhlpyvvl,-513,dOg
-0.346,drnnyxriur,-0.3875,dlfhbduwey,-0.4435,0.0625,ukhcgetduz
gvmqjiudlp,plewrkberc,mludfxvuhy,-450,94,-928,CAt
DoG,cAt,0.428,0.4675,833,0.2195,927
oqaewovdsl,nzjtwrsfif,581,-604,-0.4955,-0.074,-0.313
CaT,cAt,877,nnoqhnaqgb,276,dog,103
-0.085,doG,eowpnbixow,Dog,-241,0.395,-799
-211,raieicriaw,DOG,phuqlohgkb,cAt,298,0.381
508,dog,0.198,0.494,371,vmlfnrvqlv,226
0.0855,dOg,0.283,dOG,-642,cat,ifpeqtqsin
-197,Cat,0.2125,jewalsrtbh,pbznreshzj,25,-45
-0.306,0.086,-0.429,-0.315,dog,doG,nrxxsiaaai
DoG,-0.068,fukvnlikpz,0.4265,qldqucvaeo,caT,45
432,DOg,cAt,-247,28,0.0285,nckmkikshg
-0.3775,CAT,904,546,0.4965,-93,qrmazhjmbz
udkgysefkk,caT,dOG,-833,caT,0.361,cat
CAt,-555,-766,dOG,-0.4545,ctpesfcqjp,wwqkfvxlot
dog,CAT,-0.098,Cat,-166,-801,-0.306
-54,CAt,-0.448,0.3165,-185,-878,561
0.095,dOg,fnfftxdefi,vaodshwlhk,-23,yjqjmrzhjd,cat
0.2265,CAt,0.0055,0.222,dog,dOG,-958
0.3115,DoG,0.341,CAt,0.129,691,79
-0.453,CaT,-0.1245,cat,dvvsskwtkv,vgomxvfqes,735
-471,dOG,viuhzqnzfy,dOg,-0.191,tbqxqbwohf,DOG
scuguvrfka,0.437,Dog,-0.203,rqkzcwdtzu,CaT,0.401
jtlpbteeug,DOg,-0.234,-807,tnkvrzlvcc,CAT,-574
-0.065,CaT,cemddpclev,dOG,-605,dOg,-0.2485
-423,cAt,629,0.3925,zdfwildfnk,-0.307,doG
0.127,-0.3135,-0.1355,CAT,bxbtwqihjx,-0.21,759
0.3225,dOg,caT,erifyqzlix,CaT,bldyhkmexv,-0.1525
DoG,Dog,kxogdzgpbj,-752,CAt,genjxfyege,luihsaaize
Cat,dog,DOg,reanozdibo,tfnjnxwgqn,pjnlzenchq,0.3575
310,doG,heawlcziid,xbkbzwerdb,164,103,naeimlfkrp
-631,573,urplukvtlw,-0.025,CAT,0.2325,ifdcfpvidp
-0.083,novsqohkfo,-0.082,0.1835,0.046,709,fqfhotnwra
-805,CAT,frotjkajly,331,-0.1255,-165,-0.1935
678,dOg,-585,DOg,khqsqbsesb,595,0.2815
hkevwsiwab,gnnovtpcrx,DOg,-0.184,cAt,444,-0.225
