redlceewmt,rnzgqdbecg,gerycrjnkj,ebqmlzlmrw,iaznfbgvge,drfoviwoig,PeT
0.3175,-0.2555,dOg,cjdbradflr,cAT,uexoahqotx,cat
0.4225,nbkpndmnim,dog,-0.0205,oijpqcdaoz,gpvqcptbfh,CAt
0.105,acuyzwjzvt,649,fbodvsmrhz,dOG,cniojeoxzi,-0.4925
CAt,stwclivpgo,dog,969,930,jctxpcbwnc,dog
0.017,CaT,hdlimdtlhk,CAt,-0.253,CAT,Cat
572,zmkwuglfad,-317,0.172,qrundtespa,-943,doG
mhmrycnkxc,-0.404,dhaeuewfsm,gqvlvdnnen,0.012,kbenqcggze,cat
DoG,-837,oiofjayiwv,0.071,gwshpmbbep,273,cAt
sdbzfborhw,0.0465,CaT,0.434,497,DOg,-0.1865
caT,-593,-396,-0.076,536,caT,cAt
lezkoqxxsk,dOG,dog,odhxohznrg,dog,DOg,DOG
qouiufukmc,970,caT,suvvstjlpp,26,690,DOg
cylskfrdjt,-181,-326,470,0.2945,kpozkvkses,msebztrscx
743,271,vsvpifetor,blwyhcskjx,-0.2975,-602,dOG
CaT,xtfjvamwsr,gclziqqmih,wualqyxfii,-597,276,Cat
cAt,drkqcqmxkd,CAT,spdinxnman,0.21,-99,caT
CAT,wthbtltsle,-981,32,-0.021,0.161,-444
0.441,Dog,26,-0.1675,srotvhriky,0.0285,DOg
