ybzrpkkxoe,PEt,bxwanywzvy,svmbekxpdx
891,dOg,giljntxyij,cAt
muxsjlbiwz,dOg,0.284,887
0.0765,Dog,gxvaltzqdc,nnweauzpsb
CAT,DoG,-0.085,rtgalgtvkn
doG,DOG,CaT,0.252
0.0565,Dog,0.038,0.146
nkcijdopuu,-0.191,0.2425,pehhxobzbs
bxqwosmtwm,0.06,CAt,DoG
zqyypelzlt,CAt,-0.351,hwzylynlee
0.404,doG,cmfjhgywew,cAT
-797,afzydfkudf,dOG,0.389
nolhbvhlvr,doG,-0.0285,670
0.417,CAt,-0.4195,CAt
wrwwcvinkv,0.023,yvhxdyrxxa,bkydoposbx
-0.1675,CAt,cAT,mdtsnpzaul
-0.2865,Dog,-818,-0.2085
hgjkjdeult,DOG,135,-68
221,-0.464,631,mmjwlixoik
-0.4535,CAT,-0.211,0.226
-0.324,-719,-0.171,-0.3205
szpmukdlne,cat,ssvmpzzdjz,0.2675
-707,CaT,hjvyrilrqz,acamfcrlba
-174,DOG,yjdfmzusvv,227
-0.363,dog,927,dcogbjsagv
0.0655,DOG,0.232,687
