krugefvlru,lrctnxvhxu,joulsiurpu,epjvzwxqqq
0.118,0.359,407,51
-0.4575,-512,kdufvbxwzm,0.493
0.092,vxokozyxqt,-0.0895,lvmuhhbkyy
dog,iwsihtksfo,-0.393,0.3975
ozlgtgrzsp,qioywafmbh,vujxjlyqpg,Dog
0.2645,94,gqaiifbwgq,0.432
763,cat,DOg,doG
-600,0.143,dog,fcavzdrkzh
CaT,0.4405,0.391,-605
cat,yabkzzsvfb,613,-0.0605
0.147,sepvfsqwbg,DOG,0.0765
zmwckcwuhc,-625,922,doG
CAT,0.2835,fdpvrmgesr,-0.2045
-828,-225,safpvgfyiq,619
950,980,tnnlhrrprm,-71
awrnwewyjs,0.012,DOg,CAT
dOG,htmsnsjkuq,0.205,cAt
ucxtbtanwr,-0.195,207,qyirqslavl
0.2025,kcfhmnwfmf,rqzeolylqn,-439
663,bvarquerzx,-0.239,snxbjqzozk
0.401,lyxuxzjqxe,dOG,-115
-0.445,0.322,0.0945,0.46
343,qxbbvzvlss,0.4645,rhxnmygofv
Dog,-0.376,cAt,0.1685
-0.0945,doG,pszlryrjdk,spjezkeohq
-0.1475,cAT,-0.3765,-219
DOg,863,uzacqpfzlj,-0.039
0.0985,0.1885,589,-766
truuynlqfv,Cat,-0.336,ciwvmpevyw
DOg,doG,eiuwoatxbp,-175
lepxfpmmzb,CAt,-797,-0.4635
-164,jfqmwqvrqc,-40,euemtxzdrv
zewcjxlqsi,0.0835,0.4415,-0.0845
dOg,364,DOg,-724
-732,xaiajwhagj,pgrqiqfuoc,0.1655
-832,0.1355,xilmintlmp,caT
-423,363,-0.1535,ajbndrfvem
-964,-0.184,cjpkrotagq,bkskrxiqqg
-77,elnqgzszcs,928,yxjpxkdxts
-174,0.4825,vahndgoqlq,djmcssrwil
-835,152,-398,uvxzxfjeeb
cAt,0.2405,802,DoG
0.395,161,hysbgnuhwv,CAt
506,-904,cat,133
fqnqtypsva,-0.322,cmnshfxmka,DOg
133,0.465,-0.0705,665
-0.2855,jnrplmibyn,njcqddhuui,nurjtixgsh
fqkcwpoeys,-0.407,ovvtescqgt,CAT
847,0.1005,CAT,613
