cvizauaboz,peT,vfntdbjyiz,lbcbzuhkgj,rwzgabdutq
97,0.038,-954,398,hoaopalamm
0.4625,igrndghgxj,392,qietkifukb,-0.103
xhdruykcnm,0.229,938,-885,cjtajghdoh
-414,DOG,zepkjzajfg,CAt,CAT
cat,0.475,518,-0.015,-0.1995
wxtaedlycr,DOG,-0.371,-577,fplrftebbv
-486,0.0775,-0.1955,czimhmaqzk,mujymnkfow
914,zzhhkimypj,-355,0.3875,-0.267
tutbblzyzs,doG,0.3655,0.0925,213
-0.17,CAT,500,DoG,lustyldavd
0.388,dOG,-12,166,217
CaT,cAT,-0.4785,ymvygelmfh,-0.295
-362,DOg,doG,0.171,CAT
600,dOG,0.408,ulubmxhpbn,-229
-130,Dog,-0.36,492,0.1835
dog,cat,vqfzrknhjr,DOg,Dog
dOG,0.1485,-0.1845,joomzcwkzl,doG
-363,cAt,-757,44,DoG
0.1065,caT,-269,186,0.445
274,ifxgcmtqkf,DoG,0.08,jfutgwuxnd
0.3875,539,807,719,0.411
987,515,-0.1465,zbcsvufzqg,urvtjxitbj
aylzylfrbj,jhfwymgyua,-0.069,0.1085,-0.101
-0.1515,CAT,63,-855,0.024
gqngbagsaw,Cat,ljstucffni,nshdcchfim,caT
bxiyfwsxdp,531,DoG,-877,673
-0.4005,DOG,0.3945,184,cAT
cAT,cAT,-0.307,0.438,xnfpqcprdu
cupytxrdnb,DOG,DOg,0.001,ftwrnsmxmf
pxfsrzhhjm,Cat,-0.0735,-0.31,784
caT,CAt,fpzpzenmfc,589,oticxoqsqv
nmjjharbkl,135,smjxavusfm,-144,CaT
358,dOg,-933,porpomtabx,-651
CAT,Cat,CAT,0.343,-0.204
cat,dOg,0.297,-354,CAT
907,cAt,-0.092,-0.4735,cAT
-315,-392,-628,qrpdjjwapj,0.0315
khazcwrlwl,-0.3305,290,-681,dOg
cat,DOG,CAT,-0.0055,180
tbffpzniys,Dog,dog,luqijoemdt,imfhqkwlvi
-969,DOG,0.0265,-796,CAT
swthruldsx,doG,-664,-0.3175,mfdsbdcees
180,dog,-372,0.3575,0.4805
fibmuurenc,DOg,hakcxmcrhh,osvnsvcgvi,-143
cAt,cat,kfalqnmlsz,Cat,-202
-0.4945,dOg,-0.1145,zundmrxslu,536
-0.081,caT,0.223,0.119,0.3885
DOG,DoG,DoG,212,DOG
-672,CAt,CAT,-0.0775,doG
wjkkqbfjcx,caT,0.2005,caT,Cat
0.357,dOg,0.107,Cat,421
fitpmrjwhl,-0.171,0.4885,671,zpxdtmwbfm
-0.2465,ljtmufhrqh,dOg,CAt,-0.178
195,dog,-107,spzovqsjvw,-690
ynxtgqgapt,DOg,-0.346,0.045,0.2545
axplamvblo,-0.2645,342,-0.3215,-0.454
cAt,Dog,-0.0855,0.189,pczlwgamus
subrpofcoi,0.233,vxpgjkhoog,wtlbeyledc,-0.324
cAt,DOg,jhsnzfmwau,-0.22,-274
-0.2305,CaT,0.1485,dOg,42
-515,DOG,CAt,DoG,106
caT,CAT,iilirvmguz,zxwnlgbvdp,-0.267
749,-0.0065,17,hvxtpyronl,wfvlogjmye
ifoudgmwpe,Cat,vjboeftvlz,-683,qhppnxphbm
-91,caT,glvucognkn,buedjtusjr,-760
685,374,dOG,-0.3295,899
idhhmigbxa,cAT,ixqdoqzbny,-0.333,mdbxtyxhtc
0.207,cAT,narymfdvzd,0.09,0.241
-0.4235,cAt,CaT,822,-261
-584,786,xsnkerjmwq,166,wlnzlobspz
oobyadfnpb,doG,228,qspltwerxj,velzzzpqtr
cAt,doG,-236,djpsofiznm,qdiaeybwwb
-0.4115,-469,fdtaulvqun,-381,0.1365
