fjvobeuugd,nwxnisjszf,ckmtvbkfty,jmwopbboaz,heagckqijl
ylxsqfayvk,lmxzyelfom,-413,392,0.2495
460,-0.3415,-0.293,dOg,pusfgeytxw
fzhdlolpfz,kkxzldtafz,-0.374,rqilszdbyw,82
-431,0.4705,dhbbpmhjcd,978,gonibclkwv
156,-0.1385,0.453,zzbnuvbbub,0.3785
926,Cat,431,0.169,etsjeqavua
0.4585,0.332,0.122,dog,0.212
wsabqcdyda,DoG,cAT,cAT,-128
DOg,0.22,-0.04,-0.41,315
wtqtxaliqf,-0.44,ctcbhyjqmm,0.291,madjbrzhyt
cAT,124,ehummfdddi,-356,-0.186
cbxtvewlpp,0.062,-0.3385,azuemugmin,CAT
910,qmjgazjvyx,cejxdonmgp,ctkcxgcadd,eadfjfdmxq
CAt,0.3265,337,doG,updxxsubch
-612,0.1935,kdgemsrbeq,941,cat
CAt,-261,-288,-0.1135,dOg
DOg,-586,CAt,tgcuwqixzy,hbfyrajpng
Dog,-0.075,bfhzfaczew,-0.0245,0.235
DOg,Cat,0.3745,-635,itmwrrtusp
DOG,-591,agtnzhzftn,-0.314,kntbjjouyy
301,cat,0.079,oipyfkytji,786
mbqkrenabh,-716,ngexkobhmb,ybjihysokr,-0.228
0.1835,-0.1715,vorbynqgkc,134,cAt
sfkraberye,-0.213,-713,984,795
-89,-0.254,Dog,cAt,cat
ovpydmdghs,dog,0.267,cAt,doG
0.146,agdupmhkcg,542,0.4935,-0.0595
falmctecwx,287,-557,21,0.1115
-0.2545,-0.1825,caT,lzqncpmfei,0.0685
dog,-0.0225,CAt,76,DoG
0.1545,0.2875,-176,0.329,CAt
140,-614,Cat,-269,0.0385
cedjnqqomt,0.1695,0.4125,doG,-0.4065
-0.1705,-538,cAt,nvnzredcch,lvjlilumfu
-387,0.4845,DOG,psatjfkspw,poqixktlkn
0.3535,caT,0.167,jgqdmrdcob,dOg
519,-0.336,-976,bvljwdsesy,bbecioxyav
jevjngrwru,-323,dog,-0.265,doG
DOG,xnlygjwqye,CAT,-0.1755,-0.372
xubeysyjka,rlalwjoxto,0.184,doG,-511
dOg,dOG,dOg,-820,therfhsvms
caT,0.031,-0.207,980,-0.1565
-875,-455,DoG,-0.0705,-471
hfixdmpjcv,Cat,uaexsxiodx,0.1565,182
chpvdnxria,neklgdshre,0.3375,-915,caT
CAT,-0.0855,aikrkcndiw,0.2595,CAT
jhgehnogch,25,605,btngvnjaej,323
-0.0005,CaT,hsgnqdsciz,0.36,wkoxpzkcyy
brlsamcvuw,Cat,izuexvdwuv,693,0.4685
qbbwuvkdpx,-238,-555,0.3095,533
796,649,744,cmhwnjvavf,-31
wqijvrcqcz,ochlqtfrkb,sasaveuygw,-723,221
-0.366,-402,itnxzakktn,ohayycjjwp,-860
-0.093,-0.4765,-190,0.359,doG
ymhjfsnlcg,dOg,dsgapcafdl,-304,caT
92,-0.0255,268,0.3985,-426
opimajhymq,CAt,xywghmavfg,0.1575,689
0.016,tfpaoiffwc,0.382,gojnpjhdob,-0.497
963,-52,lufxvgwqpb,lxluytuezd,0.4985
gzknlvxmpa,802,0.2415,swsuaxcozk,-827
-0.302,-620,-0.217,Cat,0.108
0.421,0.319,-0.116,357,-982
hzycqgjklv,isbxllbeyn,112,yqrorsejqx,538
-457,kbehexffkz,106,-928,0.236
wlvljfsags,savbyrxssj,-703,svtycllrzs,zlxucdhwoy
dgbiokgmcn,115,0.0805,-842,fplaykwfzf
Dog,0.054,cqtyywmfbb,tbavowxbge,963
-0.011,CAT,DOG,231,-0.445
-988,-128,714,0.206,CAt
Dog,-0.2155,-0.1715,CAT,-316
jrllpemqzg,stpkoqitnh,-0.323,bhfahdcnvo,-0.089
0.4495,dpjlfkqtjd,cAt,-0.0445,0.1405
0.3305,avktgdptid,0.144,-0.2355,698
adyezpqmfm,-968,-0.222,uppsvhmvra,ufhqvifoln
txyxwatzzv,-661,rnyeavcpag,-0.423,hxmtoextxr
-0.489,-961,93,242,-0.0465
crlajnlwow,0.137,-0.351,982,anskcqndpq
csqoppkzgv,rlhpuhkdeo,254,DOG,CAT
uxhcivbjnp,0.424,-0.167,-692,bkenmmffrp
uicvohvvxd,meeutyrrgk,-161,-246,hwwylyavtl
-0.4645,Dog,mfeudzqvuf,Dog,-399
276,0.235,448,wabxodrkqe,gqqoychrxp
bpstzocxer,482,0.449,0.313,cAT
