jnrdofxofs,umnhqbfczm,vyktplonyb,PET
-0.1955,yszvkomgtx,0.283,izuutmcjvk
gzhgihoyzy,qyzhkvktvp,-0.2685,CaT
vsvfxialfp,CAT,0.214,cat
-590,jngruxqyid,0.453,DoG
mavskstoaz,0.0355,-147,Dog
-0.463,344,-0.2955,-0.2445
341,dOg,zdzqfocyfv,caT
-0.2695,481,-0.422,dOG
-0.309,ivsypzubva,-365,dog
0.374,zofihrbsaf,dog,cat
-342,caT,-0.1835,DOG
734,0.106,-968,tzwqhcojbr
0.335,-707,dovgdsvmed,doG
dog,0.0795,0.212,0.335
504,-0.3905,bvijghofxo,342
dog,725,pmgrcnpcwr,doG
296,CAt,0.19,xdyvlfwpkt
-0.389,804,jnqduhyaap,cAT
-0.3265,-0.261,759,CAt
0.0805,-0.2805,wscgwrghnz,cAt
plpzdafhrh,nbiadikqkr,snadgiweun,dOg
cfpqfiqtro,25,doG,dOG
cat,cat,dpnvuejdpd,-112
wcqvigltcq,-0.0015,-0.161,Dog
cAt,53,-0.3635,CaT
209,0.366,0.3595,dog
cAt,DOG,DOg,njmkwyxumn
cat,-0.0295,0.336,dOG
hhngpaxolj,kdtwfipaxf,dOG,qngbeqzntk
-0.092,doG,alawwpmzpz,Dog
DOg,-0.306,441,cAt
dog,-0.253,850,DOg
nloclrzocv,-244,-85,CAt
-0.001,uldqxrtfkl,214,DOg
-276,-148,0.4035,dOG
-376,0.061,-0.349,DoG
wnqybxxsjx,-402,0.3375,DoG
160,-796,0.1105,CAt
-0.262,oxvhuopiar,gqulquldbi,0.2145
bnznhxkryb,0.1,-354,dOG
-0.231,Cat,288,cAT
cAT,djvezorevp,415,DOg
imnruzwcox,arxfkvgpji,-33,-832
dOG,qzxtizxdro,-0.1465,dOG
dOG,-877,394,dOg
doG,cmyjyierei,0.0795,dOG
-0.4835,fyxjzsoxdf,Cat,cAt
-0.162,caT,-0.2945,-0.2
301,imgqloqhsr,olrodigjfp,nmiigfroxh
doG,syuzyucocp,-0.2375,dog
-0.0785,dqsuvdbigq,acrejbhhfc,856
172,-0.0985,-185,CAT
-923,544,muwjyjaheu,dog
0.21,mwjmjjauhv,-888,dog
0.4715,-0.1645,Dog,doG
dog,319,-987,DOG
CAt,600,0.059,CAt
cAT,-127,arxydnwyee,CAT
482,-408,-895,cAt
abrmmvdabi,ruokjednre,DOG,DOG
-485,caT,0.438,CAt
0.352,303,-0.3485,dog
-0.205,0.1425,135,CAT
uphifxvzse,0.1535,ukskivvejf,Cat
cAt,bndghcphhp,hdcaycmvmg,dog
409,-675,vdbpxdajok,Cat
885,dOg,cbducmwzii,ekwgwbayxk
chvvvnpesz,269,mvceymlfhu,cat
0.0475,doG,lgpfzirxtd,rvofndsjwx
-514,cat,0.4775,CaT
wryyedgzzk,bdwthrcpeo,-6,DOG
-657,-106,onvghpkoml,dOg
219,Dog,-0.1845,dOG
-235,fisvbnabgc,mlzdwqtwaa,-0.0605
0.313,793,-859,dOG
dog,0.0185,0.3785,tvhqtegdja
vkdolfeyaz,-599,-0.4335,amrxisgngc
650,650,0.1635,-732
dOG,vkgmjfjdaf,0.0,dog
0.1265,DOG,dog,CAT
jkleahrfse,dog,whfqevpkyd,doG
tsinoscbbm,-0.1205,CaT,cat
iyhxjsbfke,Dog,bjjuwurkyp,DoG
-885,0.4935,vqnxgmxgng,-0.1715
ogsyikmyui,zakfxfpojv,evyojdjqcm,DoG
-121,42,7,DOG
wbenjvklnr,qrgvlydmzc,-891,CAt
cufxrysuga,dOg,-179,jzzczpuksf
Dog,cAT,wrkfoepqlr,dOg
nolihxtkpz,yycsuvajtk,cAT,DOG
CaT,-488,-0.445,cwzvytaykw
dijslwqust,0.1925,-914,cAT
0.1755,qwziqkpcmq,-0.3505,doG
0.0145,344,loizqeqsyc,-0.2285
0.2505,-951,hfiukhfgql,Cat
sjuixowqgz,fvtvcrroqx,-191,CAt
vwxqerkvrv,fslxmimnnt,tqhxfcsvjf,CAt
cpujdfofma,wjvbvpgmny,cAt,-633
dOG,-926,hzkoftaixy,doG
DoG,-816,CaT,CAt
