oqxudzlokc,jofxhvwsqy,vtgyyisphj,opdjcovwhb,nbffcryadx,pzvuciboof
-9,dOg,iybeotzxhf,nnfxkmvdxu,CAT,-0.1285
caT,0.1755,212,akcrpzdmsm,449,-0.199
dmavsyulgb,0.274,776,dOg,embvobvmzd,115
urqwartlgv,yumunffzwm,-0.2125,CAt,-0.419,Dog
vlzcaqdnfs,859,-902,0.47,954,rwbwveaaat
258,mensntlexq,-188,-805,cwgsjdznnl,-876
-0.4235,638,crubzgunog,wqvxuiovxu,-451,-0.025
-0.254,869,-0.181,0.2025,cAt,caT
xtptuuazan,ypyqwljqsi,-335,cAT,uzpxkoijky,442
0.19,abfglysbux,-0.007,-0.084,-167,0.49
-0.0515,570,rugclrqekt,466,0.197,414
