qkrhizwrdn,emqldbqhkw,ialkiwwpkb
becdhgtixs,doG,0.4605
983,-907,xmitpugwvx
0.095,-0.08,okifvhlixf
-0.0345,hhxawnuotu,cAT
0.273,0.1725,aypvnofyuk
-0.451,0.2025,468
101,qybjgajznb,0.004
doG,sqhvxpzocb,262
-694,jcfuleugzh,-210
-810,jqaxdccbfl,sfzfdcrecz
-31,-0.2785,-0.193
-0.0245,870,dhqvevkgfw
-53,szsvaarzcu,-470
toneivfadx,bzewfualzp,-0.274
CaT,-60,jjidoobjbw
DOG,nwihgbhtug,DoG
szlrqlqsfq,550,0.0015
388,-0.047,-0.4195
-0.044,eqgdfurvuy,0.4995
dgqkyezznz,-703,501
DOg,eoyugvluge,ghuwdlhvuu
DOG,-984,setakaslye
-673,zgqneqbaqt,CAT
caT,cAT,cat
xhcguxhohp,-0.3975,0.1825
0.0915,sfwjjjypyk,xqxepqysvm
xfzpxbrycn,xrmzhvltqh,-0.1285
0.156,-463,-206
ygcgmrfsox,-0.1625,-0.097
gogqfmvthj,-255,DOG
CaT,mknmhkdkif,eshxpdyhll
226,coeoxquadp,-452
419,mnwzmotika,0.4745
uelrvpepww,wrcnjcrfjt,pzkbbhkedo
bpkpwhjosl,cAT,CaT
-788,-945,urgegsitwm
dOg,dog,0.3465
0.255,-0.2775,259
511,ojklvqozqd,ufvgbzgtov
-632,-978,znqjoouflg
Dog,jcfmnzpnov,cxwdlsfkxg
dOG,13,923
-0.113,cat,-0.226
jhrsowekic,-0.353,644
-0.065,DoG,asezeegrdk
0.2795,410,212
gwirpkmkim,mvuimmothi,hzmermcvzz
dOg,-0.01,-454
Cat,DOg,-871
xnsfuaeqqj,0.47,-225
Cat,-0.392,-0.365
-625,-125,-411
489,680,ivfqwaooju
565,dOG,-468
0.465,uwortyaplz,mvlxhktozt
-0.32,-105,-0.4815
qvikngxnkv,-843,yjpiukrnxp
caT,0.1985,DOG
-0.0265,cyrmxszpem,624
CAT,0.448,qdfxerxswb
zlowyyhxzd,dog,-164
qsxhpccgso,429,dmvfglvnke
ausexxflhn,sjwzxsrifk,0.3045
-376,555,aytpyppfra
210,caT,-383
0.187,0.128,ctqpsyrqww
-524,ygsxpfyutg,743
0.0175,-0.3425,-0.146
616,doG,vaocwzmbha
-942,fvgrugjepo,xydxrtlycj
wiaakswwgv,CaT,-0.266
-596,xopwfgjwnp,cat
-0.064,0.257,624
-819,cAt,0.4695
-326,572,0.2995
460,sxrstsbqqc,520
0.3535,-778,-0.493
-345,tamuziavvj,-0.168
epxmwdosxf,0.051,-0.179
cAT,inyksgpwdh,CAT
ifpzpbldqf,1000,blwjmczjle
-444,-0.0865,-0.0555
-0.047,0.438,CaT
DOG,yhktvwbrnc,CAt
-0.278,430,zwzfjsfgvo
CAt,179,114
sbiccdlgtm,-0.3785,-266
0.1645,-242,0.3005
-635,-0.2175,cat
-0.024,372,141
xzrelykpzc,sruyjzrblg,DoG
