hwiuncgque,wyjvbnmxkg,hjmsiukqnf,bxjsmntear,azyzxdccqv,evzqlgjkad,ilheanngla
cAT,-174,0.0455,-230,-90,566,0.2905
xqojknwbim,dOg,khggsuxazk,0.0215,enurwykfxp,-264,394
-0.0375,-0.027,otrvhlympi,qffizwgrxy,-0.357,uilafatqpj,-0.0305
0.177,CaT,-0.108,-0.1745,CaT,0.3645,DOG
jyrejfwfcz,oxbeyndzwp,0.3655,CAT,-839,0.0975,-0.3445
964,ezhstvatmx,dog,wdxpdxowff,224,kgxonjjmai,cAt
-826,-0.387,woygmnjugg,0.2665,Cat,628,aslcckkidp
633,vqllhvxwzo,0.2255,Dog,iwiasxmenk,-30,0.3755
lllqhhpogx,-0.246,tpvsulhacj,vbzjsdwvtz,muuyjrqhoa,-0.1145,hcnnngfpwz
oexvtdgfxy,mrbtxevvqe,-0.3425,-0.388,-127,DOG,0.29
0.143,DOg,332,rmbhthunnd,hlqwbwoapb,-848,yfqawpzxxz
-145,0.262,xdzulrhhgh,881,-705,-185,-0.0955
xniofgnxlo,0.0695,950,Dog,0.1125,146,-0.4405
-304,jcqfmyhdog,mmwhvfbsou,955,0.1635,CAt,0.491
-737,-0.429,-0.4795,obekxhsqrd,755,6,-0.379
CaT,-0.415,szyhpvdjmz,-0.488,0.4595,tfsfwkktsu,xflopeflbs
852,CAt,122,0.263,384,-0.109,ezvpuiswgx
cAT,CAt,-0.041,rqauukqopw,iwcwoqiaka,-136,0.3915
-178,-830,fyawirmxng,679,apsyfwqvos,-386,-899
Cat,-80,-858,-218,DOG,-0.3915,799
-0.0875,200,450,-717,-0.0315,cAt,-0.1765
306,-795,-573,qaytocdxzo,-945,agfkpyneyd,258
jaopwlejph,Cat,0.023,0.1165,zayfznmoju,186,rjzgmtadmc
0.148,-938,cAt,tntoechjeh,aygrntsfac,385,bytvqficma
-731,hafqrcxjsc,706,jewktsnrho,nnxtonhszp,zldmnonzmi,32
763,luhkkpdhir,0.486,dfwkhimdll,CAt,-992,dOg
rfrnkowqiy,844,35,jgvhgtlwnd,-40,lywptapmri,-0.1085
-0.4445,-0.141,doG,qdcnoriqap,0.4925,cAT,-719
DOg,phdiibssti,0.216,0.488,mahmebcpbt,-0.1545,fwbmmlwysc
-288,zffwjajecl,sijmrqwbha,ojxfjfvehs,efzlucqlpx,ksrwbcquzg,0.196
ojryvawcwl,0.187,-589,0.401,862,464,djwbueqgsx
isxrodwxqp,0.284,DoG,dog,-199,oecuffsdit,cat
-0.262,-876,28,-380,dOG,DOg,jhhqkmsdba
-862,0.412,rhysvvfavm,-585,-0.3355,0.1695,doG
-0.4055,cAT,zceocvjbfu,jospxaaejb,544,0.2765,-303
doG,218,cAt,735,fomqwuuluh,-156,dOG
