zbrvkcosvl,eqoamiiajz,rfcucxmapn,aompnbtkaa,recsepecvw
0.3335,cifrxzzoxb,myqlnmetfp,cat,budjheiimt
-608,zytiynfgrr,dOg,CaT,0.052
478,0.491,-356,rrjwdfjnff,0.4005
-0.3425,0.152,-24,0.061,-0.213
jdacmvmaiv,taemogexoz,0.2955,706,qclmhdobwv
-787,-0.1215,-0.308,0.391,Dog
-0.2765,mglzkegjkn,-0.227,-7,-84
mroxynaevy,-982,Dog,kamlvcenvm,0.1325
DoG,-0.176,DOg,0.279,-581
ervjcskiut,0.4025,967,DoG,fhjmljvsig
qxazbqhpzi,ptcvkumjsj,0.163,DOG,akenqrikii
373,ehrgszxsin,CaT,ttvrjrhyzr,-0.362
DOg,504,0.3835,609,-483
-0.244,cat,cAt,cat,275
-856,0.3975,dnuktgkqgn,0.47,-0.2945
0.104,-0.1905,cAt,-832,CaT
mgnooqgrfa,mxtnffyegl,vposuifrmc,-726,jshznvaqjd
-0.4365,0.173,730,677,DOG
-672,ugrhwymsfx,hveihhuoml,6,0.3695
wdqjqerviv,Cat,CAt,-0.395,0.1445
qhzujjvynm,336,DOG,wnocikwwfh,0.213
-0.3135,-265,0.2145,-448,cafzaxrskl
CaT,452,rwtqdvjvnw,-333,DoG
-237,slfmdojmgt,cAt,303,-661
674,gtivyfeydn,Dog,bhdxwwwzhr,-0.401
0.028,-0.25,0.0555,217,ljevilskac
jfvymfwawc,Cat,fyxvtowmrm,0.0665,0.0025
-271,vybnfjxzru,opphtldarm,-898,-0.2755
537,-316,jcpxfkdycm,-0.4955,doG
azknkqgvhy,Dog,-0.1755,-0.027,-95
Cat,693,afoegrujcx,CaT,vqqhohpepj
0.023,873,59,CaT,0.299
-0.395,248,-254,-928,cAt
0.424,0.4005,cAt,0.0135,-202
0.347,uxlzbptnao,-0.1195,CAT,-33
-0.2075,ytvipjcdup,ohauxqqcla,bifrkpalwm,-203
-0.4865,ikhghbwjjr,0.078,409,DoG
-0.1475,472,0.481,CAt,cAT
-258,giwzayevct,0.03,0.3415,-882
gljrtxxbta,Dog,Dog,rdbavbcssi,0.1265
0.018,oloiafrdxb,ftcrcywolc,934,bufcuqdenv
-0.48,Cat,0.18,-0.2245,emjrudbhge
-0.252,-194,zchocjxpkq,638,ojcyantyjf
CAT,pcxrailxyu,-0.425,pdkrmwktdt,uscbbgqyls
741,wrragqpyte,tvptregvyi,caT,0.01
-556,-0.3395,-579,659,rmmwpgkang
-885,svxfafnjbu,387,mjsrxtktob,smjtqpfjhm
DoG,0.04,cAt,Cat,caT
-0.209,-0.203,ibwuufawfi,-0.072,-980
0.427,-314,-0.0775,957,yfyjysyxxo
-443,czqehivakp,otltgciofz,doG,575
ipwnivpwyc,Cat,bwvrmxkwog,ratoyrxgjp,dzofdiiulo
twucwflwuy,0.463,-29,-401,-441
-0.2925,-627,DoG,-0.179,-0.3455
-0.2655,812,-365,0.4005,dOG
0.1645,CAT,-681,-0.0645,-0.4545
-0.042,phdqvhqxlt,-956,auzxksjpix,gelhxzikjt
-160,-0.212,-666,xpqffklejz,0.317
0.163,821,xkpvncdxgo,sngxzsivna,591
doG,0.494,0.4215,-0.0165,wflewhhord
qbjgxfdjgf,brysnemmte,-329,0.492,-394
cat,-930,cat,aojgxchvnd,xtqpovczok
kawmxmchrq,caT,0.175,lxzkihknbw,0.0035
500,-475,676,588,-275
cAt,ijkdvzoivj,-0.2525,CaT,dOG
-55,534,Cat,jxzfyvcerq,558
650,489,-386,-0.3145,0.478
-0.288,-568,Cat,eoiowaawnq,-95
