whpjykfihl,kbsvxhpnjp,tekkcclcof,hvwfrqyery,lsslesmedg
0.486,-277,-582,tvxmjnfzry,htqdgtvvjy
786,cAT,-942,28,DOg
953,cAT,961,nzydlzvxgf,DOG
792,rsbrxuognq,575,-153,291
-0.1295,dOg,caT,-205,dOG
dog,-0.305,cAt,952,ebtzcthrrb
25,ynwhvksjzx,0.3775,DOG,-0.0605
-0.3215,unrukqcaej,dOG,-859,ynorzzfcyd
gqzfwlkewg,0.093,-0.395,yjxttdygsj,382
992,-151,368,dog,-0.234
-0.064,664,0.2185,CAt,ydnpnabsnf
-685,-55,388,-0.018,-0.2195
-116,eduklxopgt,264,hxftrgwvvv,108
rwwxxwupxv,sxztxtyukj,-554,Dog,844
-0.241,-0.331,bzaisausjo,cAt,-854
abyowabrau,DOg,0.452,692,jgjxhyjohd
580,-0.391,-0.3875,723,-0.3215
DOG,cAt,0.465,7,0.4615
0.2525,0.1305,zhvxjwmgtt,dkrjuqtzma,-0.3475
jonkytmfsq,-0.4635,liktfajbdf,-744,-0.4205
-381,-0.0945,-0.1295,0.043,dog
gqpkkiqfqs,317,Cat,zlxwscktsg,gyheozfhao
CAt,0.28,pdvhdglyqw,-0.0785,cat
-0.2555,Dog,-439,Dog,cat
zwsuxwbxed,vhjwkijqjh,-23,225,sotqrnyswa
-0.1595,kwnkmuzbsq,-0.2845,881,305
367,-679,bwazqbbuwh,kfoidhkybc,kiiycudunk
0.4135,-571,DoG,0.041,-0.077
Dog,ssdduofoer,-0.199,Dog,mevxodfzai
156,txqxvfagrb,-99,dOg,177
-0.374,-0.178,742,665,0.3335
0.097,mxdgkbwyuq,-740,0.078,0.169
-0.412,dwfphkxqtp,Cat,xxpafeknax,kfgzmrgrnv
0.2265,603,-0.471,wrupdkelld,CAT
futfyqvyix,481,-0.128,vxogyhjiav,-544
CAT,980,oircpqxsxc,-0.4845,-769
-87,yzdmafmdrg,tsmgdzngpq,-0.4315,sspzidzvom
-689,207,dOg,0.2235,qodjfhumho
-0.0445,-376,0.154,-0.0425,0.2045
pecordygla,-0.064,-0.392,-431,0.1975
0.0175,webfqlmmnd,-0.239,0.4895,92
-365,-0.093,nuceuixvmu,0.316,juympwerbi
Dog,-0.436,Dog,-0.4475,-0.0545
849,175,0.4035,-776,btiuxvazwy
48,444,azntlhkwor,314,qssdrtjzpf
-0.4365,-0.1435,-0.3385,cat,65
-910,caT,ookdwxuxjr,-601,0.0325
-0.258,0.174,CaT,hgzgnmlrfe,-0.2305
-0.1505,wrcvwivsdx,0.151,271,0.423
247,DOg,uolzszdxhl,qsawczushy,37
-0.1725,-0.4025,0.3505,vgqsdcgznn,ibzchpuced
0.1205,iczvnqutlg,0.1505,0.0505,731
lcaekkjzvi,mdaxzxkold,DoG,CaT,-0.0055
caT,cAt,692,bybygfmhyj,ngztmdnsqp
Cat,-720,dvggmnhzgf,rsbxpbxhdg,zvuoilrqkw
dOG,uzylkdzsac,0.0215,0.076,-24
CAT,-193,588,-0.144,detwbsyvtm
cAT,-754,-0.154,-0.3045,dznccfmbgz
afqpsvgqur,swqlyvgebu,lexipuzxyr,dOG,doG
-287,mwcyhrcvfd,dog,-0.4765,-0.3955
eowthncahx,-0.0065,ihjqberkvm,ifcghpjpxr,cat
bkvyycfypg,-0.097,dOg,-584,utvzialpkh
wifbppntqp,-0.1515,cAt,0.4905,0.4425
dOg,0.316,iahzajovqr,-0.424,728
cAT,bwyxzxddmc,dgvbwsnieo,817,Cat
-0.358,643,0.266,-0.0235,-0.198
nclwvavqyw,-882,vvzuspsvsw,919,541
-324,397,cAt,615,944
0.4345,CAt,-982,0.094,qnvunyjlyx
968,tfliymsnkq,46,jwjvahfcoh,CaT
hhqntmljuw,DOg,dOg,-0.025,DOG
-0.2465,dOG,-796,gjgtkvlmgm,-507
0.12,trvlrlzaqj,0.347,cat,-0.104
0.247,-0.1835,704,-238,wyxtjmijax
