xehgotlyha,fjacpfuqeu,vrkkdepviw,gxxbvyokcj,dvdmewpafi
0.155,-504,0.0865,-0.317,loslfswnhi
dog,CaT,-569,uujcqcysar,-507
0.1165,qhakurvest,dOG,-445,lrfnbvibrd
mbeqomqwbw,knykrnhsvx,-0.3065,463,dyywwpywnd
CAt,-256,cat,-0.492,dgknbehchc
pvwgakbhbi,-969,-1000,clbyegvedq,0.2125
0.4535,jiqbwmwtws,0.0585,-660,-33
-0.1105,268,dOg,ghsingdkki,ylncmigrsz
emltmcmnqw,-179,idgpyykikm,0.414,-0.095
bkmxbploag,0.425,vddcyeblwl,CAT,-0.3625
uablebyuli,-0.1765,0.281,zkjlofrxpd,-0.33
yghsbegajx,-207,-0.393,CAt,649
fffgkoqghb,0.1335,-528,995,jeireqdnsp
zzqbzwvftj,dOg,809,0.322,192
-228,dOG,eypmxhvtwa,vglodbacjp,qrbypvyobh
-0.0665,27,0.268,846,-0.29
-0.286,CAt,-243,Dog,bbtpvvojui
CaT,-0.1535,CaT,wynujydiyj,795
dwkwenusud,flmefjtsac,aqmjhwwpak,dbmocxgwuw,zdrvuwimnm
-0.076,-0.307,svhxgcfxwc,0.0815,-0.138
eqrubbltuz,ijcxqmwhor,Dog,caT,-0.407
dOg,-842,939,-0.149,ngpkibnmkc
jydtsqxocs,trsgijnali,-51,-204,dog
quzjqbqcdw,0.0035,doG,-0.0205,0.144
doG,0.24,-0.443,CAt,dOg
uqfmjbuyac,dovtnyjquo,0.435,cAt,dOg
-0.242,-920,mkshmbkaaa,DOg,-819
cwnqjlkziz,0.3315,CaT,0.278,-242
ruedcwlntf,domyftejiu,-68,-470,749
0.1225,fzlqiawpwq,ypncuipeac,cnjezksvuz,jaiziinhsd
-0.447,yvpclybawl,15,doG,-949
520,pdcrvcuugk,vzyfinttmb,308,lreavxmbkc
-0.3385,734,gjwzplurtd,yoqpqfuvki,0.2175
0.2685,skoozcchgk,0.263,tkomoebmak,bowtsylwwk
-376,ylnabmtndv,-0.329,doG,-220
cAt,220,cjdqphbhoi,-0.2975,CaT
-969,0.1165,-986,269,cAt
lsmqllzqqb,-0.3725,0.216,DOG,-0.3585
svnppaqpgu,-0.015,gnsdkuphsq,doG,kaizjnlcnm
0.3265,-0.3485,-916,fivemetqaf,hlumppiuha
DoG,406,0.1835,dOg,cAT
CAT,450,xawzwxcuhf,iwkrncyenh,105
cAt,jflsdhpmfx,ayebovpafw,DoG,hhcdizjwrw
tnjruqzvxf,0.3485,-0.212,CaT,dog
0.4095,-0.495,hiwgjfgole,-638,-0.2945
jpywucezll,enzkszmirm,hgxtbymqqv,xczqnojxqi,-773
rtsqynfufk,0.3195,DOg,doG,-0.341
xcixlcdodc,-0.489,oltnwgotsa,728,DOG
266,312,Cat,tobylehjhg,dbznvrfgcs
-0.471,jytalmohiv,-0.5,ovpqromahc,zfvtyzmiir
CaT,672,CaT,doqrjtqlud,0.309
htijlkcsou,-857,0.3975,-0.448,-228
DOg,asggnahdah,0.2685,0.092,DOg
dOg,543,0.255,-269,pgwvqzmpbp
-522,-891,dOG,thwsgdhrkz,dOg
0.322,476,-0.0395,jddbfgheko,-0.205
