clcjbsvjnn,aswatrxfbk,layjlekfts,yhvvhkxqti,gwdqwwqxos,bwnrnbdbje
DOg,kyddxbdreb,hzdeibzmmy,-90,dog,-898
0.0415,-0.482,-946,0.353,0.154,czzjmvdhkt
159,-0.0975,22,ojkcjjnvnz,thpwbnecga,pcuutedznr
oqkdskwwam,CAT,DOg,917,Cat,-0.1065
auwbmlikax,0.334,-0.468,tyqjoiyrxk,ywvtoblpya,ceuujtamxx
jjydiniats,0.0265,fvsioogdhc,0.106,-287,0.049
-0.187,738,0.288,728,-355,lfpjbmtasb
475,-0.474,-0.3595,nyntdfiooa,-0.227,-555
cAt,0.1665,-0.05,-0.205,-638,-0.361
728,utyzqlljuu,-0.048,gmmfugeajv,DoG,lirxwqxzrj
-454,-0.1815,dOg,oycjkeqmdd,0.085,201
0.3065,hirlxafxle,iooujfzywl,-726,0.4365,arpwgbjwdt
jlcrovidpm,578,0.194,790,0.0645,-0.004
drhjpaqupb,830,kqsvbmwfjo,-401,Dog,-200
malxapwkbx,nliqktgjpl,-697,0.117,pfibjxxozk,fyijcjsbsd
vtvbmcfrph,154,-729,-0.0845,467,884
-0.028,-151,doG,0.4375,hdksyuiqwa,erjhhlaxvv
