nghjvjjukc,hqzdzkszgf,tgwcwiuiin,prcvylkbcv
459,-888,njajqxkwih,750
920,0.3215,-0.3035,dOG
0.263,-0.2135,0.1845,0.463
340,-0.4715,-0.325,462
DOg,nbgqnxngwr,0.3705,150
-338,CaT,0.357,zhpovmvbel
CaT,-0.4655,-0.406,0.4475
-0.2805,-425,doG,ogmyrsbyum
271,xjxykdfavb,0.2255,-0.0375
Cat,0.4865,-0.2295,0.302
dog,-0.0235,-0.337,bgzropwyhw
iiemtqymse,-0.366,817,xflrkxdmcp
ezmumpzohu,216,CaT,yxayhhqmhd
kjsurylhio,Cat,0.308,817
-0.2825,0.247,410,-0.151
-0.1355,0.1795,xhethlkxkg,ypuljxwekq
860,0.121,-312,yjilhxdumf
304,srlvytrnkf,clsctetklu,992
0.4085,0.288,-0.4885,CAt
-0.3005,cAt,-0.066,cAT
354,jsjruolyie,dOg,elgajbiwha
xfrgojpwlx,wwalivupjv,-0.1165,DOg
xpjewesvuo,952,-937,sindmhfojd
-292,-0.0905,dahyezorwx,CAt
709,doG,isnginrepc,Cat
490,94,-105,sfpkhjcyex
bgpdkpgahg,0.105,jxhusefihz,0.0695
Dog,cofjqcizkq,0.1505,0.336
-305,CAT,dog,-0.4115
-0.0625,-563,-671,126
-0.3735,439,0.3745,-576
391,djqojsfbec,-646,oybdpdujnu
DOg,ksjfpwepla,xtvtfbanuu,859
-0.441,CaT,-619,rbeuquramg
891,oithifggxh,-0.455,790
975,vsxqrqwfti,bxlorejwiw,0.39
hgixzvuadj,-0.129,-626,dniobvagcr
0.1295,-172,CAT,dOg
355,ixlyavfunc,-0.4495,-0.141
237,dsujtclnwx,912,-113
dOG,Cat,DOg,0.0825
0.3775,6,-0.2815,0.131
kejehjbnez,xshahsrnuv,730,-0.125
-0.19,-852,-0.2085,0.101
292,DOG,-0.0535,-0.0565
caT,dOG,ijsbwxthat,-384
DOG,-0.2475,CAt,-0.254
uxinsfkpel,Dog,kjhtsicnfg,-0.1775
-843,fdpxthsmar,nnieydtrlk,hscjwskiex
cAt,hqmrixopbq,-0.365,onfkqjfxxt
DOG,kqabcdnyzq,Cat,-596
-0.0455,ohdmcopomu,0.4915,-27
-0.2205,359,0.455,281
CAT,tjhsibbnwb,-0.395,ktoziscgcm
evwsjsbqfd,waweeeancl,742,mpcrnlliug
-0.044,rkuwsteinv,-339,dipyqlvxnq
osmkqoortl,wncmzkfesz,-0.4945,sooevjyuih
abjcdzdpcr,DOg,359,CAt
-179,0.494,0.4415,dewkfoelnf
xuymfbilrs,-0.1765,-328,grxfkivdyg
-637,icplxbdwds,pgahgcmvhh,0.2435
-689,-716,Dog,twahrddbcc
eabtpijwua,0.051,-635,-0.185
CAt,-0.203,qoztaogfnu,-0.225
aridgbxxpk,Cat,iwxpznxqzf,pbzxiruhlf
-0.2465,282,-238,-977
368,CAt,712,DOg
-0.225,0.415,0.1625,-0.179
-0.4685,sqaznackbb,0.276,xcdnwgutxt
xwqjenpneo,-631,jvefhdaitp,CaT
eyzkdwqdjx,yturbceuhh,519,-0.3695
-0.2405,0.474,dOG,cqcebpbasd
0.308,192,caT,DOG
-724,0.38,0.4005,-0.217
olljmaeiqn,50,dOG,-432
-814,gvqempyvkk,0.0745,cAt
ivewwfmxpz,-0.13,-0.4845,ijiqercpxo
