ccmesliugd,orqaffwcfo,zwajjtfdev,jnkumvyeyn,hmzgbolkec,siwggwefgs
0.31,-980,-531,525,0.4835,-184
ickwjdrxpw,zjjmmrttpv,242,-0.3415,DOg,-0.435
-314,rwnctvunfs,0.3015,xznlvxnpew,CAt,0.0165
-281,0.026,-0.032,-225,DOg,0.468
doG,0.294,DOg,1000,-0.1815,0.481
DoG,-312,Cat,0.0485,-0.1305,scyupbvfjh
rzrsoexxvu,-0.285,Cat,DoG,unmadsymrw,0.4935
-0.3395,-0.1005,325,583,Cat,842
CaT,-0.4805,-758,whusscefsu,-934,jsqpnooxhe
-379,0.2915,194,885,0.1615,806
mwmdxcnbup,415,twjsmpedct,-132,-437,0
-0.2625,-312,-0.259,0.465,0.21,cAt
-0.423,0.373,504,0.221,xgikfgvuyd,0.105
cmzdgtmxyc,0.3475,-0.264,-26,avbsbmrazl,-0.262
759,ipzdpapoep,dthwgxgknd,-998,-0.0165,-238
cAT,cAT,-14,cgwmafewjt,0.4065,wpfdoyhtej
-656,CaT,njftffyrtr,-114,0.274,0.457
ywivhipuaf,0.414,nggvyflmbq,0.0585,CAT,dxidemsijt
cAT,0.259,0.399,hdpqlpwkas,229,thwlqetcnr
-0.088,qeljdtdppu,-764,639,caT,613
860,0.447,0.1195,-0.2775,kvqhurypbp,ipvxqzmxdr
702,Cat,CAT,dog,dliavtvayh,-0.3915
0.1255,slxgfulcwv,mpfwdwxoso,-548,-0.225,758
-0.3785,hzjbofhzxf,-0.252,-49,-0.0535,0.0345
424,caT,0.2385,-567,-0.1515,-0.0075
890,0.2935,-128,wnpjmedohf,araswatezi,Cat
-11,dOg,-0.0365,DOg,0.4445,-0.2875
-0.0855,-772,rnbspgwqra,odhaluysrz,307,sluuigywyw
-741,pygcgffior,ywejzjdybl,0.499,caT,0.2805
0.3895,-0.176,-136,CaT,qikojaqaxz,-97
xhdfbutyca,0.249,-0.003,-947,0.2345,-0.0005
391,qhtzylajab,ixpimaswsk,lvnyvdrhlr,-911,-0.146
455,-0.481,cAT,oknxjcygib,311,cdsikyrcti
zufdysatyl,-567,384,-0.433,0.374,0.115
hngbpcxvrd,-199,hlpbnjznsz,gmmsmaimna,454,groiuhqhzk
-480,-0.0375,CaT,0.062,Dog,661
-259,-205,0.0695,cAT,-0.225,thjbukdxzb
-0.3185,wwdyprwpyl,0.1595,vbqxvjpyjp,awsbptuocb,-50
414,vmyjecuyxf,DOG,tuabhailzb,-811,lvwpthwyni
-0.0245,gyzgsejpio,-23,mfzauibnit,dOG,lxiahuouiv
-121,CAT,DoG,845,mocsrswfwq,0.1225
-576,0.0105,-649,-887,dog,941
-137,CAT,bnjwoenydo,0.4975,-51,hbdcyewauc
-0.2645,DoG,0.2615,0.0075,-947,-657
-32,dOg,wmxptvfmnl,dog,154,-0.0975
55,-0.056,rmwmaygfzs,zyrlaqmtvv,cat,Cat
-315,-0.4905,-0.025,amdbctgchc,cAt,260
248,865,xrujbnazod,cat,bgazcjytjq,knevbsiuxi
fklwhqgxqc,ftmakexisa,qfrdecrjim,DoG,jrmuohxkym,dkncoxsasd
0.1875,0.153,caT,gyzyvpkdaq,261,kogflsappu
ksuwadwxbg,ptpccsigbk,gtqaxovrnx,otpumkejkt,stvauprrhc,nqjyxrjrkx
-599,772,0.0335,pxrtmelrgd,cat,sehykmwhsp
