yhrwcpxiit,kqwktzcusj,nachpgbbpz
cAt,-0.083,-0.183
-0.055,CaT,-518
0.4585,261,-821
-0.0085,vjkhczfxnw,-0.1985
doG,wjthrmaqxd,0.492
-0.4215,546,400
90,ohorqjssos,-0.0635
CAT,-0.2245,756
0.007,DOg,uytnfjyukv
nmoxwklqga,-0.083,0.0715
lsihuazqrp,depqbktrlf,rvawhamaft
40,cAt,0.389
noxzcjssgi,-173,0.1525
0.4635,-0.106,gsbcmfoyui
-0.4405,0.318,-792
0.2385,Dog,0.273
0.1485,-0.183,631
rzvytmwppy,macowpcbtj,0.227
deupauwdlj,jxiedwhusd,-660
byofgpkcou,0.4175,273
-0.136,dOG,-887
meszufefrh,cAt,0.3255
Cat,0.3615,0.4415
qzritaxnps,-815,144
-930,caT,-550
kffidczshu,292,wqqahbcxyx
jmefxdpkwu,yvlhjnksby,639
drhwuqdwku,-0.0875,-0.312
168,-782,ydmwzxhvdv
0.45,rvcltsvvwa,-0.0115
-0.395,DOg,vaeuwpoxhy
caT,mijeqeqmdq,507
-0.3925,-884,cat
ynzgyhbulf,-0.0095,ozzzlgukds
-209,84,117
veynsuobna,dOG,847
-566,DoG,0.3355
-645,dog,-608
CAT,-290,-0.4835
cat,0.3585,32
-726,0.339,-17
oicrgohlww,qshqcditlu,726
DOg,prhnnhhadw,356
bnjlrvljay,vjobzdoztr,0.259
-0.15,sotacmjvzo,0.456
122,DoG,-0.3865
mfrimwcfet,mhasvgylub,wyoynlajvb
DOg,0.493,-301
324,qzomhqrlvq,0.1365
942,-720,CAT
qyyyrylfqf,0.0925,ngcugpmbfy
0.3725,-0.1685,625
Dog,bztauwkkxj,826
0.2075,cat,wgnqjyrgvq
0.131,dOG,0.3945
-258,hiabmckpcr,-0.4645
-794,-751,CAT
cat,dOG,czpbdvpkdd
-0.188,mcaxuwjffw,-0.1345
dOG,346,-732
-0.2645,665,836
vexysjqdxy,-163,-0.238
-844,850,qtdhnpabmh
299,-128,0.1285
CaT,-876,Dog
926,-694,403
908,-0.287,-85
rrivpssteb,0.008,554
-0.225,kirwtiegtm,cat
pxwofkdaye,hxotidaqha,-762
cxawzczlse,cAt,-0.1415
-267,-0.3115,cat
