gffdsfigan,swipablsob,shbeqsokei,klttwmbccs,PEt,dsccodralb,xfpzgsqnpc
cAt,ofjgxnzbsg,ngpxvyoqqr,nddbcsozwj,cAt,cAT,dOG
tfukbrofjr,-241,DOG,485,caT,-0.462,820
0.4965,jmywjvjmzl,bxhvgqqijo,keusjwbytn,vjrhxxsiov,dog,dOG
0.001,vhzemzyvru,njekwnqwkj,doG,doG,-551,cAT
-446,-0.349,dog,aybozbkxpj,-0.292,161,0.386
iedxoegpxd,0.2675,0.071,482,DOG,-32,Cat
-0.465,826,qksqalbefz,-610,cAT,blgkdktpot,-923
0.1705,Cat,0.1305,0.148,dog,cAT,0.431
561,CaT,rbayodytcn,-0.3945,doG,itddswvbtg,0.3975
-395,-871,DOG,0.093,844,CAT,Dog
-964,ggzsgksccx,pxqpykghxa,-0.455,CAT,-0.053,-466
868,dog,rtblqmxrrm,nlxouclylp,DOG,uqqjpvyvye,bqwrarvtfy
hqtvwfnelm,0.1125,Dog,0.3205,799,dog,cAt
dog,caT,qaozmcromm,137,caT,816,dOg
0.461,yfhlqrnwor,-945,-0.4535,DOG,-0.2905,0.3705
joluqzqubp,kxfnezrzob,18,upwjpooseb,dog,0.1035,-934
-0.281,329,dOG,DOG,cAt,-853,drbkaqdxuz
dOg,628,Dog,0.3955,ydpcetflxj,sgjcolmwwj,-15
unbiudsqnx,caT,-0.341,vigsbdvfsy,DoG,225,-0.038
cAt,-343,-0.043,-0.143,dOg,askjjzhkgh,-0.2255
-0.149,0.2775,Cat,243,cat,uukbedbbnm,801
zbusbeeuys,995,0.1695,zhqxiavflt,0.278,CAt,19
doG,0.247,kggjfsfnvd,121,cAt,-953,fxxqktqafy
-0.4685,gjpxfdsejm,-614,-0.446,cAt,0.362,-0.4715
0.118,-0.031,hyaxfkhcls,-0.404,cat,xnrtywczoh,-646
-0.4305,xiypzoqrwo,znbrzqagih,nvlevxdrbp,-202,373,caT
239,qnzxefovha,DOG,-0.4185,-0.41,-192,-270
-725,-464,Cat,clcmpzjnlh,DoG,-631,-9
0.4035,-137,akbrplwjcf,-0.2825,322,asnuqqinlc,-0.2295
228,-365,npkfmkziiv,huqqhsavwd,Dog,syeofbedbh,eouzwbsvbr
0.004,769,dOg,dog,0.243,-0.1875,cAT
zzjxeatena,-0.3945,50,cecxvdxsly,-226,-0.12,dOG
tfinnwfuda,-13,0.1445,nbipgsupfa,-626,148,ulrtgpbgbu
sbyjjziriz,0.172,0.41,296,cAT,-0.2835,0.351
-0.137,ztipbfjocw,-936,0.258,CaT,cAt,-0.2885
0.2945,287,527,DoG,wjhqlwksuv,0.2475,0.264
0.4105,odknjivcoe,713,858,dOg,907,-0.168
-939,CaT,DoG,-6,DOg,-828,rfinskfayq
791,-0.224,yvwrslgqjt,cAt,dOG,CAt,upwvgubklr
CAt,919,0.036,cAt,cAT,CaT,0.184
0.4575,603,cat,DoG,DoG,893,kzsrsgdivv
-0.1225,0.2205,CAT,0.0545,CaT,memnkyofjl,dog
-701,zxoxwviekk,acwqhhkwxw,-0.1265,cat,0.2385,-181
741,DOg,xvlomxplez,Dog,dOg,dvejtmuchp,214
-0.011,qxsmnfbuoh,-31,-643,dOg,edanrkjgfm,-657
0.295,-15,DOG,vptpkfrmnu,dOG,0.0115,0.356
0.0805,jullwfjaln,0.1145,-0.2435,snqbtuuovh,-309,sumkvntfox
caT,phngflhwaj,doG,ibnybsqtxj,CaT,cat,843
mtgwpsiosl,0.3435,0.168,-0.403,DoG,-626,-243
-0.2035,193,eviruwptmh,0.016,-625,0.4225,0.041
-431,DOG,339,0.0435,dOG,-91,0.0785
jdippjtjdw,-0.442,-184,doG,653,0.237,403
0.1275,-57,kllyqxdyjb,flxztjozmu,0.268,doG,-464
-507,0.0975,crtvubseyn,kyxpsgdyix,caT,-0.3695,-0.239
qumpdzfgqz,-0.3755,doG,-0.0075,DoG,0.4175,cxylehnkxz
pynworuort,0.2545,husjdqoyca,-0.098,dOG,vcubatpdsi,39
-985,0.2925,qgccvfunmo,joelvnpwpe,cAT,afzpuauuxq,nzvowkivjj
