ruicbopamf,chgrcqtwvl,jmgjlivdjr
vanvdpznsk,doG,caT
dOg,671,640
wkmgyaczhj,-162,xcvnymzaps
lsaxxmiqih,goexxdyddj,ovvzeipgaf
kssxfrjwez,-0.0525,-0.464
dOG,822,-435
0.269,711,wivbjtmsxj
fmfvcjrqxc,bxzfzrzwfh,djxxogsymb
-0.4915,edozudqwwm,-0.273
cAT,lhrqhiekhx,322
-644,0.2945,0.0325
0.3165,-462,0.357
0.4045,CaT,-0.43
-462,gjejwgtbid,-628
-0.28,caT,350
-407,-0.2455,0.01
0.135,hyfvnmzpit,392
caT,-793,0.1365
0.4345,0.4005,gzplgpjcxw
kpijywohag,-714,-549
cat,-429,-0.181
ykbyaadccg,101,-472
azldyydjrp,vwmrfwxqku,-0.089
-0.225,-485,doG
0.335,-0.2215,dOg
CAt,773,ctovuehszw
Cat,-572,0.41
732,0.3465,-625
-0.145,0.352,typrjwkjzl
0.2785,-0.446,0.1345
0.0015,244,-0.2695
631,0.1025,-195
-0.3305,cgesshkpiv,CAT
-464,278,-0.376
DOg,0.289,tqhhekpqsz
ivkfodesdf,-0.3175,Cat
415,-864,blnajimtwn
-480,frpnbunoip,oxgifvkxkd
121,qwnwfcptgj,-0.1285
-70,bngetfllwx,-85
-0.3225,-0.0135,190
-254,0.479,-722
-347,0.092,-0.3905
52,-131,-0.3745
Dog,caT,-824
Dog,0.0035,intvupubwd
244,877,-142
pmnyknongq,132,DOG
CAt,rftxbwrtdh,905
0.309,uhbzyiqyso,lhqwakhbpn
-948,-0.33,dog
-877,doG,-611
140,0.0005,pomvgyriif
fdhdzmoqan,-0.241,iloeikuhbq
-0.2055,owlqdtbrvn,dOG
942,0.1945,-0.232
-0.356,315,445
-181,qrnqbjxsih,nlncxejztj
