pEt,kfqvymeuma,abxvwzikmm,uafvmnmtob,ajgrhfsbzc,iegjshinmh,hstdirtbdt
dOG,496,-0.255,mydbqnehwd,DOG,-948,Dog
cAT,770,yihiymadst,-0.437,zmncxhfmxx,dog,-0.0185
Dog,skxrawuvbj,-0.0405,-895,0.082,386,dOG
caT,dog,DOg,mgokydjgqg,0.4415,-0.3925,-0.2205
doG,695,-132,nikclhchqc,715,pshybckhxl,375
-476,0.286,cuytgaxdbv,810,0.4995,-698,CAT
DOG,709,0.13,gsfrhblfnh,jmiaxxkqdw,dOG,cat
Dog,971,36,575,gwmajtcqgr,dkpausbjep,dOG
dog,ednazhvmbj,-736,-0.4075,-535,-818,0.1595
0.1055,0.477,-338,0.272,mgdppuwhqb,342,0.052
cat,puolmfhbnl,cncidhvedn,gerdpsqrvy,917,-0.2105,-251
dOG,-581,167,-0.072,-47,84,0.3815
0.341,-663,0.169,bdoqbliydi,fvpeigzfsa,DOg,0.0945
dOg,yibwkjtrce,CAt,0.4885,-0.4685,-0.2655,0.332
DoG,Dog,-0.17,0.1505,-514,CAt,xrxgaohzyf
CAT,DOG,0.107,-0.0795,789,0.2775,-0.233
DOG,-0.4345,xjeexecoxv,-292,agujmdpyac,608,-607
cat,-472,pgrgnzbzem,cAT,99,0.369,hmqwztwxrl
dOG,cAt,0.483,cat,0.3575,0.376,0.0575
dog,hfkjruppbv,-0.396,-737,-0.0925,61,275
dOG,qynyteaagg,0,acswrpmgfh,0.257,gcljmjbhal,elgklsifuc
doG,cAT,190,bxhhbidrvf,svkovsdzjo,-915,-947
doG,-716,Cat,fqqwvrozeq,ehhqsnntto,ljnrqmfrmb,-0.459
0.407,cdvrnqbzgs,-373,0.4405,-0.2095,yrarhsgizw,0.0885
-0.4085,qcezsgdeao,335,548,-0.0205,457,-0.344
idxawpnrjs,zzkvxgunta,dOG,cwhhwwcbge,-0.043,jpwjrsoeyu,480
CAT,zumglwoflz,Dog,cAT,rxgqqxalse,Cat,0.0405
bmwdzlfnwe,CaT,-50,241,892,dgxqsleobf,cggptfjzgq
oxggicjjql,ulodondaru,rdakplixnb,-562,wkuzbgjzzy,861,tiunysawqk
Cat,dOg,Cat,aghrfisypj,cAT,doG,ytaroffeem
tvvaripvbz,-0.4865,cat,carpjwoqor,0.04,76,-485
dog,-362,-628,DOG,0.1115,-0.3005,76
dOG,0.326,caT,pvhgftiozw,-0.398,-761,-312
DoG,xuzyrpjtog,-0.2315,-0.056,152,avlfgdktbw,-538
-196,xpzatebsfc,0.204,265,-635,0.4335,132
dOg,uxvmducfbr,-291,piynnvonil,-0.241,sbajbwlxkk,0.4255
-357,cAT,fcyofaaldy,695,-0.418,CAT,-387
caT,jzhzwkcmru,Dog,0.137,wcwrzfqrlq,827,0.3105
caT,994,0.1345,Dog,ciwsjfzzvb,dOG,252
oggsesjxrl,0.357,-0.1935,dOg,oaqjebwbps,zacfmynktn,-737
943,0.077,-192,820,Cat,yodukcgost,-156
Dog,-0.0745,-280,-375,-0.397,-0.431,-207
pqrwzuifwa,ztncuscoml,-990,-46,-0.3405,dOG,-0.3675
doG,CAt,dog,dOG,kszxdsulwj,bdsoftidxb,-656
cAT,DoG,-292,331,CaT,0.3425,-464
DoG,0.396,976,-178,698,ybejzjqlbl,ffaaqrliey
dOg,lmwcuxxjpx,-0.022,cAT,dOG,-0.2455,-442
qlifqlotfg,gbpiclyqfh,-0.396,445,zpcrkcahyk,fcnxcanjwm,158
caT,-0.1985,gqllzwsmnd,isxxlyezkn,jrxlcsfffu,177,fbbawtjtbb
dog,-694,-0.2865,-375,-0.188,0.46,nizhuhiyhs
cat,0.0095,vwfhrfciqa,0.2295,dog,-0.2305,967
CAt,0.084,65,-0.451,-808,-0.4715,-25
DOG,325,-0.1535,Cat,300,vvplhsbvuv,821
abmrqdmzxd,393,kzcsxbxwwm,cAT,-831,309,ooalijavur
-0.278,DOg,-660,dog,dog,DOG,jtelpayhvs
dog,-0.434,nswegibgtb,rshjjvfaej,-488,940,gbxskhnxus
jcaiwxbswu,pbduotdztj,cjpocgpqmw,xsaemmstwf,oypjdrnswp,-968,gxjkixzwpb
