wsbfixtvxn,qxkdqgjmbn,uucqjibfhv,bpektyblmu
738,cAt,0.3115,-0.013
cAt,-0.3245,-0.441,gnafefhoae
14,328,864,-0.406
0.454,-380,0.346,duxvkuzmqj
-839,-0.4335,-0.323,thumjcifnx
Dog,xmxxptvojn,-57,-0.1215
281,dog,-0.414,-654
-0.2305,-756,kcfaqghjyf,0.2115
-0.209,557,-0.3075,ocgfyicgse
638,-833,736,cat
844,160,0.335,0.4105
qjzbuiwbjv,0.005,-0.384,0.459
0.221,0.106,dOG,0.45
-90,oenksmhbxz,-0.457,-808
-0.3145,-576,-655,mzjxrzffta
225,852,CaT,resmkwscew
mlbijwryjf,-0.4305,-687,DOG
bepqnnfxye,867,-381,0.4085
0.285,486,CAt,vzmluuxrls
0.2425,0.422,tkppsdmejd,593
dOg,evsguhbmfj,-805,-0.3165
-0.0515,-0.0835,kazrldxuuw,-258
CaT,-0.1815,-0.152,cAt
0.0585,-0.1805,-0.1075,-0.299
918,-45,-431,-800
0.3855,53,-0.1665,0.452
0.0195,bvkhzzlsfa,ucclscovtt,-0.1495
995,-0.1045,43,0.194
0.407,-768,0.3,ekebkpbyvq
xcavccrhky,-229,-249,641
0.1195,-0.445,132,-0.1575
0.3,373,saokpqyhby,doG
7,502,DoG,vdiidndwaw
-816,0.3465,946,732
-931,720,-67,-647
0.166,uppkwjxtmt,dOg,0.3205
225,0.041,-0.16,-314
-174,586,118,mirycgnbxw
