wktpnguszr,regifavjgu,bbbrqwrrhu,pEt,gzugjxoech,mjhrjsxcyw,lwcjnenfcl
kyfngoetvi,lrgkolesfc,dOg,DoG,dijguulihv,-0.079,Cat
zmzdgodrvw,-824,gohrpmkhdp,dog,xituiqetow,-918,hpdrvznetz
dog,-852,507,DOg,-265,phuiqhfmjk,CaT
0.492,xlxouduyua,-0.378,pnwcvagmfo,paaybbpkyv,caT,903
0.3305,swkiefaqrn,CaT,586,-783,505,dOG
-0.161,-583,nhaxfkrdzv,CaT,-0.1915,-0.3065,-486
0.059,0.21,-699,Cat,-385,-0.4415,0.1905
888,vmbrkonvyp,187,DoG,dog,0.3335,lopiuswtui
DOG,dog,-993,DOg,-986,991,icvooqbxhn
vajeunwlym,-896,rmqpktglpo,Cat,-0.207,-0.3825,jyfcbfobdl
caT,Dog,167,Cat,ldoibadaoo,-0.1885,-813
0.1805,0.1385,-147,dOG,829,vowplsxhkm,0.0325
-920,-927,-0.1635,-699,-0.096,dOG,eercvkjdgj
DoG,0.1295,Dog,0.4485,0.2105,0.308,ozyckuroex
cat,0.268,ekejhrxhtg,CaT,hdwhkdjtpo,-273,-0.374
jmvbxirouq,jfmvxprknn,cat,CaT,-0.18,0.04,CaT
