bqkefcsjhx,jqdhksrpmy,jskpspqriv,cjbolldhkh,uwkftybdpr
0.201,ofsbqbtjzn,0.0865,lybcdmwbeg,395
0.2175,elevennpbr,-0.149,-0.2365,324
577,congeyrnlm,508,dog,bwrytieifz
-0.1505,-0.4085,lxvotntkaw,-306,-0.284
308,chdibpnmnp,DOg,0.3,dog
rcaaciovbc,320,tafblpnewz,cat,bxmtulabpm
-478,CAT,0.4015,-288,0.482
-130,-0.4735,104,-240,0.043
ewmivojjsl,DoG,0.371,Dog,-0.2245
-648,DOg,886,saipngatxx,767
Dog,-0.456,-165,-0.017,943
-0.394,350,-564,gdhrifvoyw,Dog
dOg,0.046,dog,mvcjuzbksd,0.0785
mmslnedkvs,549,0.282,0.177,0.458
29,0.384,cAT,-0.4725,dog
-0.293,133,CaT,-0.1745,-0.306
0.163,Cat,0.4695,459,-0.222
0.1325,-0.4065,-0.124,0.0715,caT
ybyclbwuix,pzblopglyw,0.1905,-0.066,224
oqbzlrmsuc,313,-588,-722,0.3945
142,0.409,-823,dOG,mixbumicod
-0.413,-398,rufkrmqqgc,933,nxkfagvksg
0.028,doG,dlicovdkms,909,gftdfhmbxc
CaT,0.1395,-0.1935,otoldyladp,-0.387
dOg,3,ruskzywpzu,gttngaeqxr,DoG
prfyqwrpmg,DOg,0.02,slphifqwmh,577
mpbsucmaji,-0.176,-790,btqmbvubrm,zqfyzriuxt
0.0255,hvrvlfhoyx,xxqyzxxute,DOg,-741
-0.051,aldzkovvnv,0.47,kjjqcmoqvp,eeekpvjdaa
Dog,0.359,40,dOG,qeapvznyhz
0.446,-545,quqqmztawe,-820,qnnfadcxqw
quyikwiujj,-0.107,dOG,-69,Dog
ezwcwcynze,cat,-0.495,-881,-192
0.139,csmjjkgdhc,DOg,cAT,178
ejsvaukeul,doG,CAT,0.342,dOg
-781,0.291,qmvuulwief,vxxcdtwudu,doG
erpaudeuup,dcicitorng,fqqpiexqgr,-0.066,-0.4065
msnrwxykod,-187,-49,yazdozxbfl,nqunfuvprl
upursybgoy,-0.2835,vhpzqizqac,-0.4355,-0.326
DOg,jhjsfbfhyu,-943,bzdkexehdy,Dog
0.275,0.282,Cat,-792,-0.259
426,-0.49,hlrffluczf,ctkwopgeuc,895
16,DOg,DOg,-0.0075,873
69,-476,0.282,-0.303,ocmveaywne
-181,gcbfeeusno,CaT,zurgqgogoo,dOG
oecumsecam,jvnvvyopkd,hafqblibow,-0.403,DOg
CAt,-0.409,0.389,-0.139,rxdfpkjmhi
0.4405,dOG,dog,579,jyowbzozho
0.467,-684,DOG,-0.0835,-0.1135
-0.078,699,856,0.4695,920
-618,rrvgoeumxw,0.448,CAT,-227
-0.2805,-0.45,DOg,Dog,lyqtknctdd
-349,0.412,lmkbposikw,-0.0325,-0.3755
449,Cat,-643,0.2245,-469
dOG,menzsblkzr,tfyvwktoes,dkgzmtflne,0.1855
-0.2575,dOG,kuavsitxlx,-0.4955,-640
0.44,51,qelwplhhdc,skkgmfiwef,cat
-0.499,cat,-0.447,gtwmwkktoz,794
niiirmjprr,-312,fxhblvokzb,odxrbiooeb,672
gquqlmwqge,xlxokhqvnd,-473,-782,dOG
572,lqefsboxln,rgciqamcfl,-140,65
exszgtyeuo,-72,0.0955,caT,-687
gjifzopfhs,udcbmaohws,0.323,-739,25
-0.2455,909,446,442,cat
0.1275,907,gwdyouvzwn,xettgzabpq,-0.181
lbmmdpmcze,0.3405,qwgkovakvv,dffvqzpqrm,Dog
371,jxriwiqivf,393,0.06,0.038
-0.0315,mufwyomxmm,0.311,228,0.087
-819,0.2535,-890,0.294,-0.4595
-427,-851,-802,bhvnevihza,0.1245
-0.0725,xurbkqfpms,ghgyzehmlj,0.4085,-0.4305
-0.1665,nlbnlnxnyg,dOg,-0.2845,123
ufrdixedag,adhorwtosy,-0.301,Cat,bnmbirbeaf
-959,-0.2575,CaT,0.1415,41
-0.063,-675,-0.298,Dog,-0.057
-0.164,-216,137,-528,nyiohwvqai
-0.211,dtcyctbgke,caT,-769,-633
brorxihhch,0.134,-328,crumusfqwl,DoG
-574,xmonixrgkv,0.489,456,0.406
vwiribokws,cAT,Dog,zmvjpfaooe,prnhqmwyej
-0.018,advhujltjj,455,-515,-1
0.342,verdipsatc,CAT,-0.482,clecmjbjrm
stewvezzqb,-0.1215,dOG,-955,0.1675
ddinxaccog,-629,zrcbhsubcq,0.0025,caT
vmpqzwijlv,708,tilyiruciy,jxrtiprmce,-0.458
307,152,0.267,vdnanpzdhp,-0.32
