upapfpzmsj,zaturdlzno,hyjjvtflmu,orbuuahmja
-307,Cat,0.3645,949
kxzxlkcizw,pqphaqobcr,cmoiuimetm,-699
-0.1545,bppcxvsuxj,0.1195,0.0915
-649,664,744,-312
cAt,exlssvddlq,scpzoamdxm,-0.146
-0.25,-656,-0.2255,887
0.166,xidtpistiq,qksjopywak,dOg
961,-182,mtxxeaepds,-359
-927,CAT,-817,kfjbatunqf
doG,945,Dog,0.216
taqvyhbsbx,498,DOg,0.1835
gnosxacpul,Dog,CaT,0.1
0.3885,DOg,pgonvztlzk,agbawfnswo
dOg,rurmfmodjs,ffrqxpcxin,CAT
iruhrjusce,0.407,jiupuzjueh,cat
0.057,-0.4575,vkuzvzpity,0.121
CaT,Cat,550,60
argxsddcgx,711,0.4795,829
ffsenffabf,-230,0.3195,fdtnksrowm
-0.237,537,xwsygispeh,CAt
dog,dOG,pswwqcrcfd,Dog
0.0315,iicljmhyqo,qatzutunmh,caT
thvhxjbqac,rczwqdqfev,-0.1605,tiqmbqsbib
-774,dog,0.3445,CaT
76,0.115,335,qtujxvctcm
uxftxmvkic,107,311,yzdzfyvmuu
cAT,98,0.342,782
-256,exoviadmoo,0.323,-719
-75,mlbqaujckf,xdqxzxzzrx,0.4215
CAt,lmfokkdpra,224,0.007
-699,cAt,vyyengeuff,mcbxhklqvl
odbmrorhpf,gtazpaozay,ufrbodhmnw,-0.2825
dOg,-971,-0.0185,88
98,-893,717,CaT
-0.0445,-461,434,nxksbnmusl
CaT,dOg,833,mncixmpnqc
0.234,pnfgkdiqft,oitozkirxr,67
kqphnjlamd,914,ueivpvbldc,-0.39
568,594,-259,DoG
0.2755,DOG,jvcrqtbbnd,xwoozjzngj
CAT,-0.305,0.1855,-558
-0.2465,CaT,dOg,-0.397
-770,-0.1225,itkrttuwin,-0.3105
qbgbsdvuir,CAt,cat,zejvibqozl
971,hhnndilrsr,0.077,-340
xtscerbxxu,-126,xdtmizcdjh,rngzfbhaas
mzlmxgtxdi,854,DoG,0.0935
imjjvhfmwo,DOg,0.41,dfzplbfeqk
vcewgcyrnk,0.2065,0.2325,Dog
873,-0.1995,0.226,vsakbtqwlt
437,-34,0.1325,96
0.162,0.1455,DOG,-121
-430,lmodvhccam,huoaydrdme,0.262
-0.078,caT,rmftzapfnu,dOG
0.1805,0.0115,-439,doG
dog,Cat,DoG,doG
iekdydloas,cat,-531,0.0435
0.142,-0.4135,0.292,yqjsataudg
tpfbgizfbh,suizaykmpi,-0.1125,-579
-0.3435,gqtcdemvjj,CaT,cAT
-0.486,0.2305,dOG,bdfcbuvcvr
-0.2525,-454,0.1095,mzzvoxaxtq
990,-58,-111,419
0.0355,913,0.24,0.297
ikdzevqwgw,tqpcfwrsrq,0.1225,0.184
Cat,-0.4105,Dog,DOg
cat,yauzglvxst,wcnlihaepx,-0.4165
872,0.0885,-226,cAt
0.134,104,-651,xadsqajbtb
0.1295,dog,ejqqwhmhff,-0.197
-452,-208,mbpnttqbgz,gqfxhvrpnh
Dog,fbmecqgyvb,238,-599
-0.0205,mmvlzqbpjg,dOG,DOg
197,agnqmwvazz,DoG,0.216
0.2645,-0.4375,pkupbfqgtr,veuubvynhz
dqtlpjzkyh,zayanhzezq,Cat,0.143
sttcladsox,-0.3795,0.304,-192
CaT,cat,-0.3405,Dog
0.3955,-0.231,-379,789
0.1515,0.1935,hsynewjzae,53
-0.38,-252,-833,CaT
-0.0545,elfaxrhykx,rofgdaikkp,htujojrysx
vwjueobrck,bufofpfqhm,-798,-0.2855
tbnnnmjkmx,dOg,0.12,-0.101
kuvjjvdkww,udllppluku,ngzbdqulht,-0.384
0.3195,418,DOG,zqgvopirzt
