pacyjzozhv,bkrajzocws,tdutowmysf,idtuawxpor,brhzguyzlt
0.4005,dscvwyzfgi,0.195,dvqmmguiwv,-933
0.1745,fgsivpaswf,jfowmbkxxo,328,-924
-482,0.41,-677,CAT,-918
omaiyfnoeu,dOG,rzxwvlfdso,yrzyfckbvu,xddkkaxxme
936,542,-0.215,qeuzqeoytt,0.4555
352,0.1415,-861,DOG,763
-178,gobxtsuuot,0.366,38,segkarkimf
972,727,Dog,Dog,903
0.402,0.394,0.286,196,-0.2975
-0.0615,-0.3765,eequtuuzld,-865,-0.411
-0.172,0.316,20,0.438,0.2385
sucjzysfyk,-562,-809,0.002,-0.253
cAt,-0.047,zcebhkmnnz,dahioxygur,759
91,cAT,DOg,bvgvfspmpo,-195
731,-560,0.4085,-514,dog
60,341,698,-13,gyezvfjdet
iqgmlesgyd,vxampyvwck,526,-0.0105,DOg
609,pmwmunbrsz,-0.1405,iujfxwpsml,lqmeyqzswy
cAT,-713,cvycsgocbv,nhghualhrf,lbwfnupssi
-0.319,DOG,307,eivsflimtp,smpygcgmlk
-0.3345,-349,igombviupm,-0.3715,iijntzeiys
-978,-0.1815,-988,-0.3145,-0.1105
-0.4585,-0.363,dbkvdpwjeb,CaT,966
468,tbldbsejlq,fhlvepswcp,dihckvclaq,-548
392,Cat,-182,0.1715,-0.06
-0.1695,0.3945,0.217,hcgzpolrqn,ldygpuqwcg
DOg,-407,-0.3095,-216,-649
539,linjwbomlv,-0.0505,DoG,-6
jifyxdorqd,-0.4955,atfgsxbhcx,0.163,lgxutbqeyp
-799,ezdhhvfqvj,mkqnfjgqil,-305,pnyqizumfe
DOg,0.3125,unjnsmtyuw,857,-703
-0.361,-0.065,uiqjtthdps,ofnergryjk,nyyxsduwsj
488,xpbryxhhzs,doG,357,898
0.007,250,124,-0.374,-0.2285
dOG,0.015,0.122,stjcqdbacx,837
0.4045,ioapwhyuft,jtxhaydxhy,998,-0.4525
-470,kidrzogtvu,0.376,wejsuzdxxm,-147
CAT,wkdwyirywp,0.055,mordhtkgog,pweklslacw
cusbnxxyjy,26,dOg,knbnyqyajc,-532
837,tudhxdybsw,622,bndwsoawmi,31
0.3555,doG,ufjnqlczdq,-0.499,qrvgtkqyvz
0.2195,DOG,297,doG,0.3785
CaT,0.361,oonobwfbzp,DOG,0.296
vzbujelqbv,qolidarcwa,0.3345,-0.436,-597
sbmikqfxpn,579,0.199,421,pyuvsicvqf
pfyycqtqff,947,-0.372,859,hsvtutgaft
195,uzkffmpujk,kpholsgmrq,0.224,-50
-0.278,dog,jxjcrgqufh,ahxryibchu,0.196
gkbfaraqkp,cat,djxuiflaze,mfuxiaibkk,nbomgpugxz
-829,0.2545,900,324,CAT
oihvyfanyf,evzxiyqqwf,smosotnbyu,qkyysdxfhy,-787
exnvqzsoio,gfvfhnliss,21,-981,lxmhvzhkdc
cbgkmjsigs,750,751,hsckdhgxyg,kkktqkfuah
dog,dOG,ewldhmraml,791,-710
911,-0.3175,0.4335,-0.4,pjmlhoogkc
