twirhnpjjt,idshwyxjzn,vuxptsgzpm
rjkizxqrlk,-163,CAT
-938,841,DOg
dOG,zproxhfowu,cAT
CAt,dOG,-0.3375
cAt,dcoksxrbgh,541
pvowoobnlb,299,464
459,inggpbmjwn,0.4505
136,cAT,0.048
adahwvjupy,wjtlpmlqld,udiqlccnpu
-870,-186,-890
-0.2345,904,ydphbvmgde
-0.0335,404,0.0695
ijashqfkno,cat,odhvrhlfjz
-360,370,-302
Cat,-0.307,DOg
Cat,caT,-0.393
0.3335,-943,-0.2595
-718,-0.262,-0.471
-0.229,ideomfsjwa,-834
vupllpixyl,vfioebzshz,ibgbgpwzvz
DOg,qkzgxwbqja,0.3715
udupfpdlom,Cat,fwbzwjaftd
cAt,hhofzuqhia,uzzbeqpldl
ijnygxhroa,-0.37,-603
361,-0.3145,0.2385
112,0.393,vhmwtcxndy
-642,omnfxgnslk,758
41,DoG,fmhwssabdz
dcrrobwvou,-737,ejvkprbtwt
0.4715,-665,ehifybmhff
-0.213,0.315,-923
539,qhmuetlphc,0.055
DOg,ryysjtavcu,fiqurvreyy
ztpkajoibx,0.1965,-981
ushwzjwqol,zfgoiagmfm,xcsyybcurb
iwcedccwgn,-92,557
242,mtcpsouiwt,-588
-917,-0.331,lawjcxsruc
-44,-0.424,564
lfwkbslges,-575,0.4595
nzyoldqfpo,svwlrvastm,266
-0.316,-795,-0.0265
xgmepxbdrw,672,-211
DOg,288,-0.436
-151,vbelubuzvo,DOG
0.327,0.232,kiupwgobfe
jalqqjwugb,yxijjdnftj,0.279
jtlxrlxhhn,0.4155,922
-523,-977,DoG
kpatcqekok,-0.429,-0.4165
-136,293,-0.3105
283,DOg,0.361
hktprgxavv,cat,caT
0.377,ksutjoelfh,-0.3235
Cat,pnvcapjneq,231
lcisnwiwdy,506,-0.3735
hohadkzjxm,caT,wzlvwbiksi
0.445,-919,dOg
rrajhxqnkt,caT,0.2555
dbdsatxfys,ciazkcvnml,mlhtnqiapx
miozpjimen,doG,sihoqdlxgc
Dog,-0.3,-816
0.295,0.1765,0.477
0.2985,whyhctozoe,0.293
-708,-704,gxeednvnbn
-788,ayzzzyquqc,923
-0.35,ocaqewzial,smsyokkrfn
ibodzfqhou,-0.202,-0.291
dpwjzrkhon,870,humkcbaqhi
-204,0.134,-0.112
785,CaT,cAt
0.1075,-383,bjehcrghsa
CAt,0.44,-0.1975
0.396,dOg,cAt
njjzepnpco,0.499,-0.287
157,-552,CaT
-396,-0.2775,-103
caT,Dog,427
-0.4805,drjmmhkqsa,-0.2505
rynqpyuchi,334,108
-773,CAT,scxnsmvqlj
-0.3015,tgwbqtsgfu,-612
-477,-0.354,mqcxtmvefa
wzgdtvgaxj,950,gyqpmyvbvp
-823,asctdxrlhw,0.083
woijihweye,vvydnrmcqc,83
