ftndxllyjt,cwdnsuktsu,nwwjdmpcod,ffozgdhtut
doG,qmwmqvgrxh,rhtjaxsvjf,446
258,-0.247,-0.0295,-0.4975
0.419,-820,925,cAT
parglzrzht,-226,uiftqdnbdt,-0.2635
xokhslakfq,913,0.337,itndollhvg
-627,-945,vakqpxvqov,cAt
dOg,-0.2085,0.4175,37
627,-955,-525,hpqvojrzxe
cAt,-0.4745,0.259,0.3005
0.167,CAT,200,Dog
rxveuqceta,CAt,CAT,-376
dOg,zteryuczzh,kcfawkfrwd,589
-0.159,-351,298,0.433
CAT,vbbpoqwtiz,802,567
448,-0.0625,183,Cat
DOg,ssjilebece,166,wlfwylqhbv
wklleyezfl,-421,DOG,znmgnkdjcc
880,djdcskafzk,-0.382,-0.347
preyqngwno,dOg,-0.0655,-483
0.092,loshlpzbkt,jbwevdfgkv,746
-0.031,DoG,szamsewwae,zjcvhuzokx
dtekvxwkde,cAT,0.127,-523
mdpptqnyuf,0.3505,-0.298,0.168
dOG,475,816,409
0.3345,dOG,658,cat
-242,nmtsvdaufy,blpjrohwcm,0.4525
-246,-0.493,mdtwknfukq,dOG
0.239,ocjdwrrccz,DoG,0.465
adptdrwtka,dtpemgdnhh,xqzqftvzxh,efbngwuotw
oeqtnoubrm,380,-587,-0.2355
cnhfprvxos,10,lrokbqnhsi,qjwsoggdkx
auqffsfzsn,nghtovvmws,0.4415,-0.169
289,nbmcadrnlv,-0.327,dzqcdtylau
815,-128,0.3005,-180
-610,DOg,Dog,862
-0.07,-548,vbqfonqatp,913
491,zdorwzfrmc,sowuhsvzvn,-0.42
-793,-0.2595,0.213,dOG
-0.0735,tgmvznciwn,chgqkaaeyg,-553
-0.4155,gwbjmeavux,gnflahxocj,0.0335
ixvyhbvosn,856,-0.1595,-0.4925
468,0.2695,805,bwxxjofaab
-0.414,bmkspjhyjr,-391,moudxnslmj
-0.379,juikuyfypx,270,owfwfcttei
-668,826,uiotcjcnph,rbtpbpkstk
-459,527,19,0.0385
xninanfaej,-0.225,cAT,nnuspjccsg
-0.0385,wstnuflifz,xxxyvuomjp,narqumbotq
-0.4065,avbtmhezkx,848,-784
rlmszttumb,-0.0075,-45,-642
bafmztzdvz,tcvkgqjpdo,-0.1625,xorkzsvxpl
tfaahgpmup,0.369,-0.387,-472
cAT,DOG,-0.4465,73
-103,0.405,hzgksqgych,miujjpxurk
-0.097,-0.109,-377,-808
ngapcpzltg,xurizvxbxi,edltydrcwj,wetxcsllca
dOg,0.436,CAT,Dog
titwhwgnir,-0.3985,-0.189,fdovzhwesd
911,673,-0.3485,awsaeetjys
0.3195,-0.4485,-68,gflhgojfwe
klfgqhpebv,696,-87,cat
0.171,0.469,caT,-0.1335
Cat,DOG,-0.1235,-0.195
0.0885,-734,Dog,0.298
aesjgznnyf,oszqmdeivx,cAT,-50
DOg,-0.2645,-0.2875,skvzrqixic
fqlzicdzfv,-0.4955,0.3175,Cat
-645,540,424,0.1395
-0.4045,bcsltjvlll,yrppfkusfh,lnomipcedu
kxvwjlhgxp,-0.476,0.126,CAT
134,dOG,vesuvmmjdp,-0.2415
mwxlbmckjv,-0.459,-0.2365,862
yayatvkwkq,-482,dOg,-662
-682,-262,-0.1965,0.191
CAt,kadhdfpshn,960,ccjzodeiix
-42,uqgxzswfws,hmbyjccchq,-521
nrjiupwcue,-674,128,mukhayaxtp
spgenwlkbm,-666,Dog,-0.3705
0.1325,-792,CAt,xuvsfouenw
