tfzldvmoxw,uovcgqzypj,PEt,ztzejmaraq
dOG,DoG,doG,kdqzwcwvnn
-0.3225,omtqcitoid,DoG,qltyelcynk
onnepjmjuv,vxcxsfkixo,DOg,wicauopsto
917,561,DOG,tsfhdfkfko
cat,-947,DOg,53
xwhosqxtit,-834,825,jiqhrvovdp
-0.3235,664,Dog,-0.0405
Dog,-0.3705,dog,-908
vyptbvmrxm,-0.107,790,CAT
dOg,216,DOg,-744
kiijpxinui,dOg,cAT,-0.493
rhozssodmu,-0.087,-0.0515,ndmxeeufvk
-0.251,-0.1935,cAt,-0.1285
-0.1175,tulodfojtt,cAT,-0.4435
-0.471,680,cAt,994
0.1795,ifczdpjsqx,-506,cAT
-78,-0.1655,aryntgrpkh,rcdlqkehlp
cAt,-179,DOg,0.4325
tevvkthyer,jsmnpcdgon,-866,bbydzxcksw
-0.2465,-544,CAT,ngbexdabib
cAT,tlnmxluezc,caT,qxdtuhqxed
-307,-329,-0.1475,193
ekfgrqovzt,-666,-0.3905,-469
DOg,CAT,dog,-329
-0.199,0.4405,DoG,neoecjlzzo
-0.304,ywwdubwkpa,DOG,0.131
seudukqpbh,-0.195,DOG,swhjumhrjv
191,mavfhrbumm,Dog,sjkpcenqvw
0.3485,-0.1285,Cat,fzuxjttcmd
-0.047,CAT,DOg,0.4685
-0.4445,-782,451,-429
CAT,0.3295,cat,nhwhiwqshk
332,0.069,DOg,doG
cAT,-0.413,CAT,-986
0.098,CaT,0.3755,-546
jpblbkiiap,caT,303,mtjjohtobs
dog,0.1155,DOg,-792
poamlelkby,533,477,975
497,caT,dOG,qymujosyaw
gawccuncfd,hxmwfztgpe,emqizuuhhn,edtjhayoec
0.4045,iiqtijwytv,CAT,doG
-744,-0.064,CAt,tbiniksnwg
vbiterjvav,0.056,0.083,DoG
fgxzehszbk,cAt,dOg,-0.1835
98,-0.4035,-0.0405,iulmawmonw
-0.3145,yhbwkevxdj,cAT,dOG
DOG,0.1575,Dog,304
trmhceikpm,0.27,cat,wsfdulgldu
-89,hdmxjauwtf,0.201,-0.2645
Dog,muufssglwe,DoG,whxehuimoj
-217,-0.1485,-0.4335,0.4365
knlukyywsn,caT,416,doG
iaudaucmvy,0.4805,CAt,-523
CAT,0.1825,cinxcxnyhg,0.3415
Cat,euocexfjin,0.148,686
0.093,0.4695,DOG,-48
CAt,dncjhwsozz,0.214,403
ahpsaanaci,-0.491,qxemgvqpdt,DoG
-981,-0.3655,zsrvvaqvrq,dOG
qazesumrax,-818,dog,0.313
302,-0.1325,CAt,pokabejuca
