xvhvlpbpkz,nxquelqcqo,wlyzmdtiug,gsmjwykyth,yyzhxubtmc,cqkqhuykqu
CaT,doG,0.312,0.04,ltgrtegokg,-448
279,-0.2195,bcemtjkqwz,-0.066,133,847
-0.136,nhkqmuauzj,0.136,0.2685,0.433,-505
201,xhtlnvqfpj,0.48,-31,0.354,-137
tbqccfsgks,caT,owxsdxtcvp,-841,240,bfhrgspkpm
cAt,546,-0.0655,0.471,-864,-0.128
-0.0635,933,oxhrwyrfrd,wdavcjpcoo,cat,-893
-0.472,902,-0.034,-0.114,-867,0.0295
lvkmruymki,-0.211,461,vkxpeyapwa,nqedbojbgs,665
-453,-0.2375,0.2255,DOG,caT,dog
329,ksksftaxyt,geekxelbzs,mrbjtqktfn,0.0975,poatcsdvwx
-0.3635,-0.269,-0.4495,ecptwbbikk,oseeuzhcub,121
0.4755,-138,-632,-0.132,-905,-7
0.264,imwjgkuwgp,-0.4395,-0.085,0.2665,tenvadvbyw
-77,902,vqaziejovg,0.0515,0.229,0.415
grtyjthrzq,0.1205,-0.096,doqkdhidxr,xqoystuvak,0.3615
erodxhpeqd,jilzjsqxfo,CAt,jsslexorpt,-0.0935,0.0415
guojnnjgvq,rtdqkejmld,-0.335,-613,-0.254,-0.4855
682,-879,dog,205,-0.072,yfpopfjsxw
0.0845,460,knnmwzojwz,esehazmpif,-869,-0.193
xpiuceanzv,skhcfqzkpt,rpsdjhrnoa,voshunzpvg,CAT,-0.498
nxutvjkqbg,0.3355,yhqmwlblbs,181,0.3605,-492
cAT,-0.1895,dog,Cat,0.3965,-0.489
pefhleamcv,-0.49,4,0.0875,anjpujyxsb,vggbifyiyc
77,CAT,wrvckzrgvt,dOg,0.078,zbfxmuacic
-558,0.0605,0.327,0.403,-0.0525,602
rqkywvbely,Dog,xtxkuzmcsb,531,561,81
0.457,luokcwsodf,0.1155,xojoqikjal,tjamqxobpp,0.4705
taujmhbhvy,0.455,Cat,-730,218,hhluxcwrrl
hpavjpnuer,712,jtdzzrozgt,-0.263,191,374
-0.1725,-0.3775,-0.462,cAt,icxttcebnr,spzjandzbm
heltzcvezx,dvwwknvpmg,918,-0.2415,0.0055,0.029
865,CAT,-0.175,0.375,0.483,-31
-170,mkttbkheop,-0.3705,-914,-336,DoG
-0.3045,ctximpfqny,vekugmzpcd,guryjcflcm,Dog,duvubsnytt
CAT,45,-0.3985,743,yzgsbrkmxm,dOG
0.4235,0.414,qlsdflyrhy,-0.263,-33,0.3675
cjhkxfiktq,wsffnxzlfw,wrwnkgsvxz,-387,0.144,47
uqmtqjbimq,doG,Dog,-555,gxedatkoqx,-143
