rmrunorpvq,PeT,cbmhdumemx
0.006,CaT,issxorfdpd
CAT,cAt,0.495
qoiwrsywfw,Cat,nzqkcobaqx
0.042,cAt,dOg
eafwjcadwu,-527,118
CaT,cat,cAt
-285,dOg,-73
icbvjyxhro,Cat,-477
-0.3125,caT,dOg
-0.3215,-323,369
0.3395,dog,656
0.3985,tznqbaigjh,508
0.0985,0.5,caT
liiyywefnh,0.2015,Cat
jloqpidesx,DOg,-883
-0.256,iukijyhpqu,wpqktrzdhk
0.4455,DOg,0.267
-306,cat,-219
0.0015,sfcorsdkpf,-849
39,poywlfjvbw,cAt
0.138,-647,jnsmcdurnw
-0.337,DOg,caT
110,Cat,loyejiizbn
cat,Cat,-0.411
996,ihqrafpelz,jgngukxfiu
dOG,dog,999
-147,lhtpetjxop,DOg
-0.4045,doG,0.193
84,Dog,-0.1535
cAT,DoG,cAT
hbekvwgpud,dOG,21
-490,-993,dOG
ekvkpdoyfa,xhkewtegeu,0.1925
215,DOG,dOG
-505,Cat,0.433
-849,cat,-92
qqdqgzakvz,CaT,-77
DOG,cAt,jipwidovwr
opajtlzjyd,doG,julhikkwcc
-0.324,cAT,jzeyukyjyq
