eqacnjuuco,peT,xiwyhtvzct,yoqgmqxrss
cAT,dOG,-0.123,Cat
-61,CAt,217,958
CAT,rcpkhcxkjd,-0.334,lmrwsrbyod
-0.4875,bpijzopdwn,wpgssxgbfp,CAt
-0.4895,CaT,utltbaehjd,0.367
-338,dog,viduwdbqqr,69
-0.17,-413,DOG,-639
zpbrukvtpa,dOG,ezzbnblnkm,DOg
0.3545,cAt,ngksdizohh,0.416
cAt,Cat,990,wnggutwzsz
97,-9,lmncgxqugx,-384
mogydbufpj,-550,559,dgjnutrdqz
ejhfmspzce,cat,aagpltfqdg,725
DOG,ykgfuyilkd,261,-867
sxpahejeew,cAT,748,0.4795
bosmoutzsf,dog,mpezahopbb,-0.3965
-0.221,CaT,vhxqdllbvl,933
0.2225,dOg,0.053,-0.4715
DOg,Dog,upehlhtfmt,lpbxofywkx
caT,eialgrxxcw,-558,0.3845
0.317,cAT,gpgudwtauj,-0.275
-324,dOg,-670,727
wacqrigsmu,caT,0.0015,-221
Cat,cAT,-512,-409
814,doG,-692,umzyqtffyp
728,520,-0.043,Dog
nvjenjhzdu,oehmuxeakt,qgxbfhlohf,xxzrqxyxor
-420,0.0805,jnvfucpfyl,518
doG,-0.27,pfsxsdxikb,kqauqfvwso
bhaduqhqdu,0.343,DOg,DoG
mgrgadezkx,dOg,doG,-383
cpmkvzqeot,cAt,CAT,93
sdunlshjwr,CaT,706,-0.334
851,Dog,aigfcbzrct,-766
xpivactvgf,dOG,-0.1515,994
nhwulkxlov,0.3455,-737,zzaxlwnfzs
-260,DOg,ctnssrdkvj,jrvxtaguat
-0.0105,Cat,CAT,-376
rwiwfdidow,mnvcmzmssk,yoyokusleb,cAt
-861,0.166,0.2905,0.1085
0.042,-0.4595,299,Dog
CAT,agjyuisfhn,168,dOg
upoegvbuhd,Cat,lhgoiqojpw,92
zwktydxpmi,Dog,tjpszzzktk,-0.2965
cypwjfuwbe,genvhsxkjb,CaT,xveyoombpk
Dog,431,ujvhrtrvmx,-698
-0.346,CaT,0.176,uplcpfcroq
dOG,cat,dog,0.178
hleeklgifw,0.0585,DoG,lmtlrhqwei
lnqbbgkebj,DOG,cAT,881
0.492,CAT,uwbpmaumel,0.007
dshvetkvvm,cAT,0.004,DoG
406,cAT,-937,CAt
-622,DoG,DoG,CAt
pbmqqrfljw,DoG,32,808
cAT,0.022,CAt,fnomhhbasu
smkojnegzn,caT,-0.2175,0.361
-204,zahqeliqip,byoknfrkkv,-64
CaT,dOg,0.0845,-0.402
cAt,cAt,-0.48,Dog
0.1655,qqybbdxoaj,810,mphjweogaq
qpwmfnqjxa,CaT,-0.4425,-901
igcmboqlbn,CaT,-0.138,0.3405
sycmfyiuib,DOG,-121,925
CAt,Dog,515,757
0.254,caT,caT,dOG
0.467,dOg,590,-981
556,Dog,75,811
wzrmcjftfl,0.2735,183,CAT
-0.0605,hfwvbmhlir,99,kaexcupgdu
-329,-0.4715,cat,zxchrihosi
-37,dOg,232,tdpytobcsg
-687,caT,krznpztxoi,-379
Dog,-955,0.0495,-329
CAT,747,gbwfwtdevd,886
-0.228,vdzcchjayz,doG,ynqftecchr
dOG,cAT,qbdutazdlh,ddpvplfnod
0.2095,DOg,ibvyakznxu,724
-0.253,nfsctmtpjd,doG,-804
-0.14,cat,dOG,dOg
aewqyxjron,doG,482,811
-0.2055,-0.3545,319,868
dxjlyvbxum,0.089,296,cAt
495,65,0.4105,CaT
CAt,0.4765,-0.3215,cAT
qhgvubbwje,DOg,0.1675,rbavapfshl
-0.4415,cat,0.3655,qlmwyqpzaz
432,caT,-0.1345,posiswufzk
0.458,CaT,zhzogevrin,-0.4025
497,CAT,DOg,xmhdzvwwks
cnphohizvr,mtedklsihw,CAt,lerftnxaej
-822,498,0.407,0.3235
cat,cAT,cerkgwyako,986
bovjysexnt,cAT,311,oiimhgxlvi
