eestfbkwaz,sdiyijehxk,bwytpvaudf,pet,yhnhjkeals,oviqmsygel
-827,ijpeaixztm,-0.0485,0.182,-928,-0.119
-0.476,-166,0.478,dOg,-0.4845,wpdbkiukze
dpdmjjcmym,dOG,0.2265,-251,-891,0.4415
dog,gjvdrihjhs,630,Dog,doG,dOg
cat,-583,0.2545,0.041,-315,-0.2255
657,bpskiuewrm,0.127,CaT,-200,-151
esizpyhfiq,-408,Cat,558,vqsdqiltkn,tmfvsitsmm
678,-161,skcuaajuvw,CAt,DOG,bpjfyhngjq
-706,espdzrkwzd,DOG,dOg,967,cAt
458,-791,0.3195,364,atyhlxeguq,iurcatzwmu
zbhopbsizk,-0.4115,-0.164,dog,0.0455,zatevcxkkb
-0.185,724,Dog,fssskhychi,0.226,fqxefwvwtr
dOg,-374,sdungbejwx,doG,DOg,DOG
-364,466,ffmutsdqwm,caT,-0.1125,326
dOg,0.122,kijkeffuvr,CAT,574,cAT
ytsqlvcwlx,idvpwfuhsn,908,DOG,612,cat
-0.3835,-0.3405,jyczqppfwx,dog,tzjglvctct,nnfhtwlnzy
0.1415,cAt,0.488,0.1385,caT,rgevjzzrnm
0.463,550,876,CAT,576,DOG
dOG,-143,-0.33,-926,vxcavhifnn,0.2495
kxhnmflbtd,yighqhsvke,caT,caT,0.129,-0.1685
-0.314,-0.276,-940,doG,qpemxaetvb,cwjaqruule
kilvugowmc,otndwljufh,cat,-792,awzrqvbejm,118
jewszejfbg,0.2035,203,dOG,CaT,851
-0.468,-25,858,cat,xkdzxdmmkk,lcsnkctmee
xadopgrvzt,219,uzjbhljxib,cvjscwxzja,wjqkdsilrz,629
499,nqvxwgwfdh,jlgvvzevok,CaT,0.3075,caT
0.312,-0.3595,0.1535,0.404,-0.169,-0.4145
-0.135,0.133,-0.3445,dog,0.4355,-556
dOG,fdndboxcna,275,cAT,-0.04,158
cublpirvoh,xartbzqyxs,tgvfipqgrl,dOg,hheerdwajd,0.404
CAT,DOg,ljfogqstwt,CaT,-304,Cat
-587,369,Dog,cAt,caT,0.2675
-384,-759,-0.1395,-46,-947,-663
-0.068,-607,xwiunmouir,qhikosrgwm,-0.0045,Dog
-980,-88,caT,DoG,0.3415,tebdhpbifh
DoG,-556,829,Cat,856,cAT
caT,-0.175,0.455,doG,167,-218
-726,-983,-421,CaT,0.4515,-0.355
Cat,DOg,fsnoqeywns,0.0825,881,tvcitnzmfp
DOG,uciqrxvxcf,25,96,atmytqfhny,-101
0.4835,0.2265,xgbnqbpnub,CAt,0.4425,CAt
-0.341,252,861,iadttrglhi,caT,0.3415
doG,zlfiwlgnac,0.246,cAt,-459,bhljupdlpd
urxnubvooj,-0.478,urndltmrti,dOg,0.166,480
mxibkncnew,-771,thoxddecwp,doG,218,doG
ejlytcsjyr,0.3865,784,dOG,jkuyuzrloo,knskficykf
dog,-970,ltsuxpkhun,CAt,-522,0.408
vhvnntonbq,cAt,754,CaT,wfjxmgciee,-0.319
CAt,255,nvevyqtivg,CAT,wycgxnoyrr,960
0.46,doG,0.1395,doG,822,pwxunmmyxd
qqiisgpyzy,vvieegjxpg,baaisxtwhd,cAT,-439,swoidtkczb
-797,-0.224,awzngvvwnt,zvnzzzquoa,-0.4845,CAT
-0.213,jkxyylhozc,cat,Cat,upqmnotsmp,-286
qiibdskjci,0.2105,822,cAT,ygjdudtaua,-289
49,832,-0.3805,gnfeyejhau,doG,-407
pezcpplssp,cAt,0.4115,CAT,0.0915,xlpwvwojdv
0.3675,0.121,DOg,caT,-676,xpwktiqthw
shnhikojdw,jklcrsrpvf,-0.284,dOG,-653,-743
dog,227,Cat,DOG,545,yemlntwdfy
DoG,usqkytsnhl,0.1055,DOG,rknsajjdmh,zoxgkwfcfo
-315,0.1495,-0.4135,DoG,mggbymmkom,-0.029
-0.045,CaT,cAT,ywzycqsdqg,505,0.0155
0.0525,ubufnclivy,879,dog,zzqpwamfun,0.205
0.346,525,-0.224,dOg,212,caT
pbynyhvirl,-0.1735,-701,CAt,cAT,wmngmrambl
0.1645,DOG,-116,Dog,-570,vwhjptfsfc
0.1925,CAt,mczdvksqfm,Cat,-134,dOg
-492,-866,-185,DOG,-0.132,ktsmxozysu
711,231,-827,arhcvchpsg,caT,-0.441
zbaqzswuja,632,mobfxvgxej,dog,225,-0.147
CAT,-1,122,caT,doG,caT
uvvwsdplmn,DoG,cAT,qlngjjuocg,-0.317,-0.0985
-732,Dog,vfwofyznqn,CaT,950,CAt
dOg,0.472,718,0.448,0.332,-480
-493,-792,147,Dog,0.3865,-784
-0.093,DOG,caT,dog,0.379,CAT
dOG,58,quxfzlbcot,poibnopgaa,-0.496,0.0185
-237,tbbhlkgmjy,fvrxpympuq,Dog,881,zbiflwofwj
