njjobowokw,ayccqihvyl,yyjndclhiy,treavmpamc,lisuhauxyb,ephxczmgrh
325,-495,-0.437,vlofbebwxb,CAt,-902
atfljcupwc,18,-0.147,umgtlhqwiy,khcmztqvit,mpdyomkvgy
0.241,yqgkfnkqie,0.2215,cAT,0.168,-0.193
0.459,783,284,-786,0.1015,mbfaufksfa
548,dog,DOg,whovoffbxx,-847,Cat
376,-973,-0.096,rdjvglcnhf,Dog,caT
cAT,DoG,jwyvbaurvz,vbigiovgmw,-0.4975,ebkadtitjx
DOg,0.399,fvdbpxkewl,0.3375,920,-0.1265
roxiyhcimw,211,-41,287,qyguccemmc,244
-0.2615,0.2025,lnwgslpoqc,884,348,966
CAt,244,Dog,904,loyuchslly,-59
dcucxtbjbh,-244,acpwhwgfqp,nxejdhvqps,818,hfghrfkvfn
vqdgfcousd,vlumwepkck,uxwqocedcd,dOG,-380,0.4605
jhyeunbvjb,795,-0.399,-293,cat,-0.4635
0.2715,doG,-0.152,-300,ahuviswwep,519
lplbugmdny,-607,ccpkaaohyx,khxshdqjjt,gfdmgsjdxo,-522
930,kxdjaogrwo,0.0315,781,-0.3035,911
dOG,goieelvhcu,psvewmzued,-753,-806,dOg
vjcrdocraz,263,-0.077,-815,exhtscrzvp,716
-869,hpiwjkrirw,0.4805,-0.159,-127,0.2045
zuxunzbkju,zxsekmssqo,dOG,985,Cat,51
0.3785,oxqbsqeuzc,-0.238,-575,0.0295,-747
Dog,ymsfigbuzv,-0.0345,-190,-478,dOg
CaT,-0.2335,-0.0125,242,-0.286,mfgayhioqu
-150,869,-444,cAt,438,-44
doG,hyofjtunbo,-0.234,-385,cyhjsvhiqa,229
dog,nnendnsxgt,-349,lrrkfmqkpi,941,DOg
-0.337,0.45,jowzsdfrmk,djqnwkjgmb,0.191,-388
tqiqinseeq,CAT,kfvaigsehk,nuossdxfmq,0.107,CAt
cAt,0.456,-880,-488,-703,-681
CaT,CAT,ujealwpxia,-0.2525,-171,0.1305
mxmrethblo,0.452,hsruwcxupl,-0.099,-448,-0.483
-823,cyapiazlhn,-605,ilvcpecccr,cAT,mveudyzpcg
smxzqvkcsk,avtfrnmhgh,-245,-0.153,yampjvxbsn,-0.3635
-0.109,pfoqusqrej,0.0655,879,dOG,caT
-607,mpboefessy,cAT,jxqmxyczar,nvpriqorqa,-479
-0.454,0.034,dOg,-0.404,bggdancpng,gtxftsrita
21,nrdtxrdbbq,-0.274,-127,-741,-494
0.037,-149,uexkjalfti,oaaqmbsnqf,-390,doG
dOg,idoezidmut,601,rqhrsgejnh,552,pvamolsnvo
CAT,CAT,xojxieaxcj,hezivjrhth,0.2,-0.473
vwglyvlvxi,0.1665,144,gujnizunyi,onohksseag,-0.096
400,718,315,yexptzedga,374,rhpnbqozhn
qrmuhyvyyb,hlmtvvglew,ortrdglktm,CAt,0.261,0.02
453,-0.4535,-652,-0.4865,-553,-0.3065
bczdznelkf,0.0945,dog,bsajzbfqba,-942,0.4395
-563,cdajhmukmv,-128,0.4175,-16,-552
doG,0.09,-472,-496,aidnmonzlz,640
gqqppwvgyu,-0.141,0.438,CAt,-823,-0.471
0.3415,vhymaxjite,0.113,0.277,CaT,ljjlwojiid
eldrbgndnj,617,vtciamwagm,rugefdfrhk,0.1745,0.101
hepigjsrgl,300,-956,dOg,zdbboqbsuu,124
0.3675,-920,0.4835,-759,0.3005,-56
-0.3515,jtrbnxlhij,-45,DoG,agylbirhap,ddsymkirap
csuqkxezxe,myatrurgop,Dog,-0.1625,oyjcbuibub,grwnijjqzk
-0.07,spdetyxveb,0.023,-684,ukalqgzvuv,wkihdljlso
anwcjvhsjh,-975,371,hixqdczeuh,-694,556
-0.3085,0.3425,lyuddpqqxm,-0.3565,-344,-0.2675
506,ryclgozmbq,xntbuoryxd,0.3955,755,perhrlvdsh
475,orbeynmqbe,-0.2195,844,0.2185,fmdfgmzkie
138,blwmguctvi,ujwgoghyzj,CaT,0.1105,DOg
jylpsqqaro,0.313,504,0.4815,-310,xqrcwclaeo
0.2645,rjiakjaqsi,dog,qxxfqvkoqg,0.0235,-0.274
-589,DOG,tpgbpfqkjh,kvxurjfvsy,xjphffpkvu,-194
qjkwrkrjio,DOG,783,DOg,400,cvhmdeabef
-574,pvgsmdtjsi,-0.0905,mbjcbxvggb,0.188,dog
CAt,caT,-93,-68,-295,CAt
qujtaqyjfl,700,ldfomkascr,cAt,adkcqfyvxx,98
wxzyvidsse,311,-0.3205,eicgxyghfh,0.185,gvnpcbikjm
idhmiehkmr,cat,0.216,dyagwtldeq,fijgajauqb,722
-951,zvubogoiyl,qjnusoejjr,Dog,-0.2925,cemutvtxiy
0.146,CaT,0.305,rwnibmrtub,CAT,dkhwmmblsb
0.3535,-0.1945,pcyukhwexn,zmbytoaliv,-102,-0.409
0.2515,doG,0.396,-558,mpkqirloak,319
-0.3125,awaaworwik,86,dog,21,707
cAT,-447,600,cat,lnvkonvnxf,-0.291
-0.1225,-616,zhpebypiru,fmimrbrmxt,-257,-31
-469,-861,fqqgrnpvys,0.059,knmmandpjq,-641
qzxtyobgxm,749,cat,-422,doG,dvuymkcdbm
CAt,884,ygwunfhevi,513,nggljqnrje,txqefhgrcs
DoG,0.2065,-206,DOG,fphddafttd,skbfxlvabp
