umljubzsrf,rnwevshsqp,bipnojfize,qfgxbfgrsf,vwayjruddp,jqjfrrliqe,wjxydwqrgx
Cat,cAt,dwwbzeqnft,0.3095,835,uxqgjmxzgd,0.331
DOG,-0.4785,DoG,tzpevetitq,-0.2995,vyhzmmrkep,uxjredfstp
-181,-244,964,hqafmtfmhu,tuxjkhemon,0.4385,cat
dyvrgciect,-754,veyrkrepzw,129,-0.4545,DOg,-750
0.346,240,0.4965,0.0445,-0.3685,-0.043,-176
CaT,dOg,857,0.079,sdfcvzqdmn,-0.141,qvfuiwwliy
0.256,-0.223,-0.263,jkpklhdvnr,0.332,-0.331,zxyfaolwxp
628,462,-0.241,yfzyyzrnek,eecxtxkaml,plagsanqiv,-35
qudowpexmi,-521,qnryywvilp,jxusaddcqk,elfhjmmskn,-822,dog
jdvzyfulwb,-289,0.447,477,-377,DoG,eshsblkbgn
noevdnikaw,dgrzjknvbw,0.1235,Cat,kkmdofpwdq,idtjqevsgp,qesphozacj
0.1795,0.362,101,-21,0.1035,Dog,0.1625
543,beljrevsht,125,olstueucpr,-514,ilkabkixlw,-0.2
0.2315,-729,-132,22,0.4935,123,Cat
1,caT,bsggegmmfg,-0.0855,-773,qwtvjbeiyk,mpiqebltvy
-129,famammeltx,fjgxvdvcmn,0.202,dOG,Dog,-0.463
Cat,dog,Cat,0.1145,630,-116,zsmjpedlfg
fxnwfyeggr,daagzyamwe,hzgoatiumv,hacmzrjqnw,pvrbfxrpty,snkjerkftm,DOg
dog,-0.473,doG,doG,0.174,-603,CaT
0.316,-308,-0.1035,0.1935,lqwxbdgsxj,0.0085,cjqtnauqhw
0.014,teqhgjgizb,tpoeazyeqt,0.2205,-0.1925,0.221,475
dkfqxhdqkx,-582,-0.132,fticzmwpia,hqqhumvxxj,0.106,mqroqfucch
jdeqhyplot,prewzdicmz,gmyeychtgi,929,rwolgnnhou,-258,DoG
284,-748,72,DOg,0.179,-317,yswrhqhqll
0.407,-115,0.4555,0.284,553,rowfoihqpa,-617
jorazxrznf,-729,wkottegmwi,257,loxymgsmtb,-0.08,-0.3565
316,-333,xefvjivlrr,Dog,953,-269,CaT
gvivleheno,-674,dOG,873,0.47,-742,Dog
cnpdbnznib,778,CaT,0.176,101,doG,-355
0.124,0.0955,-0.291,332,wpmscqgnfx,-0.4695,vivojpxcid
dOg,719,dOg,56,DOg,-776,70
-474,-0.072,qblepfetza,-0.3545,nbkljvudwz,753,mhjcmixeyz
xbqkotfdlo,cAT,dOg,792,248,829,CAt
-0.44,0.295,-895,pijlfjjfsd,121,0.2695,szdjxxokho
arwngekzxi,-217,xribwvrivm,-617,-574,vdhudmgbfk,rplmvgwkdx
0.264,mshjqjglge,-0.472,tiyulmqure,DOg,-703,DOG
-44,-161,0.1995,dog,CAT,Cat,deasdotogv
0.27,cAT,805,379,-440,-279,kulxhlqcqb
lfvnyynueq,iitokjkcrk,0.2795,iajuymhfwa,627,ggnsbhwlrb,-308
230,-0.253,DOg,zgxoqgtlgt,887,0.2375,390
-0.4955,bkbvcybqte,-402,0.246,doG,CAT,-107
cAT,-618,0.005,841,-274,521,0.156
ckectpumgf,DOg,gxpvbfcnyu,0.1545,867,gfzstblsgm,bpcbcodxqq
-438,thuudgrojn,yjdwmpceio,CAt,-849,-0.268,ryqcnnntxo
0.154,nerkrzqhwf,doG,-0.006,779,-392,0.237
-590,-33,CaT,0.01,-0.2285,-0.099,vcytouaqia
0.127,-328,170,-450,DOG,0.301,CaT
ksqxliholj,dOg,-426,-0.0075,-0.111,0.0955,-121
-0.134,dOG,zpnfsuxqsg,obouiaszcg,0.258,-84,215
0.3405,-0.4555,pelucgcnvp,DOg,CaT,901,305
DoG,dkzimaxrvt,lyoydcstfq,cAT,mzagrzlufl,dOg,apqwmwwnoc
DOG,uknecczksx,0.0655,-0.383,akcyrpabih,-699,-0.036
-0.2675,0.299,748,-890,jjnoqblshh,32,-0.1035
epyelbtiln,gpxktjyjlz,-0.4805,-0.186,0.454,dOg,CaT
xdhjmywlrs,cAt,doG,cat,dOG,0.1065,cAT
180,278,-623,Dog,cAT,-0.4745,mwxkuzmzik
0.1005,-530,bylyxofzlf,doG,sebchlhkoq,ectzuzyeyl,CaT
eiinfgpexz,371,-801,95,176,320,-0.162
-588,DOg,0.294,-0.368,imqcodqapc,726,hhohovurce
-0.3725,cAT,-0.331,253,572,-112,-0.163
