ufdpngvplo,kauagdtadu,bqgzddpslo,utdkpipwoj,lcwalepokc
-172,ecgfoinspb,-0.3545,ampikcbwpq,cat
-0.4635,yhhsemxkts,-0.0745,-0.352,-933
858,Dog,doG,-256,227
-0.3995,tfqgwvgwdn,-786,-690,-0.4925
tvwidrunrt,cat,-0.26,0.4995,ylpkwrzqtc
qafmfqresw,uipkskuges,wrxndyncqv,yeszaxxkuf,-0.0595
DOG,cAT,0.0275,388,0.033
sigomuncop,-0.2795,-406,peolrrrden,0.337
0.4495,-0.1485,zwgmxqsxyy,-746,-605
-0.2655,blkyzuipcr,owyrxrjmwp,106,yqmyicmzcy
-0.3495,545,plckkdvhnc,-0.0175,DOG
ryomrxbhty,jiiwbtxnvy,0.49,0.1595,0.374
