zxfghwsjts,bgkkhcprzm,peT,amobyxkctw,tinrdtnomk
526,vbnqzqipua,DoG,xfsdlwjcmp,-94
-0.3145,304,-676,-0.4555,0.2595
-584,-254,Dog,dOG,-710
-0.086,0.1635,Dog,476,usjmyssbph
-0.0145,0.137,caT,mibhrvegby,-0.412
cclpvbrbrq,wbuhrumznp,dtxemuejsx,dog,CAt
-941,cAT,cAT,-0.384,ucmgewqyfy
-0.081,lxvyuxbvpz,-315,682,-0.37
-902,644,cat,0.2345,-110
osaxytvhwb,-0.104,DOG,yegasmtjyc,vddtuckzxa
0.302,sqwekpzdsf,dOg,973,hohcvtrnhp
xoyqfyhebj,ufjfuckvyy,697,cAt,-0.1695
xcytgyegku,CaT,ldzckjrtrd,0.3025,-0.456
ntuplondkm,0.068,cat,doG,DoG
-704,mkllteajqc,CaT,xdhwxtmpfh,0.3165
514,cAt,-150,-596,zrdticnwjd
-589,CAt,cAt,-53,302
145,gokdvtxjut,0.0915,-487,0.229
ogzidhrmup,ibaobooljl,pkxpftwzxw,-0.12,Dog
nzblmlgbky,-890,cAt,0.2885,dOg
-0.2075,wgsxfdcphq,DOG,423,-0.2855
0.012,-440,0.28,-605,-381
-0.178,261,CaT,mdrfrhfnpc,gnawjdpenl
383,cAt,CAt,qzmajtsrle,0.2415
aisvzrcsth,-0.17,shrryzxils,-0.369,vapebbsjzr
CaT,0.16,CaT,enhrexrywk,0.2735
-0.3875,-0.1995,cat,488,rivymqllfv
791,190,Cat,CAT,-206
-601,-352,Cat,rflibcktsz,spblljyrpw
CaT,-0.3565,xcdmwfmkjo,166,-128
noqwrgxocv,0.3475,doG,-0.0635,0.1005
-0.2455,-0.219,cAT,Dog,DOg
Dog,0.3165,Cat,uaiffzrdsz,0.339
mxngptsvzh,-171,684,DOg,lemnmmbkxn
ihpdzmsjbx,cat,Cat,ufmzvfrpzf,Cat
-0.017,CaT,dOg,0.1935,113
iiqkrrssnh,fyobbmvhah,-822,-0.2555,cAT
-0.002,CAt,CAt,0.2565,424
-852,-0.324,dog,-241,caT
dOg,CAt,CAt,CAT,mhirquvfdv
ojxanjglpw,CAT,DOG,-957,cat
0.2045,0.5,doG,533,dog
-421,571,DOG,dog,tiuzibwzyd
-753,-812,-0.184,ewwgnykelo,-0.4935
zpoxbhflms,cat,-911,-0.1475,ylqjhnduxm
-18,612,doG,770,otdkaldypt
-0.015,-0.406,doG,caT,-0.0495
DoG,lybrlgould,cAt,clpoqaelwb,wnimipduca
826,nfpzjnifkn,cat,688,cAT
59,hevtoiiuwu,616,xooftfvykt,DOg
-0.178,DoG,icytiogubw,959,0.39
631,0.036,DoG,-589,bhpppjreue
0.262,-0.0905,648,-471,331
0.009,-999,caT,ppobzbrubr,949
0.434,-0.4085,733,CaT,0.4755
dog,zlnggqujuz,DOg,718,0.372
0.315,-381,CAT,-958,jmfdpbfgay
0.421,-112,DOG,-0.1245,lpkmaxcqzb
cAt,973,916,-0.31,935
-439,0.42,0.2785,0.161,894
sxntourztj,748,caT,khpflkwrvs,cAT
-208,821,-653,esxdgllmqr,fbtfjltzeb
-0.2405,-0.349,DOg,-0.1345,-0.2295
0.179,0.2225,Cat,Dog,DOg
-277,cAt,caT,0.092,0.325
mtzhtcitqg,593,Cat,-0.323,vvdvxcbavg
-82,914,942,ouaxrwinwn,-651
wjoudbmrqg,0.2695,665,-0.4545,jayeifvspr
