umnpqvikyq,jhgagyijtj,cjrvtvdpha,pgwzgkhjfo,ipefieludf,vbyoxjjezw,tnbkbpscnh
-0.407,0.384,DOG,-489,caT,-0.1185,CAT
609,dOG,qtkzkmgggq,DOg,-0.301,xrdvqnxppp,0.261
anhpaoyclu,33,40,kjwukqbdup,-507,CAT,991
encxbbipvi,bcrnddiswb,lsdbfawmpd,-891,0.4,ihmmgvhuyk,aspmtqudou
417,virfoykaew,-0.467,-950,-518,dog,zxewttkybb
988,822,-0.203,-416,0.0255,-506,-524
-0.165,45,nqmernppqv,pfooepchcp,414,0.0585,0.004
-0.2155,CAT,cAt,0.374,873,agnmbqagji,-330
909,0.451,DOG,-0.248,yzesqxlrlo,dskvgvnxou,snmlkxywpw
dog,-0.2805,dOg,-0.127,-519,0.4345,DOG
360,-321,niiehiplhx,0.336,0.124,cfepkqdclo,ibrvvwixgz
myzjcvezbb,sspktsgkuq,-0.154,-540,280,zelldtyaqc,-0.2335
aslkpibtqu,543,-206,Dog,0.101,0.2535,386
Cat,337,-613,-0.2645,pvmammuyia,983,nzrjgtbzag
-0.204,-344,fuyylkklhg,DOG,mfonvlrmuk,dbcgmtqybp,-713
hmwkesuibz,Dog,-127,664,0.044,-549,-531
mvxexrnmsr,0.1905,zphqrqhnjr,0.258,0.242,142,-0.0755
vxkgnulhtr,0.203,gvloupxath,-0.374,974,-0.228,383
909,xeihsgzjze,rcnllwdlhx,-189,wywolcfntf,-0.3655,dOg
-739,0.342,dmknxnhdqc,286,caT,815,372
eqozwfjqvw,nugqtelqqe,-483,-0.4395,CAt,0.1025,-283
0.093,0.3445,DoG,-225,878,DOg,580
tkampxiuzg,cat,lkqpbzadnb,351,-0.4655,fpmyfdmrgo,toixnrfiuq
rfnpnjikmd,78,Dog,0.2465,0.127,-944,-0.1295
-0.246,kvakushlbe,lsgwmvofix,605,haidcvuksk,qtivemnaql,-490
-274,CaT,-504,ryauhtqxpk,0.269,0.104,0.44
xiwqmfuwzn,0.396,747,cAt,-0.0075,0.3635,757
mlbcgkfotk,-0.403,0.0075,qnvgnfqpwu,-0.278,miyxqreumo,doG
-0.4945,xlvoqhgbfo,0.251,frwgydlrin,8,0.0755,0.492
-0.098,klodoolxsn,841,873,pcdchsjlsu,-875,dypvhetfsz
vscdmozpce,0.296,rgbpfpnlib,DOG,997,egbxmoopeu,-630
-0.31,489,-375,ldpwgfkvxj,mlqiarbale,CAT,0.0805
dfulkxugvu,943,qiwpeszmwr,fqlddjkoue,emqrooammz,645,0.4595
-274,dedcigjepa,-0.498,htfodpqkbj,0.1615,-0.0115,0.3665
cAt,-0.4845,0.4345,caT,0.14,0.081,343
-0.094,704,-0.0265,vyyppoponk,CaT,-0.072,-517
-0.389,dog,-0.468,alnfudhazm,0.3395,-410,dOG
-851,0.0465,-252,0.282,cAt,-0.1775,0.138
-977,964,-272,yugrlyxphd,CAT,-146,DOG
0.1305,357,xkwpjjldgm,0.435,stxppggoaj,-0.486,nswxequjjd
-828,0.2725,-884,CAt,-0.467,dOG,dog
-0.285,-85,-0.124,rqbbzlrjlj,834,-663,DoG
-0.302,dfjqmjiduc,-0.1705,CAt,omqorhiwox,cAT,-0.414
cAt,0.475,guygqgfebs,pmznisxjwl,0.4385,CAt,DoG
-0.229,0.428,0.4665,-171,-0.214,-499,644
602,0.042,dOg,-0.2515,cAt,0.2155,-398
-812,Dog,-98,xnnstreaxp,awbggugkte,wwydhpcmuk,cat
-340,DOg,-0.11,-317,473,-0.3655,-349
-812,lhywmgjmwg,ocsboyweci,zckxdjzoeb,-791,321,-0.26
lmbdjthnqa,CAT,0.1125,efbokfxrnp,-591,CAT,361
457,vcnhbgiyam,ovtuvlocbg,itmakaqjhh,702,-893,0.2055
