icbbdiayos,lmbehgmmpl,PET,kvdmitjatx
sevhdwuyvb,-114,-272,gbtxhoeijd
817,ancwilgoal,dOG,-488
-973,rbunmutgpf,849,254
CaT,0.3445,dOG,-602
uherclpvgy,160,CAT,jpuyvkqdqj
iyjtoihlcd,cat,dOg,0.197
xwspvquprp,-0.1965,DOg,-55
-663,bhueanywwj,CaT,0.0805
leitzcpkle,yvcwfrwust,cAT,pctyxedfot
0.129,884,CAT,0.3565
-0.3445,-320,dog,-655
zrxllcnfqw,lnfalsnqbo,Dog,aqcopfwhmz
-0.4815,-941,pnmcwgyqgo,dOg
-0.0865,-490,-0.173,tkgibxwpgs
0.1785,-366,fjhvrutzsp,0.064
CAt,-0.189,ndelieixnq,-921
35,-799,txghajfouh,-580
981,DOG,nbmlgffdsw,-0.2055
210,0.1175,CAt,awlqzsspbw
0.265,rcptzjjuaq,dOg,0.167
451,-531,CAT,77
caT,tpgqtdrqyo,-902,uazwpscuai
zclcapurlx,qcenqededr,CAT,vdtutwarjp
-0.2585,0.442,doG,5
0.316,DoG,DoG,CAt
-0.0255,tfblzwazhu,CAt,rbvhtcqvxw
ugfnroppjg,-0.3215,-948,907
235,981,-0.3145,0.164
CAt,-615,0.308,0.4405
-0.428,rccrxxmdot,DOg,965
CAT,-0.195,0.0275,vxhlkbqlyi
-736,tfrodwttps,Cat,wmorkuaaen
-0.047,Cat,DOg,0.271
xelzirowkd,283,dOG,DOg
-0.3225,100,dOg,0.1195
kscpjzexku,0.0195,0.222,gzbznnmhmv
-732,cAT,-995,357
568,dog,CAt,-442
