jmfyisifwd,bkyehtsdbq,jwbxlpvpaw,kbeaijgtlm,ssdpirumqo,vwrtuwoezf,thvkrhmzri
DoG,-910,esmhpjydue,0.177,-912,650,dog
-0.401,CaT,98,-0.094,-0.1045,586,-0.106
dOg,638,dog,qtyyqkmuzh,DOG,CAT,-434
0.2215,-303,-0.0245,orwgrggjiy,0.198,0.1095,DOG
gwbjmvtokj,cAt,dOG,-540,0.0715,777,0.1925
bvghcigybf,pjkqgxhfqb,0.071,241,nvoalrbdbi,-0.082,dOG
187,-57,ggvxhkocof,512,byzpcogrzu,ysocjanvun,CaT
-534,CAt,232,caT,678,gyptdamiqs,0.012
CAT,101,0.452,Cat,0.217,luqbrehowj,ebouocngeq
cAT,eypatvaoxr,0.1045,-752,0.406,DOg,garojpyxqi
38,Cat,-476,0.4515,0.3725,-0.45,-0.283
0.0745,-0.488,682,0.205,994,oqbjzfqnop,132
0.193,qhythyrmqk,doG,-361,cAt,393,0.278
CAt,-0.312,ewwoneogtl,hyesmrjxav,847,swsszdqxeq,602
2,-231,plhjnjkvih,-0.1505,qzprzpmfiw,zjgzkefpfw,nyqwdarafm
294,0.2145,140,-186,-0.166,857,ejczrcuhjf
831,doG,ogsmvdqezt,vaxxfzdckb,0.466,-0.237,-942
0.4585,DOg,ioylbthsyh,goufkxrtag,-451,481,dOg
0.467,-0.335,DOg,-271,421,blqdagosoh,Dog
CaT,-654,708,xfnoyimnlf,0.3315,yyidchvutw,0.0235
-0.0115,tswftamkev,-0.311,-950,dog,0.3895,CAt
bxplgdhbgj,869,0.2265,-0.2205,ijgrbkqwrk,922,xbxguqfeop
-0.3665,580,-353,ukvjnsquyu,alwozmzvtb,-795,-0.395
iyqhwmqccf,0.362,wjrcjjpijn,-0.3095,cAT,Cat,549
-0.4405,-895,gbxfwqxoro,aafpdabskb,-569,796,-259
ecfoymuekr,tugwfjklpy,caT,0.43,0.376,epuxjphbze,bjumjjcuie
0.495,sgrldscpbe,yiqcgnruex,DOG,-0.352,-580,cAT
doG,-951,144,wvczlsqfne,vcvqqeaxqp,371,-0.2715
-248,-32,cezysbwzqy,ikuakolwwx,645,-0.4085,494
kukivkjvun,-0.2735,mnjsckdkes,-0.153,Cat,394,-0.0515
-855,-99,-0.1945,DOG,-590,nzrfqzsqot,CaT
-512,-0.445,kyedktyddv,-0.3215,-472,-197,qxiqkdcugl
caT,dvpueghuwh,dOG,-0.3935,-340,ajipscywdy,-0.4915
-300,0.293,-371,caT,wqxqbtfcab,albbfexgil,mbrvsgisto
721,-869,annbxpcxlz,694,-0.478,-185,DoG
0.284,sokkhusbsw,DoG,CAT,909,-0.3825,wpgscglqfh
dOg,-0.049,-0.068,90,isfbzoehhg,boflzhdxye,dOG
-412,-0.1225,-0.2215,606,-747,dvrwgktuzg,0.2705
845,vnpibqvsdo,0.2995,lmvdbyxjfw,-262,384,cat
-0.4395,-615,-0.1425,tskwochdzf,0.314,-0.1685,-0.241
0.374,-766,0.279,covgpbtqcj,cAT,qpoexzzlnt,-755
doG,0.152,bcggkrjozb,xtfmoosvxd,wjqnfrtose,nddhtcmshu,dog
-335,0.433,cAt,0.231,-0.465,DOg,807
-0.1355,Dog,247,0.1045,-587,cabfqttcnv,cAt
52,-0.19,-353,cvarbmzmsm,319,-0.3165,-0.0605
103,DoG,968,0.0535,tscnrnvfrb,-0.4925,-0.027
eaksedrquc,-0.374,cAt,759,dxowjtihtn,CaT,0.3235
265,cAT,760,151,-926,-101,-0.3315
-0.2535,jqfnhzdfgl,0.198,808,-0.3715,-439,CAt
311,0.3875,CAt,0.4665,-547,505,CaT
DOg,-0.41,-0.165,685,CAT,156,doG
0.294,-0.109,0.1615,0.232,DOG,639,nfvfxedhkg
156,lythphcupj,hcoadjotir,0.387,cAT,Dog,xojzqmxqvv
ctmouozkxi,0.329,Cat,caT,942,-230,-97
-983,0.222,473,-916,0.4765,DOG,eiiqkjwqqj
-0.1045,DOG,445,-0.2435,oemlyximnz,Dog,cAt
okdewndwsp,dOG,uvftlpxsnu,-0.2905,-0.0375,cat,DOg
-390,0.4395,-798,zgbbgtgiba,0.4725,-0.3805,CaT
-624,cAt,unkctkiygm,akghauxoqs,-0.048,0.3105,-85
olueaebnkb,zybrajomfq,-561,-0.1205,etyfeknwsy,-985,hvuwwhuour
551,ldcuabjfmh,-113,-506,-0.463,310,Cat
szpiujlbtp,600,0.3055,mjkdwaarzh,mvwacqyeln,Cat,-927
0.3035,0.375,CAT,-0.024,dowewzqbmw,CAt,DoG
caT,bdhvsokbsa,361,vzzgbepqhu,0.3125,232,gycquxzdui
-446,cat,nuugmvhwcb,tmsekytjcl,-0.1075,dOG,lqyuztyqpi
xgitkvxgqp,-0.238,0.277,0.428,doG,mjasiwybyr,giqdsfkufr
hredgpyhxh,veorjfably,451,0.117,hdarqqdbho,qpjtkhnsgc,-657
0.1935,doG,929,0.2155,-779,DOg,0.022
-848,cat,keyktcazlr,-0.2695,btirtsazwo,-455,CAT
bvozkyhire,mdskfiqfdc,dOG,863,949,DOG,wawcqlsknx
-790,-776,433,-214,0.178,-0.3655,DOg
cAt,sucimvxbmm,ulnmoclhgr,650,0.1605,0.2355,-453
109,0.435,-280,doG,ulfubxbafk,rkbbwtiqyr,-0.08
