mdcuvvpcke,fspbkmodnk,upipcwndln,rdakekqkfy,seotuqvczk,pwzdhycpgk,oltapnqtrd
0.133,344,-0.022,Dog,dawptpkmlj,cAT,-966
dOG,98,0.1255,-0.1865,fsktnxuwsm,0.1475,imcotlumwk
804,-0.4465,qnldolstnk,0.034,xinknilzjn,754,zeysbzewma
-0.2045,-959,pxirilitrj,cAT,dOG,-0.2405,ltvawqnioa
CaT,-778,456,-0.4765,dog,zcqemwsusi,dOG
bnmforyitt,lygvrdhlju,-109,-0.465,-0.018,Dog,DOG
0.305,-791,CAT,lnreuazhuj,0.004,372,DOG
-52,-0.367,-0.3275,Cat,693,kpjuzsubvk,98
gnsrfqzqzj,arqpugdmvn,ckgafbzkor,0.046,-0.2825,-0.213,-901
gdnkeiiwln,nsibpcqxev,cguwxnlrmh,-810,crgzafbala,-0.163,0.3815
wmrqcotpjz,ghgnlxsdif,0.1385,ngelvlrmxl,jmbsqozvpc,-901,797
-634,584,hlxrhfkojx,dOg,-0.1545,0.4515,aajiebwgsk
0.0465,0.4675,-0.471,prrwowkawi,xlwwrjhsav,hqtbqzemqo,gaxajelvww
dseqtycubs,0.4435,wuabawnfdq,0.238,916,-877,cdueduhwxv
gzxpwavvfb,-217,-0.3365,607,pwijrkjsub,-321,850
124,gfpndjshai,Dog,cAT,494,dog,-0.1935
-0.008,dOG,fxzzjcstic,0.3,-957,-558,0.3085
-0.3625,703,cat,-0.094,473,-699,822
-0.318,-0.391,DOg,-0.2745,0.4625,0.422,-0.041
-0.0725,584,doG,553,fbrnyfezyz,lfhfvezjng,cwbpxxktvj
DOg,0.103,-0.4705,0.162,447,caT,puqdpqkyaw
vljtjqgkbz,pcqmhjiabz,nrvfyrjzpd,-0.242,uasgtcrvrl,dog,-0.402
-549,298,CaT,-0.331,0.256,-898,0.0115
bunsfzpgjd,CaT,dkunckkzmt,litftktevw,-0.0605,DoG,257
559,DoG,otxdcokltw,bulsugggth,909,DoG,-375
cat,bcolloklwm,0.0945,-916,CAT,pvabeqwaga,157
qkgngsctkx,Dog,0.4815,-0.4225,-404,694,kljehbeuqf
gstlsllour,cat,-0.3135,kadupxuhki,cAT,0.1365,CAt
CAT,886,egmvojitxp,ipwwxfphpa,DoG,dopnihjvtm,doG
-588,DOG,cat,-112,0.0215,cat,0.1105
985,ozyldumjew,-300,-0.068,-154,-364,DOg
-148,-0.4825,ffpmhywlxc,DOg,-0.355,-928,-0.276
305,-208,-0.3675,-0.241,Dog,CaT,951
xtrnsdmcap,hwafgodtke,0.166,0.1125,necqkdfjdn,0.424,ijpiasyudj
0.4355,dqqzxgngps,748,DOg,69,cat,0.3165
0.4955,-0.466,-0.111,grwthsilwy,0.0365,cAT,-0.2535
-0.233,-770,Dog,-0.3845,161,456,-0.0785
dutqfntqxm,827,qpvzgltnad,-617,jweydhhmdi,684,hvyefuwvpu
421,0.411,CAt,0.072,rahxorbxxl,gvtecmptyp,-626
-0.481,0.1525,CaT,0.0115,amuqozxaeg,-257,jfflowlrix
-166,uwiqcswfiw,mayjcyxwuj,Dog,fiybqwynpj,-511,-437
852,0.0555,-34,-631,-91,-544,-252
-621,0.3345,cjbiignmfx,qjmuhghszt,cvubvvzhod,CAT,cAT
0.4365,177,354,22,pbedlhxhhl,-0.0615,-0.054
-858,xxnhqesdle,nwygpufqjx,otctevcmlz,agiifxhqcy,860,-0.4175
dog,-0.4315,wfmlwddkzr,0.487,-740,-0.0585,-0.1325
261,0.3855,0.3235,-677,-363,0.101,szdsfxeibd
CAt,0.1395,0.0725,dog,rdloqqvvdg,-0.4245,0.3695
Cat,-401,cat,urmobprpae,ynostoomet,cat,585
yxceyxnbeo,0.062,fbkmlpqsse,-0.2105,-125,CAt,ghaprgnxew
0.2255,cAT,-64,-466,-717,xgvihfyrhx,dOg
oonfexvewk,xugkdhuiev,0.0,0.347,-968,jduxyhbizx,0.1245
pzlffvbbjz,554,dOg,62,-664,kavdervggt,331
0.1115,mnmbxpcwjk,dog,-0.225,CaT,vyfrjstfcc,dyrwzfqtel
wsapuezxkw,172,941,0.1015,cAT,-0.27,115
518,170,rqttotoifp,qpbxgbvqda,0.292,rhrewprygv,-204
vkpjgqmjyo,cAt,-0.209,CAt,-0.397,-0.053,ipcyfxvtes
0.306,-0.145,385,-0.1995,xbnxlbnabl,125,xaascuiddp
-0.4595,fwotwxkbgk,-0.3715,CaT,-744,-815,gbopemjwnv
0.1335,-0.281,-0.2915,gqvnrhdnyk,0.3775,CAt,DOG
0.1365,nwfacarkem,-412,-650,blewkubrwk,-0.2895,CAT
drvghewchs,CAT,dnhtcvdlws,dOG,dOg,DoG,-0.4255
-725,irdkfboibr,lybdarhnak,0.3635,kgibaymuxn,podephglou,79
CAT,69,201,dOg,-0.131,qaaqeucvuw,-0.407
tapkifembv,atasrcwspl,6,jbjxscxawx,-839,rqpznyvpcq,caT
0.2615,doG,-350,455,cAt,DOG,cAt
-934,0.12,xycmsvhxla,Dog,uhwtjdkbmu,0.3265,tfzlfithsm
xqwlrcyhhf,-0.232,fkbhhzqzuf,Cat,dOg,obhrwclgkd,pzfsjyepoe
-730,caT,jzuvmtkboi,dog,-121,lokbmlesfw,0.0235
ewlicdhsno,-999,-815,dtrcywjtjy,DOg,-0.282,0.0465
CAT,CaT,-0.029,-0.0085,0.113,-938,-0.018
-246,DOG,689,998,-0.105,caT,-0.0315
