dbtyylgtkg,vwkvrybhdx,pEt
0.231,-0.204,CAT
-0.2585,hdnjgwcpbb,cat
857,cat,DoG
-0.209,843,gmjafymdqp
0.044,264,cAT
-758,-0.184,DoG
-223,vslkqpwiyr,dog
doG,0.122,-0.3875
461,rhsjhfjxpl,DoG
tpxgquxyjk,dOG,Cat
bdkuypkgbo,xnkgtjiuvc,CaT
-842,rofnukhudu,0.1335
-822,0.096,DOg
doG,0.4495,dwiytpootb
63,91,DoG
CaT,0.015,0.4555
hinrocrmhm,-0.1115,0.1385
cAT,573,tjlszvleqf
doG,0.1255,fkisvzgaex
dqxvgljlsw,0.207,752
-234,caT,cAT
CAt,697,509
0.1665,reyndgsfab,cAt
0.114,795,CAT
kulyuokefm,gtiizwrjmj,dOG
0.3215,-0.2475,cAT
mpxcvqizih,-742,dOg
0.2365,dOG,DOG
CaT,svqwoxmgpk,doG
owbogelamx,jfjrfvyqvt,cAT
xttwopzwye,nbewdfdxqr,Dog
yzjzalbowg,82,DOg
0.1345,0.093,DOG
qsrxcilhmi,ctxjurartv,CAT
0.416,0.354,dOG
-974,-0.419,0.244
925,-803,DOg
-0.212,onswvhmgzp,caT
0.269,0.2255,CAt
-722,-0.0585,CaT
oblsybivhm,hwnkalsvyj,cAT
Dog,pzcjpuflea,625
Dog,fevxnopqzk,dwdefbjqih
0.0625,DOG,0.056
0.2365,-947,dOg
-0.232,-725,194
usmdxvzcyo,xyffnwfwlg,Cat
998,0.2345,DOg
-113,-0.366,CAt
0.05,-802,cAt
0.261,761,CAT
vgiiiucgrv,cat,caT
-0.252,5,DOG
cAt,rgiuoerpvm,CaT
ckynjyrgyi,-0.255,cat
cat,-275,ufeyluedhn
nmgdvakdfi,qasqmcktnb,Dog
gkeskxarql,hdywzhjhel,DoG
0.249,grcvwuoknz,wyvtzpswok
-939,-464,833
rwwjebujhb,-320,CAt
-0.1245,CAt,cAT
ehupcvqeui,wyernvvwst,oaxlbrwdxu
-891,DOg,cat
isafmcjimd,dulezrfzlm,CAT
ytinymktvf,-305,uruannrwgc
0.018,mnaifepwvr,-0.295
cAt,0.4445,cat
122,0.1695,0.4465
qhovcmuikn,0.062,hrjanqsxcv
iuupidkzhb,-975,DoG
CaT,-0.1225,CAt
teeyuzcewf,frttuvkvhb,CAT
CaT,-0.2205,0.293
-0.022,pvomubdppg,Dog
0.2075,dwqjfpbezy,DoG
cAT,0.24,lnqyporijr
doG,midlftucgw,438
pukeptsike,bnjgmtutju,CAT
212,230,vuggrgarlq
730,0.455,CaT
