faxdkzdsrp,unsdcbydwt,gcbiencidf,agapmrueta,pet
-0.076,587,-0.0655,0.01,Cat
-0.4055,-0.412,jlawbhozoc,86,dog
-0.021,gyembqpamn,0.121,CAt,DoG
-0.173,-99,430,0.4495,-701
plnkgljuea,-0.2945,ckonrooeoe,681,0.251
363,stdxfiwvob,0.242,caT,DoG
tdavckwztj,0.03,hslioefqbk,upazllhryj,dOg
-0.166,bzoiywqtvq,-221,-962,CAT
DoG,-0.14,0.061,qjzblvseue,cAt
fdwmansvbq,-451,0.4585,0.473,DoG
ifwlmdvskf,0.177,Cat,968,cAT
-885,xtjbhiidfl,-0.4405,lzfxfijnck,CAT
aqkhaxoiqd,DoG,-0.348,0.4315,cat
-0.3785,caT,cAT,cat,CAT
670,rsmsqhefes,caT,zicoxdqylo,cAt
ehrgkbkjqx,-0.159,gtjzehgmzv,gfdgzqjqxq,snbzrqoccg
-316,iucyquvvqz,yxvzbjspqy,oudhqyxhtr,cAT
qmfkjxrcai,-0.1445,-523,nroegkxobm,DoG
-0.165,xgsujafoow,-906,-831,-601
499,iblycpdoov,Dog,-555,dOg
Dog,643,0.1235,0.266,-364
-0.3865,730,dog,-0.008,CAT
dOG,0.1175,0.3105,734,Dog
685,-0.233,dmlxkpfoeo,0.232,cAT
caT,0.4755,0.498,0.4955,DOg
DOG,950,dog,-632,sbsjajgutx
-948,fjruemyyfa,-541,pxopwjwjjr,-0.131
khvmwbmkyq,-0.3325,-784,-889,0.279
iggoyuzhky,caT,0.105,0.1225,cAt
408,-455,Cat,0.011,0.489
zohlvoydjv,0.3145,-0.019,-0.193,853
540,-584,dog,-421,caT
rfbzmeutli,-0.3005,78,493,CAt
-0.015,DOg,-224,628,251
dbbcbcipwd,-0.1255,0.0345,-483,Cat
0.2745,0.1985,0.2265,-0.0995,cAT
-775,mhvimmkgwz,dOG,0.319,CAt
0.0315,-441,-175,ytdvbhymva,Dog
0.4135,879,-166,-0.2145,-0.3045
dwmzomwzpr,univhjlabg,vgcdaloalq,ylidlfraeg,DoG
345,-0.3365,-396,syxvwgxjsx,dog
kckxyzmlcl,xbglydbyeq,doG,fektchjtel,ktycqgpcex
-139,CAt,0.153,-0.4665,dOg
-0.0935,-896,btyrnysfmb,441,468
-372,doG,-140,sfqgwunwdi,cAT
tsgazneulu,dog,0.3865,-0.1805,dog
-0.042,-620,-825,0.1605,0.125
3,573,bhmwgbjwip,rrepiftlyk,dog
-427,0.0845,113,-0.0855,DoG
0.076,rqsmrpgvso,159,-802,0.0305
187,-0.0375,zxxibtcakk,thtmcjjjxu,CaT
-994,ujnnmagccd,ddiixrccaq,309,44
zazpuyplmc,-878,-0.024,-564,gclzcpvntr
xntwobixrv,0.306,xatcicqams,cAT,dOG
-0.2295,vbwguyndat,133,vpadbaeqov,-0.057
-0.3925,dzohbbhopf,0.4205,cqtnvpwriw,cat
wvcqrwabvb,nhzfjupyoa,DOG,0.1895,CAt
0.327,-0.235,hzsyypygkd,0.4505,CAT
-0.4055,wbvznzzybg,0.274,730,Cat
-0.0725,-0.021,750,-724,oarahfkmyu
DOg,-649,-885,lkxpdbygug,-0.134
aqordfqspm,-423,0.16,-484,hyixkqrhuy
0.1455,784,tlmifcrtkd,kjvzyubkxe,Cat
-931,DoG,cAT,-0.393,CAt
patrwehjrq,doG,siyudpwczz,xqsdcbhmez,doG
0.147,0.06,-456,ywscblrkxw,DOg
0.182,CAT,0.267,tzwjmrcvfh,Cat
ckqzxpyipo,DoG,wxbhfkueoz,0.3515,-975
382,686,847,-41,DoG
-845,-884,lxgcmfxpgz,-0.4535,cat
ymikcgqwpm,grygouhorz,-468,cAt,Cat
303,438,-0.279,doG,dog
0.3755,ylerfjpcxg,-0.206,caT,Cat
-135,cAt,-0.1555,728,dOG
CAt,vngqvzqudh,Cat,uxgnglnqmv,CaT
dog,-0.423,-0.369,614,caT
-0.0165,ywyokunhfp,0.4485,0.39,216
dog,-0.088,doG,-0.132,CAT
231,-538,744,stdrkddjgo,0.1325
doG,-0.1545,dktxzdnbsl,hjinphmcyv,Cat
-28,cat,0.03,0.323,CaT
ossurzvfud,ikfvxyyitq,zscwehkkiz,-0.4305,335
-649,-0.005,rwrbsgypfx,-756,Cat
aqwyjeplwd,ognljbvctn,0.471,sfsrqqqzzo,856
0.4185,cat,719,0.424,Dog
dog,nudgksurkd,-0.33,0.0035,-697
-0.424,-0.338,huhulgpcql,0.013,0.4085
-0.2115,seqkbsxgqn,-0.4245,-0.277,dOg
nppnfemwqe,-163,0.343,0.0735,caT
-0.171,-0.4,CAt,ygutsllipq,dog
elfgqknklf,hypnnfjzyq,0.2715,-341,cAt
0.304,-0.009,-805,-928,cAT
dog,-20,DoG,897,hekbuoefxi
-0.097,-0.3915,-702,cAt,doG
