kaftecgkzy,okvitppmau,wzdpqhkjaf,wahovsfcxm,ijzxechnnj,qxhajuwyqe,oewwhprjmn
dOg,-0.432,ejybomatfw,pemnokrehs,edmhiireqg,cAt,582
dOg,Dog,qqazynvoiq,-0.422,DOg,0.019,dOg
-0.435,cjkfwyolrj,-0.1695,0.3735,fvmdncxoxr,0.2555,-883
0.24,90,-0.0015,lypzzgjfhl,0.3965,848,-0.2505
-0.4305,dOG,0.234,DOg,cAT,dog,254
-0.366,-0.302,804,0.186,lnudmebehd,-0.087,795
342,zqsuqjxetp,gflneaqzha,357,DOG,-660,0.2765
-928,dOG,0.217,-0.2215,-299,-0.168,809
Cat,wcogplsloy,xlstuwsxnh,722,-0.252,-0.362,dOg
CAT,-923,fvdzrzniib,ixysvqhptp,0.173,-961,-324
tgdepoablu,935,-0.315,-0.0675,-587,214,401
0.138,ucxufcdxjj,cAT,0.4005,0.4065,wglfmjvypz,dOg
0.138,0.427,-17,-741,0.0405,DoG,511
CAT,Dog,-882,0.2765,uxqhmkaqhk,60,foexcghcak
557,495,awalwggjlv,389,0.4545,250,-0.2935
-0.3325,0.192,upbqxeyxji,-0.2525,uycyziyiwj,cAT,-288
-206,dOG,0.399,caT,deofjbggcd,0.3465,494
-876,-0.2625,-0.1355,0.4405,jxqpjpggux,cAt,979
cat,35,ubokswbbak,rxhblsjwgx,441,algyuaaohl,-0.3475
-358,83,-706,-883,sgqckkmswp,936,doG
cat,vmxjeimtkm,-476,0.065,-521,-0.191,cAT
-604,cAt,uamfjyevlq,-0.265,aqgvmpuyuf,dOG,DOg
-665,651,631,-0.0325,-783,luensojiqz,-0.0805
doG,0.2715,mpuxuvhryt,-168,okqihiluql,929,-0.3355
-0.2525,nlmnxpqlwo,-0.45,-0.2665,esvjdtaqgb,hccoxqlqtj,0.355
gszcffizgh,279,0.2585,-621,tpnheoqaza,-0.1595,cAt
0.1675,-0.123,-365,-0.1615,0.2825,-696,wtokwwthef
xsjgesekfy,meevriiccn,0.22,-0.049,xcyinjegqr,caT,wjazpblgei
-0.0285,-652,-0.379,dhojczwuol,0.001,-46,ffexcbixbv
-0.2585,-910,ipqwnryrhz,shhdhsgskg,pdamrvnzyg,96,0.1255
0.2385,hnapqxqupy,102,851,0.1045,-280,bxpjoaxvil
607,-0.1915,cAt,368,0.2875,hncvlcqcrp,caT
-798,294,Cat,DOG,0.1695,0.1095,127
tnjonewoiw,106,-0.0825,0.2825,-571,zqfoslhqzw,0.292
cAt,687,cAT,0.237,mwcjqoyfbb,dog,CAT
dOG,0.155,-0.355,0.4545,-0.0985,hexgfsbhei,cvrtwcqgmi
wqttgnlxrs,-0.09,dOg,0.1045,cAt,0.1705,-588
CAt,-996,727,356,yswziksdtp,cAT,CaT
dog,doG,275,gvllhvmylb,-0.3175,-0.3315,0.413
ugrcsppuxa,0.019,0.4905,0.4135,-0.203,cAt,0.308
-201,-78,0.342,pctpjivxfl,-879,-0.1015,-283
CaT,CAT,cat,0.066,ctmqqxtncy,taxgqqhndq,-0.1725
CaT,jjlqbljjbf,-0.094,Dog,0.165,0.0875,Cat
-0.061,gwamzydtbj,-442,CAT,ratccwxygm,-921,dOg
zootrlqgpf,184,wbpxriwyhu,0.0805,jivfovsfha,eegvnwjwnz,uqjrfrueid
vzbjonekmj,-948,cAT,smsifayhpa,amuncducia,DOg,337
-0.3245,0.126,-32,-0.3665,vqbfnbkwzn,DOg,-0.083
-0.4475,sqcbmixyva,tciqelmuli,zrvztdxcfr,dOG,885,687
-75,cAT,-0.112,Cat,-0.2305,mfwnphrmau,Cat
-165,580,cawgkiwfpl,-284,ltfpcsbmbm,-0.176,-0.3525
tsphtlfrre,ldjikmxcqn,591,30,DOG,190,ortdkhjely
