peT,mrckndazeh,ntcuynwsjr,dogsppwrzj
792,-577,dog,354
cat,dog,-0.4655,62
Dog,0.2215,mkrwpfvhtb,lksiioicld
0.2645,DOg,-418,wvomjldlpa
caT,-671,-592,ankqurczmc
cAt,bsznjnekkk,492,cat
cAT,828,-133,5
DOG,-872,zrmniluvtx,-0.337
DOG,73,gerdekcjvl,Dog
cufbjdmhru,-0.481,dOG,0.122
ldgwhvsspv,mwtzawbweb,CAT,ytkneftfdp
dOg,tbexdfteep,aeddmoulri,nshagypyju
dog,-0.3965,0.2425,-0.452
DoG,rwfchiatlx,cAT,0.105
cAT,-0.154,aokquwsjdt,-0.248
DoG,-305,0.4785,sedbxltwmr
-394,grbigmqatp,qbnnvkxdjt,-0.4395
DOg,caT,407,-0.308
cAt,DoG,43,sthxcqskbo
-0.221,329,-731,350
cAt,-531,576,-0.034
DOG,yvflnvmhah,280,adakbjofvb
dOg,uudexzfttp,-261,teavuxwcik
CAt,0.071,-937,0.1745
cAT,669,-899,0.4025
cAt,aessuwpasj,-0.306,550
-794,njdraejzdz,0.0115,buhxvjmogx
0.4785,Cat,-236,wzbngpkqci
cAT,qhztvtwphv,-14,-948
CAt,0.2155,0.1275,-989
cAT,-0.338,0.469,0.1055
DOg,-0.0885,-0.28,meokhsbjrl
DOg,yksusmhwsl,-0.046,-936
dog,xyywdnswkp,0.0455,CAt
dOG,0.3055,dog,halpnekldt
0.0035,CaT,-276,218
-211,cat,-0.163,kemanbilkk
Dog,864,-22,987
CAt,cAT,0.2395,jrelfmcare
DoG,-0.0035,-978,0.188
dOg,-0.1215,0.1015,-0.206
260,-103,0.32,896
caT,-0.391,-0.408,-0.446
dOg,dog,bgofvjcrip,Dog
