blypqpccwo,dcczayqxsd,peT,ckkpevjibs,pgtiarlcka,yzyzzmwrqr,huughkybmb
lzjvnvzzxb,771,DOG,-0.004,CAt,Cat,DOG
-513,-423,doG,-99,-0.18,vxvefypang,398
-0.1355,-863,DOG,CAt,caT,gnmusnspmj,nspdlbsemp
535,Cat,DOg,dOg,qeqqcjbntf,-0.064,CaT
-110,0.445,961,0.3525,ydtivqpzbr,-424,-302
0.32,0.484,dog,funngqialk,-0.3565,dog,dOg
DOg,713,CAt,0.165,-0.126,cAt,0.3235
sszzwcattn,CAT,dog,1,-0.177,dOG,dbfsembnfh
-0.2545,-403,CAt,gbzgvlzbvi,-0.0605,0.0855,heztjxkxzk
-64,0.157,-0.1915,967,0.368,-0.03,0.006
0.149,oudtfvqtow,dog,-0.486,971,sxebayigop,nutlvsbgvq
kbndmwcqfn,-851,cAT,DOG,0.4945,0.451,hdnlcvsdht
vztpvtvptf,CaT,doG,0.0345,dOG,jsymohhabs,ezfhxawvip
greawvckcs,kekvroqzxh,CaT,-0.3285,0.0025,0.3805,-0.2205
Cat,-862,cAT,Dog,-0.1165,CAT,-0.4575
cAT,cxmtpeydta,dOg,kyxrsysdhk,-0.4805,-131,0.4605
0.1715,dpvcmorsbl,-538,-376,yfiqplvazr,xhbecwaeot,0.0545
vwjnsewigh,0.4705,dOg,-977,737,0.411,CAt
CaT,cgyhdcrotw,cat,-0.15,DoG,-0.403,ipvnexjefj
42,adinwzgpud,caT,-35,-0.055,xjsccozbro,inbumttcag
-505,0.3015,cat,cAT,zqizhdpesl,0.4735,0.3025
fxetlvirwv,-433,DOg,cpgqziykie,-0.368,132,-807
0.0955,-0.4765,apaitfdllb,-0.0145,klfevtihiu,-0.0715,odsudaupjc
quryouxxxc,-917,-0.393,yylepalsvd,mlmebphvwj,-505,dog
-570,-234,DOg,196,cohipdyxxz,lppvfklfkq,qfibjlqyld
uvjhpxcynj,959,DoG,caT,-0.0035,0.4975,mqrdxgimjq
yyysgnhwgz,138,Dog,-0.0915,jwtuusweuj,-609,-378
0.2775,0.2405,DOG,qgjoyghods,703,uqusbinmst,-33
-867,-916,CAT,rbamzewngz,0.0445,-66,-343
-0.243,cAT,774,-0.302,-0.229,-879,687
DoG,0.4825,Cat,391,hcspwrmuar,CAT,dOG
cAT,Dog,565,627,pcgbzjszqd,Cat,cat
-147,doG,-999,lkruhtpmol,0.302,0.1055,-489
844,956,ggatitqmcp,dOg,-255,0.4805,249
