fulkdiyqck,mchlqpmdoi,pgeblqxqas,zbghbanomf,vzsaevbhoi
CAt,jkeezbcxwy,dzzruhzsjh,wgrtqpoyfy,-0.4445
cAt,-576,CaT,770,526
0.3675,-908,zgxfnitrks,-0.274,xcgufxvkjg
CAt,0.4035,0.26,-568,0.4725
-672,-98,mfubwojmpb,-0.1215,Cat
cfpicjzcjc,CAt,czsuazecko,-528,-753
216,ofutdbiclz,zsnomgvnqd,-584,-701
-0.4025,CAt,-0.5,DOg,-0.3275
DOg,syslxxanml,CaT,yodjnyovtb,492
dyjarvkcpr,-0.081,yprwrxfsif,-0.0355,883
-0.2495,Cat,xttrnghezv,cundorkfjw,iejiqssdjb
0.3065,0.3065,-0.0935,dOg,pbaignpjir
-513,cAT,dog,DOg,850
-657,-912,DOg,0.2285,eafmvbrpcv
498,lbwztfrjxw,0.3255,henxfsalhn,0.2825
0.158,-274,DOG,35,Dog
luzufhaafa,0.067,-0.414,-0.247,-612
591,-0.492,-637,0.3095,mnrthtvkdq
834,-405,DOg,979,-937
jpitwibkqp,-0.09,39,392,hormmnjgww
0.366,0.0225,lzgaigwmip,0.4825,-0.2935
hquvecaxne,ibgxqigfyo,-991,612,0.024
