wbvkgfhvzo,PeT,retctrwakj,rlisplobpw
-24,961,dOG,caT
-671,DOg,-0.4735,-661
cAT,-309,668,-192
lafnmfmdgt,dOg,-0.3715,teqrghpnzt
0.349,CAT,318,uzkqgpqtfw
caT,ohxnyabmbl,caT,-0.1445
vgupqutbof,Cat,gmelsejqsu,741
vuawoohflc,doG,282,137
702,889,349,-772
-740,-0.262,jmzguyoxuq,-0.1145
tchoppqpzu,Cat,-207,CAt
CAt,Dog,-232,vspnhjjcxx
gxnhuuodwh,Dog,-318,caT
bzeyliazfl,doG,0.133,lslpzvrycs
-12,bhbulbspel,-0.25,-0.1745
662,cat,upjtmvixts,szmlppzcoe
-0.405,CAt,0.397,317
0.3975,cAT,dog,qnqdpasrcq
0.3555,Dog,CAt,cAt
CAT,cat,-41,973
-848,-10,0.0275,-0.316
795,Cat,gwueugnekm,gtpqwbkyyf
-297,Cat,-551,anqczjnjqf
318,0.33,178,dOG
-577,810,CAt,CaT
-0.3255,cAT,jbguaucejc,phrzngmxwy
doG,DOG,DOG,861
35,ecrxxmbjjx,-0.031,0.414
ljcqccxull,CAT,0.4365,-0.15
304,doG,cdbbqkfqvu,cAT
xkeffdilcn,0.014,360,0.498
844,DoG,-0.169,lstliujrkp
942,-0.332,kaasgxlecr,DOG
0.4745,DOG,-0.1285,obryjwedye
0.4875,CAT,0.4765,-0.078
inougsxidq,Dog,0.0285,Dog
0.255,yhjxfhohyq,-280,0.225
-0.3505,itcuwkmcos,-0.2415,-0.251
-0.1705,DoG,cAT,740
0.219,dOg,pyxprqarqh,DOG
-614,cat,blpjftvqdq,xvxcthjfim
854,fgbvsgbxom,gsaitccdpp,387
-874,-713,dOg,929
-0.36,CAT,-742,DoG
Dog,617,cAT,cAt
cat,kaadwlztux,isehqjxyhb,214
370,DOG,0.119,caT
dog,-0.208,-559,0.405
dog,DoG,-432,txbxfbhdlr
-839,683,278,-0.011
ydywwaquhp,ssnsetvrrt,otknmiwlrk,caT
-986,dog,rhlnlmwgwt,329
516,CAT,-0.114,dOg
Dog,-0.498,vphfdosdua,0.0385
-695,doG,0.0205,-191
21,-0.2035,0.0655,942
0.4235,cAT,-0.352,105
CAT,786,-644,qywcacpzyv
-679,cat,0.0935,90
dOG,bgtglswqvx,cAT,448
810,DOG,nsanglhwwe,ywhmjtcsii
vcwuhdxycz,Cat,dog,powrierjib
bibxpmgctc,dOG,-818,Cat
ggcfhnhjee,dOG,acsdexpvke,38
cAT,CAT,DoG,doG
531,cat,svumtjvoxx,0.0705
0.349,0.48,-0.4425,doG
CaT,Dog,-0.294,832
160,cat,hvmydrrczw,-0.353
tnakoabdva,0.279,sfoqnolpwm,dOG
-0.0015,384,yvcpomuing,341
-798,cat,-0.0005,gvsgdqiglc
0.1335,cAT,-0.26,-37
515,dOg,lhoyznpcuv,431
