ymhleqvbbr,phkvefreuw,ntxmbumvow,xgompkerzy,ibhlulbqwk,Pet
0.297,-83,-50,-0.158,lsvnthxvmw,CAT
-305,cat,0.3715,cAT,zwsanhumun,Dog
ppqzlvjtnu,-0.228,143,-309,dOG,dOG
95,cAt,-274,-30,672,dOg
-259,819,0.017,0.111,jjzmhshsvb,doG
-771,Dog,-200,0.19,-0.2425,dOG
-733,-254,ikklgcoplo,plqvxymilk,-0.4505,doG
-0.0855,-825,-7,0.1685,CAT,vhklryropj
55,-0.442,wzfvuyxqso,887,rokdfwdyqb,Cat
-0.407,0.1,0.3335,207,-732,DOg
cAt,dOG,727,0.0675,296,cAt
vuomydqhbj,676,doG,mdtsllpqim,nvswiaokqx,njawectcqh
274,0.3475,DoG,0.136,DOg,doG
-0.48,CAT,wjhisclrhl,-0.4355,cAT,dOG
598,-0.3225,nqtfnctwkx,0.2445,wpmjysbtfm,cat
958,-0.3805,lhphkhclxc,CAt,psjjninqdb,cAT
0.4985,wevuzzemmy,281,0.2395,-449,CAt
0.088,293,fdjkqekyda,752,-506,caT
0.074,ktelojsdjs,0.198,81,-23,0.4235
etmatwvkdk,sddwnbwvas,371,CAT,tskcdkpbbe,cAT
CAt,ikcsaslhqy,xhlzgxfhid,cAT,-0.236,dOg
-153,cAt,cAt,0.37,czyzgqaniq,jlqiycdnzg
-426,tmxjlidpez,-140,-0.4225,zjaqzorlkk,doG
0.228,qwadqpfvka,-0.2525,aodqcxfzmm,0.2215,0.2515
fcbaygregt,-664,0.0405,0.125,-177,dOg
0.1445,otqilrbopi,lfuqoerteh,ehwmgjmaok,-0.153,-0.084
-301,-905,612,CAT,awemyozuiz,-799
-695,-0.195,300,tiiucgdpuw,thizezbgpm,CaT
0.2035,fzpojhbidn,DOg,cAt,anpfxzdgff,dOg
0.4265,-963,qvrtgvwfur,-0.2885,fmllkbkjvz,caT
CaT,47,-102,swvuslrvia,bcrjpkkzhg,xkffzlnetm
CAt,DoG,-0.0455,0.1995,-133,cat
caT,dOg,cAT,wyspinjiey,548,cAt
-209,DOg,smvqiliowd,ysulajbnbw,vnxjwhtmzb,DOG
xetwinjhni,0.0575,dahqzpuubm,mnsteaymnf,oapfidrgzs,dOG
mprmknqjtz,-0.231,-0.3695,973,0.1375,0.4255
-442,-0.044,suybwjvrsr,kldxvphmob,552,CAT
302,644,-36,fhpimffaxw,0.2905,doG
Cat,0.0375,-0.228,-442,pwvoqjpkjd,ffbgljcqap
149,caedfdbxyn,0.0005,0.2045,CAT,cat
0.436,artjymerdx,CaT,-0.187,923,cAt
-0.2545,-656,golxstymjq,-251,wnjommreab,qaxizbhqhn
srnwrykehf,nvlbvsegiz,0.254,tslvmzqslb,ufbjtmfpjg,DOG
0.0345,-0.333,-752,-621,kebhijyagu,CaT
cAt,xvaokkutct,233,fnxsyoonrm,0.13,idgqwullvt
CAT,0.023,zemugoxsga,135,szvxeiucgz,dog
-920,-486,dog,sflaortmqa,-0.292,cAt
-0.091,438,meskaldoxb,-0.1835,yybsdlvhzq,dOG
-0.4535,dOG,dog,wzgwovoikm,520,dog
fuephkcrbd,gjqmndmvcv,pdrqstacwg,koutyvftus,nlqmylwkob,caT
-0.043,caT,Dog,dOG,-710,DoG
-889,0.2775,-0.2165,0.41,0.468,doG
-0.2655,190,yazwpsctow,692,ekqlqfquru,mvvjngjyaw
-137,0.0445,dOg,znmewverpa,ttnrklpqvw,-0.2745
492,-0.408,0.3525,0.0975,0.044,cAT
-0.0225,-712,vhojeoovol,dog,-0.3445,dog
dyexjzwcpg,eohkykvhop,763,ygotrxiyly,wmuujvuauf,cAT
doG,-600,cat,0.094,-699,cat
-0.41,DoG,eoumprauuy,-339,-0.2435,doG
-213,0.3975,uiqwawqius,-0.0355,sajxzcaoca,CaT
0.49,-694,0.139,-0.192,-0.368,CAT
Dog,932,tpppxlxxvb,bycjdpzhnc,0.4785,Dog
iabeubwnsi,dog,jclgndkpmf,cAT,iwvrhmhxyw,384
-750,0.1645,caT,dywpqozdlw,0.192,Dog
CaT,doG,0.2275,560,0.1185,CaT
DOG,-507,cAT,450,873,CAt
935,rsuglgmdbv,0.156,-0.146,DOg,0.177
-0.2125,-0.3145,-104,-0.0785,0.476,-0.479
navqzulhto,-266,206,744,0.0005,533
-613,-166,0.308,-0.422,-0.465,CaT
dlxscifvel,akvrhwxxul,-483,0.1445,mfzuvjdsut,dOG
561,-322,-0.4575,sqnzfqfzzk,877,iclskzmusk
208,487,dog,ytyhxmqlaq,0.3455,cat
0.2445,525,0.307,0.12,fzuzzvgqpm,-0.3895
cAT,0.0375,493,-120,dOg,0.0455
xdsgqhdisx,0.059,-178,0.42,ixcdfrxear,dOG
-667,gbkakkaxsr,CaT,DOG,cAT,DoG
-0.497,-0.1455,rxutrudpks,-633,-0.298,-0.099
589,-190,culrgyzoqf,caT,-923,0.4765
0.398,cAt,-922,0.14,0.06,cAT
kzxceqbisa,0.113,-76,0.4785,0.1065,DoG
yccfibuyko,-0.256,Dog,bvpoggzosq,0.1615,DOg
-321,rrbnfpqact,dOG,DOG,zrosyaiiwj,cAT
rnfoqouuko,473,-0.2545,0.2205,caT,364
-0.2855,-191,-0.2565,znotdjymwe,0.017,dOG
-646,259,doG,doG,0.3945,doG
kyamdyhyzn,nrsosoxurt,-0.3425,sqbrsghhne,CAt,CAt
cAT,0.096,0.489,bisakxrscr,-561,caT
cAt,cat,dOG,brymegmcfv,phcampchng,ffksvcqlat
