otcxydhwro,eaufcbufch,iicrymwglv,pqvgnczcxf,qwvisrpqss
284,-622,-0.4635,-794,-729
CAt,727,-0.169,-0.0175,-819
-793,-0.0695,0.263,0.0445,-0.112
0.219,-554,CAT,879,dog
qgzafxhylg,0.025,piafhhneej,iirfyfsxjo,ebkvvrdgso
0.316,xmcxjaxhtd,206,DOG,Cat
-0.0615,ypvtssgnog,-0.064,-0.2895,oriaqtkpcu
cAt,DOG,0.358,518,caT
dOG,-873,caT,CAT,401
-0.236,piaonubdnq,-0.339,-0.4135,832
cpbfsrgtjn,dOG,-0.1825,CaT,kryahjyrqy
0.21,0.3075,fcjmneocda,-952,cAt
jkcsqndekc,349,0.2045,acehgmybqj,-0.1615
328,-131,sigotjqvaq,dOg,0.4915
oyjysylkqh,-460,-332,soaxzcdccs,0.409
-0.254,lmbtgkkjlj,-195,avraqqbaup,-0.293
cAt,323,-45,fggwjbkovm,382
-400,-0.3475,caT,-0.4115,771
-856,DoG,azmmbtsdtj,cAT,mkfqcpcvya
zhhlmrrgcl,lxgycdwada,-288,dOG,-29
CAt,-0.334,cAT,749,212
vvitnlpwqx,wjwjpmdhve,-0.4895,-0.335,0.402
-989,0.3115,lcsrlgfjag,0.1525,ejqmsrygee
lczestdiot,692,nitmrupukk,Cat,-0.1805
pfzyqfzdim,-876,-78,luxnmtkztd,-0.142
cAT,0.0095,rdlwpqshep,0.2135,aqaiqbwfxk
CAT,-574,vntuavpuih,-0.2785,anbgbsufvp
-477,0.125,171,CAt,-0.128
-0.3195,-122,0.2415,-0.244,0.4965
fedgjmoqal,506,uuxxdcsgts,0.314,doG
tbqvnncepp,414,dibrcshqbf,111,0.4145
905,-318,984,244,-0.2195
-414,0.0415,vhojnirkpm,yrjsfsbwta,yoxvzgozbq
dOG,ctnnjitjwc,ohgrvzdjlk,0.437,0.327
CAt,-0.3535,-460,-0.174,0.0015
-983,dog,-171,-801,-995
786,555,DOG,662,638
