dgrgfpjtyc,bakwesmuax,lycbiuzuql,PET
caT,-468,dOg,DOg
-0.3895,DOg,-0.2155,CAT
-298,caT,-700,724
317,CaT,663,0.2235
-0.177,DOg,-0.411,dOG
rmaoyoptkx,qhpsrfeayd,-490,-0.488
94,caT,895,CaT
plxeymvcxp,0.0885,-542,DOG
-878,-0.353,mvbfnnkebo,zqkxzrcjsw
-701,CaT,CaT,Dog
-0.2625,828,-0.215,-876
85,CAT,dOG,-0.4955
0.233,DoG,743,DoG
711,dOg,xjqlbepspt,-446
459,0.205,pmfrhvaljp,Cat
tjfefqlyki,unosqflgpm,715,DoG
cat,zvhgzifgnp,bwrxfiyzor,-0.449
878,-0.2525,-753,cAt
0.171,228,cAT,CAT
-0.495,0.0725,cat,CaT
-0.274,CaT,jkqghwocbx,CAT
CAT,ciuycdiyen,725,476
Dog,kjjvrovaej,fkxqfuhkdf,0.25
913,0.4025,xwlvnnzcnw,DoG
bkekzizdkw,Cat,576,988
-555,ljksczefjk,349,80
kdzyyyrfkw,0.241,-943,-286
0.2835,0.1455,471,CaT
-509,bfwnoahslw,doG,-320
cAt,976,0.359,Dog
639,881,448,DOG
339,kslncbrxgk,0.283,Dog
CAT,-626,0.2585,cAT
-812,-361,-865,DOg
-0.223,-404,0.064,-0.444
