peT,xcpbofiltf,xpvotdiycc,doyomfdkps
cAt,0.237,-0.1605,caT
cat,-124,ciizfazjco,-0.3155
cat,-762,-118,191
-815,336,-93,CAt
cAt,xcotfkqeul,gbaropxdcx,-0.4235
lmxpzhpcvo,-0.449,nloggktfqw,epwcvwmzmw
Dog,Dog,doG,615
-0.034,cAt,cikkpieiem,ziqahcmtwh
DOg,-0.035,-0.482,-0.301
cAT,esswlkevyg,qjboqboust,0.1695
171,CaT,-336,0.014
cAT,-0.3855,0.3515,-907
CAt,-317,-0.1035,-0.2815
254,-936,ijwjomqolm,fdmvsamozu
cat,DoG,0.2395,dwdyhkcbia
CAt,DOG,-0.141,Cat
0.2055,qzvjuwuriw,-243,dOg
dOg,dog,505,-0.3425
DoG,-0.4085,-0.3605,dOg
dOg,CaT,oxmbocokgo,0.295
Dog,mlnreixczl,-0.476,ranzkucojd
dog,-351,451,CAt
CAt,dOg,ntbmxlcyez,DOg
-905,0.042,-565,dog
Dog,DOG,axcryhoibq,caT
cAT,172,-0.111,-509
xiwkpjuvic,zhzmgwucdx,Cat,-698
dog,yqdrxmffin,-232,DOg
-444,-990,rdfylxkwcc,18
Cat,rulnwyqvhx,cAt,-112
DoG,doG,-0.398,611
6,DOG,-0.158,prnqxzvici
cAt,776,238,DoG
CaT,dnigseuybl,jfnbxfjgdm,0.1845
-844,0.174,dog,torvaszkqr
doG,-612,0.296,-0.028
Dog,-360,0.281,-0.213
Cat,ufhkslmncb,dog,cAT
cAt,581,cwbjzsgdey,-0.2485
CAt,dog,0.4445,-0.3685
pyhgmdgjue,676,-144,552
cAT,0.465,-0.254,-0.235
CAT,kxtedpdqfp,0.0185,-6
eakrsrgjjg,cAt,-0.136,0.026
cAT,CaT,gzvymeghlo,iilajvyxxn
DoG,wgvahreffr,dOg,-723
-0.16,0.0825,-448,dOG
vllhaneqeq,cAt,-0.2835,dOg
dOg,dOG,heqvsozmqa,-0.375
doG,-0.092,bkfgxesamp,0.4225
cAt,0.368,sncnrfawkf,869
Dog,863,-0.0795,qedwemeixw
749,gymgmvlmmy,760,-884
Cat,103,0.1515,-0.4105
CaT,826,cat,0.3245
irspomhqon,-352,657,81
caT,-156,-440,-0.156
yhmlzhdmmy,vfkummzjbh,-0.335,Cat
CAT,DOg,457,cAT
dog,-740,jcrdegrxki,dOG
0.3435,-236,ytpwypchzu,DOG
dOG,-296,yedbymcfks,vnjuwqiqow
doG,0.2995,980,0.3015
CAT,582,fxhrkzczrz,-190
5,ordinqxjtf,-0.252,mxzntmfwlo
dOG,-377,wrvjuawazj,-0.3135
jbmiebovnv,doG,0.3225,771
xwhzxzizvp,cAt,uvrbapirtg,tstfwffblz
doG,jgifrvgkvj,pzzkbqhfmz,-0.2575
CAt,gtfhxerwem,vpzmepnnsj,scvuorgmbo
gibufibjwp,dOG,DOG,wzbwoqqeil
DOG,ukwvicrewx,nnqcgfqdcb,0.217
64,Dog,262,35
DOG,kwutdbjink,34,epmtydikrb
Cat,jqlxzidusj,-0.0605,-854
CAT,-0.073,-695,119
CAT,cAt,0.1205,CaT
cAt,iqzclmswfx,rdntlgbuac,0.1015
CAT,-0.418,umieikrfcg,0.2255
DOG,0.307,dadotedvaq,-140
cat,0.1935,cat,-324
CAt,-22,isecwcoini,DoG
cAT,pyvxljnbpl,lyyfpdhmsk,msoiyxainb
cAT,-470,DOg,-505
cat,DOG,-308,kyqqgxodkb
cAT,-382,-51,cAt
cat,387,0.4095,dog
doG,567,-0.0445,-0.093
-0.0145,831,doG,ybwpeqwbin
dog,-0.473,-0.4245,-0.402
DOG,mhvbnxolqt,-74,tzcuqtfmfw
doG,-200,-0.2635,977
CAT,DoG,754,596
