yxnescbbmh,peT,ospzwopajz,ruvknphxei,fkveoqxbtx
-0.3315,dog,-0.1595,439,0.1805
sfwvdhsucu,cat,DoG,-481,zrvadbbybe
nbwaakskyv,DOg,vbousmccwo,dog,xwixngxdhd
pmeudlwhrd,cAt,bobpvgevzk,aktzfubsiy,328
-0.4285,620,-0.0085,-829,123
npynlcohtj,DoG,duzkvuzzqk,802,ntkudzpxjq
-0.3775,DOg,-0.325,0.32,-0.2945
0.2005,rofvjzkhmx,mustymzawj,vpkhwbydve,0.117
0.013,-558,-621,566,0.0035
241,jqcriwynph,684,CAt,cAT
577,dOG,-50,-0.21,-788
yvwbihpajr,DOG,0.392,0.0605,38
ayjhcpolij,-0.0665,261,Cat,676
caT,cAt,-331,-0.3435,-543
