pEt,grbjyizqeo,vffvelbmxc,quyfgnwefp,umfugxpgay
CAt,-984,-0.0755,0.03,0.003
CaT,eyejwzyvfk,-192,-0.3625,caT
qqcdzgukbp,-0.3935,-101,-0.1415,-17
DoG,0.349,jxlqvemebd,wbnzfauphq,uflpjoxuzy
CAt,Dog,CAt,0.266,444
Dog,0.325,-872,-0.1055,-592
wyyxcendvi,qnsmdyxubi,0.115,rksrvbrhmf,-0.01
CaT,nfmndziinl,dndtctbjgy,vwspknrfli,zscuoaylzc
linrwijgkn,105,7,-216,cAT
Cat,-0.476,-0.312,ezykjlrkzu,0.35
Cat,721,CAt,974,0.1245
dOg,CaT,-0.4835,-0.366,-0.022
dog,mnycfnbfqc,-684,CAT,CAt
DoG,176,cAt,-0.0735,-177
dOG,667,rlpnjnjioy,-0.007,dxoehxsvgt
dog,CAT,rfqzsfspge,mcxlgonryk,CaT
CAt,DOg,0.319,0.0895,caT
-0.383,DoG,0.1025,595,DoG
CAt,854,-227,0.1985,-0.3365
DOg,29,-0.4515,ctmavjrqor,ddjdappduh
DOg,494,knzuihayls,728,-566
0.2265,xvunvwzrie,-218,0.286,cAt
-0.3455,147,jlsnvhykxv,760,CAt
caT,doG,-789,DOG,-0.1455
DoG,bapnfclmmi,yfintsqdog,pliainghvp,552
dOg,0.3375,oejkqukbgt,537,-862
CaT,-359,DOg,-875,561
dOG,406,0.457,0.258,-828
DOg,0.3155,CaT,0.2795,0.459
dOg,775,0.4835,372,dog
cat,ziwtvfomnz,CaT,doG,iknelpkjsp
cAt,glurksacxu,-0.1895,0.3585,egkdvsfuhr
Dog,-201,-282,928,jawzmvpgbt
dOG,DOG,tdsliymjig,-0.4435,0.009
-866,-344,vaqzrtwedh,CAt,eabpafmfjt
caT,goprgwijvj,-0.4415,kmgcumtzza,723
cAT,-0.1845,wwplqswpuy,rzmipibune,whucygizko
cAT,0.093,rqsvnueect,465,rjaxymeqyb
dOG,994,-587,Cat,czmyjebsoa
0.269,hkddtfmtyh,-951,qipeusvnas,667
-236,0.145,0.3165,dOG,29
scvzrqeitu,pnsakbzbhl,-589,Cat,-0.483
woiynczwiy,vcwzsczxqc,ixcgonpicu,bucbhulonp,cAT
dog,73,vdhrrkbppj,taiiamllaw,kqkmwmeknr
CaT,ylsaqjimgu,-315,dOG,0.1645
CAT,0.336,-788,ikbbqytxzs,pkdfojbksc
Dog,-413,-0.345,0.443,cAt
Cat,eocqitriia,330,CAT,0.1045
ppivetpqiz,0.3105,omgtiureag,-0.453,688
dog,iaxpgbivtm,vzfltxjksw,0.0335,-72
DoG,lwnjogxmqq,prfkzvqmec,-0.321,-0.2565
dog,dOG,-0.2535,-711,-0.238
cat,-0.246,0.3015,461,0.3655
cat,0.1165,684,569,Dog
0.346,DOg,-0.067,108,-463
cat,CAT,286,-973,qetmzehkwe
CAT,doG,-0.271,amlvyhetsy,-151
tmiommosbg,-0.047,0.4825,0.411,mwcobkryee
doG,0.446,sefcuyrefq,0.3745,dOG
