bnwtpgiiev,drlvuvslpu,rhnjeosawx,dfghhlymoz,hlfcwspxoc,PeT,rzwkvjwkih
0.3455,-0.1995,-0.0565,-0.4275,cat,DOG,-511
0.005,-0.4105,0.07,dog,CAt,CAT,606
cjccjdaxka,0.0105,56,561,okholdbrry,Dog,tjlszexbae
-472,162,-0.018,nqsijhkaqr,0.1665,CAT,qaasqubzwe
0.274,snzcpvclkz,lmvurxxjvr,CAt,DOG,ayowfhmxtl,-0.313
doG,-0.3755,dog,dzydhudzyx,lexywhmbfq,977,gezrzquuyz
nyutvaargs,cat,-0.2475,neyizzilcb,DOg,DOg,bwbxazwvhc
975,0.2535,fcgvvcsdnp,-0.3375,hpzsgoiylo,cat,fyruavomkn
DOg,hfypgmuoay,shzvgvzzkn,eifueaaooo,694,dOG,cffgzsdbbh
-0.096,882,0.4595,-801,doG,cat,0.4695
-19,0.222,0.1345,tiktgntnet,ugitxxpvmm,0.067,uinzhjzhxl
zzhgiecoqo,-0.1255,-0.006,-0.179,cmolgymwmj,dOg,cdnqnscrhz
CAt,tywklmnwna,-0.212,cat,-339,-668,brlqncuqom
380,-237,0.293,cat,-876,CAt,sddunlxngn
-0.392,-487,dxpzhjvupw,fskvdwwxpd,58,CAT,-229
qcgwziwqnc,-0.1125,781,hxlqnctsna,0.413,cAT,419
cgojfnbkqv,0.4335,0.322,zwbeibcors,dog,0.273,cAt
khgyidvkfp,-0.4835,CAT,-0.102,CaT,dOG,-0.2055
-0.152,-74,cAt,881,gtgbtweocz,-226,226
-0.0755,caT,0.217,-220,clwwjwenrj,-82,irefbbacnd
-0.1995,-73,0.3315,-0.152,dog,dOg,dOG
-341,kwkjmzayvm,-755,-406,-659,dOg,-169
cAT,vaybytnmjo,DOg,819,DOg,-0.1205,181
184,450,-0.0195,235,-0.27,cAT,-605
cenvqlilgj,eeldccaesp,CaT,dclyfgomqd,roepckajcf,CAt,-460
-0.465,-455,pkfoyretxu,0.1405,nxhnyckzle,yxwgpwlzey,dog
vrrnwilqyu,0.1505,qpfrlztwmg,yulvefkgjp,gdpehylbms,DoG,-45
-24,prziviuwpe,qabqkoavol,343,tjwswzhehu,CaT,lvbznhnvaz
mswhtoguek,414,DOg,Dog,xacgsngjox,Dog,-665
xnywtcdaxd,oomvqffohx,0.2595,0.0085,bdnjmwehzg,cAT,604
0.478,dog,-104,DOg,-0.241,jeuxeadvcv,doG
-371,CAt,-0.0955,-0.423,-780,dOG,Dog
-0.439,-614,dOg,lmqmfrlgxb,386,cAt,159
325,-0.393,-0.3855,488,0.101,cat,0.474
dOg,-67,pkzdocucny,-497,708,-279,CAT
821,-0.172,0.2965,doG,0.3415,-21,cAT
rpvimyrfml,0.267,CAT,621,-0.0055,Dog,yjvmttnvtl
0.318,-310,qlubwdcdnd,596,cat,DOG,836
-268,-332,ebhjczemaz,488,tabohzztaz,uornwoumsx,bozcxqaaal
-0.231,DOg,0.172,dOG,-0.225,0.113,yjcrztfilu
qvjrchdzhw,CAT,143,0.3055,cAt,CAT,0.079
cAt,468,0.211,-729,qamwhlhqon,DoG,0.068
acszdldwbd,DOg,-613,888,303,cAt,-0.273
-423,-150,aruyokbqwp,-363,434,-0.3755,-20
0.38,-733,0.161,-0.0855,caT,cAT,DOG
-0.0095,-0.4615,cjzvcjfgah,-0.0075,dog,DoG,-0.3145
0.293,-0.127,wtcrjeskrg,-241,vakhzmzuie,cAT,qhswqiewio
561,0.3515,ovmvlocnrd,-0.0875,247,srepitrwsy,gqmizwftlx
CAt,cmwiotpdsr,-456,0.306,DOg,DoG,wptqhhwcvm
151,-0.216,0.483,shbefpifpz,-106,cAT,-0.0125
-633,cuguqrjohf,cgxtjbpptn,0.2315,hygjakodqm,Dog,xxazxpxbbr
xumhbcnybo,hsvzwundrn,0.425,919,0.1,CAT,mttswingum
0.1265,-267,0.452,hfjafbvrgj,-0.1265,cAt,zitufkttei
373,0.3895,CaT,0.448,CaT,CaT,-36
sveeqzobhd,-950,CAt,pstqdguwrr,0.2555,-455,ptjeuwholl
hgluzpmkje,jvjtxorxos,pxdnqtgloh,-0.3465,bcrmdbrpnu,443,DoG
lesqyomcpe,0.115,CAt,CAT,-625,dOG,909
-818,tgivcqrjkg,0.0425,muwtuzlzgj,wovkropsrn,dog,dqzitqmfap
