lwhjpnaift,rnvrucfdyy,genoagjwoa,nudeegzgfn,slnqkppkrg
0.0975,djdmdadovh,DOg,DoG,0.362
-788,bjzlrtavrv,asznmlmaas,-0.0485,0.4435
dog,bthuiplcpj,-767,-0.0665,-564
doG,0.025,ioxaqfnefd,-0.2865,dOG
aomggsqsbz,hzrxvpwcsu,wrturpldjq,-808,gxyfrtsnmp
qkocawrlhc,ycljlfizid,-0.051,dOG,apppssznoh
960,dxljxyxyiw,-0.064,iilbsczmhe,Cat
yhqhrrmyaq,551,gxvdhvzvnx,rpbgmakkyc,649
-0.4725,tlhwnfppmp,-0.114,-0.167,820
-229,-997,-752,qronnwhprf,0.1525
746,-794,-298,302,-111
-264,-0.189,cAT,0.4625,ugiwvhotsz
450,-571,dog,0.1705,zoksisgani
